Date,aaplopen,aaplclose,aapllow,aaplhigh,aaplvolume
2008-01-02,28.46714210510254,27.834285736083984,27.507143020629883,28.608572006225586,269794700.0
2008-01-03,27.915714263916016,27.847143173217773,27.527143478393555,28.198572158813477,210516600.0
2008-01-04,27.350000381469727,25.72142791748047,25.555713653564453,27.571428298950195,363958000.0
2008-01-07,25.89285659790039,25.37714195251465,24.318571090698242,26.22857093811035,518048300.0
2008-01-08,25.734285354614258,24.464284896850586,24.399999618530273,26.06571388244629,380954000.0
2008-01-09,24.47142791748047,25.628570556640625,24.042856216430664,25.64285659790039,453470500.0
2008-01-10,25.368572235107422,25.431428909301758,25.058570861816406,25.85714340209961,370743800.0
2008-01-11,25.14285659790039,24.670000076293945,24.285715103149414,25.407142639160156,308071400.0
2008-01-14,25.360000610351562,25.540000915527344,25.0242862701416,25.631427764892578,275112600.0
2008-01-15,25.38857078552246,24.148571014404297,23.522857666015625,25.60285758972168,585819500.0
2008-01-16,23.604286193847656,22.805713653564453,22.385713577270508,24.144285202026367,553461300.0
2008-01-17,23.072856903076172,22.984285354614258,22.631427764892578,23.62285804748535,439464900.0
2008-01-18,23.101428985595703,23.051427841186523,22.801427841186523,23.678571701049805,431085900.0
2008-01-22,21.15142822265625,22.234285354614258,20.85714340209961,22.854286193847656,608688500.0
2008-01-23,19.45571517944336,19.867143630981445,18.020000457763672,20.0,843242400.0
2008-01-24,19.998571395874023,19.371429443359375,18.858572006225586,20.100000381469727,501466700.0
2008-01-25,19.855714797973633,18.572856903076172,18.515714645385742,19.8700008392334,388684800.0
2008-01-28,18.308570861816406,18.572856903076172,18.064285278320312,19.02857208251953,368711000.0
2008-01-29,18.735713958740234,18.79142951965332,18.435714721679688,18.969999313354492,274995700.0
2008-01-30,18.76714324951172,18.882856369018555,18.571428298950195,19.350000381469727,310762900.0
2008-01-31,18.492856979370117,19.337142944335938,18.485713958740234,19.52142906188965,336418600.0
2008-02-01,19.46285629272461,19.10714340209961,18.882856369018555,19.51285743713379,252686000.0
2008-02-04,19.1728572845459,18.80714225769043,18.7742862701416,19.41428565979004,224808500.0
2008-02-05,18.632856369018555,18.479999542236328,18.41428565979004,19.14285659790039,285260500.0
2008-02-06,18.690000534057617,17.428571701049805,17.395713806152344,18.845714569091797,393318100.0
2008-02-07,17.13857078552246,17.31999969482422,16.752857208251953,17.825714111328125,520832900.0
2008-02-08,17.440000534057617,17.92571449279785,17.371429443359375,17.957143783569336,338993200.0
2008-02-11,18.28714370727539,18.492856979370117,18.171428680419922,18.568571090698242,300358100.0
2008-02-12,18.671428680419922,17.837142944335938,17.65999984741211,18.714284896850586,306495000.0
2008-02-13,18.097143173217773,18.485713958740234,17.9471435546875,18.540000915527344,242133500.0
2008-02-14,18.485713958740234,18.20857048034668,18.144285202026367,18.685714721679688,238524300.0
2008-02-15,18.038572311401367,17.804285049438477,17.722856521606445,18.154285430908203,225325100.0
2008-02-19,17.998571395874023,17.454286575317383,17.34857177734375,18.10714340209961,251261500.0
2008-02-20,17.457143783569336,17.68857192993164,17.382856369018555,17.799999237060547,241859800.0
2008-02-21,18.007143020629883,17.362857818603516,17.265714645385742,18.067142486572266,234528700.0
2008-02-22,17.497142791748047,17.06571388244629,16.5528564453125,17.501428604125977,382469500.0
2008-02-25,16.941429138183594,17.105714797973633,16.665714263916016,17.167142868041992,314193600.0
2008-02-26,16.805713653564453,17.02142906188965,16.49142837524414,17.29857063293457,376222000.0
2008-02-27,16.889999389648438,17.56571388244629,16.8700008392334,17.578571319580078,368784500.0
2008-02-28,18.171428680419922,18.558570861816406,17.96714210510254,18.885713577270508,404563600.0
2008-02-29,18.469999313354492,17.860000610351562,17.828571319580078,18.601428985595703,313870200.0
2008-03-03,17.777143478393555,17.389999389648438,16.85714340209961,17.997142791748047,398260800.0
2008-03-04,17.427143096923828,17.8028564453125,17.200000762939453,17.84000015258789,446345900.0
2008-03-05,17.654285430908203,17.784286499023438,17.464284896850586,17.87714195251465,305459000.0
2008-03-06,17.801427841186523,17.275714874267578,17.25857162475586,18.214284896850586,368424700.0
2008-03-07,17.20142936706543,17.464284896850586,17.007143020629883,17.568571090698242,307615700.0
2008-03-10,17.42571449279785,17.09857177734375,17.0528564453125,17.637142181396484,249897200.0
2008-03-11,17.72857093811035,18.19285774230957,17.428571701049805,18.211427688598633,290985800.0
2008-03-12,18.148571014404297,18.00428581237793,17.881427764892578,18.382856369018555,264907300.0
2008-03-13,17.72857093811035,18.277143478393555,17.571428298950195,18.5,315525700.0
2008-03-14,18.554285049438477,18.087142944335938,17.742856979370117,18.614286422729492,289160200.0
2008-03-17,17.507143020629883,18.104286193847656,17.507143020629883,18.3700008392334,268149700.0
2008-03-18,18.454286575317383,18.974285125732422,18.381427764892578,19.0,301280000.0
2008-03-19,19.01714324951172,18.5242862701416,18.5242862701416,19.18428611755371,252634200.0
2008-03-20,18.731428146362305,19.038572311401367,18.454286575317383,19.04142951965332,227196900.0
2008-03-24,19.144285202026367,19.932857513427734,19.091428756713867,20.121429443359375,266730100.0
2008-03-25,19.994285583496094,20.139999389648438,19.618572235107422,20.44285774230957,263097800.0
2008-03-26,20.124286651611328,20.722856521606445,20.091428756713867,20.81999969482422,295521100.0
2008-03-27,20.707143783569336,20.035715103149414,19.998571395874023,20.75857162475586,249957400.0
2008-03-28,20.257143020629883,20.43000030517578,20.22857093811035,20.66428565979004,178652600.0
2008-03-31,20.46714210510254,20.5,20.360000610351562,20.81571388244629,192016300.0
