Date,leaopen,leaclose,lealow,leahigh,leavolume
2009-11-09,25.25,28.125,25.25,29.725000381469727,2506000.0
2009-11-10,28.125,28.475000381469727,27.6200008392334,28.5,3098800.0
2009-11-11,28.7450008392334,30.125,28.475000381469727,30.30500030517578,1545000.0
2009-11-12,32.0,31.850000381469727,31.43000030517578,32.5,3996800.0
2009-11-13,32.0,32.5,32.0,33.0,3055400.0
2009-11-16,32.875,33.494998931884766,32.5,33.71500015258789,2036000.0
2009-11-17,33.70000076293945,33.40999984741211,33.0,34.20000076293945,2357200.0
2009-11-18,33.5,32.875,32.650001525878906,33.625,1097000.0
2009-11-19,33.0,31.75,31.559999465942383,33.125,2137800.0
2009-11-20,31.875,31.875,31.5,32.400001525878906,2271600.0
2009-11-23,32.71500015258789,32.0,31.9950008392334,33.060001373291016,1492800.0
2009-11-24,33.45500183105469,31.850000381469727,31.850000381469727,33.45500183105469,541600.0
2009-11-25,31.850000381469727,31.950000762939453,31.850000381469727,32.099998474121094,726200.0
2009-11-27,31.2549991607666,31.75,31.25,32.05500030517578,231800.0
2009-11-30,31.625,31.4950008392334,31.274999618530273,31.80500030517578,722800.0
2009-12-01,31.575000762939453,31.55500030517578,31.344999313354492,31.940000534057617,1337600.0
2009-12-02,31.5,31.5049991607666,31.125,32.25,1235000.0
2009-12-03,31.549999237060547,31.46500015258789,31.28499984741211,31.625,669800.0
2009-12-04,31.5,31.510000228881836,31.3799991607666,31.625,843200.0
2009-12-07,31.875,31.424999237060547,31.40999984741211,31.875,451200.0
2009-12-08,31.375,31.31999969482422,31.229999542236328,31.375,312600.0
2009-12-09,31.375,31.399999618530273,31.079999923706055,31.44499969482422,370600.0
2009-12-10,31.375,31.1299991607666,31.079999923706055,31.375,343000.0
2009-12-11,31.024999618530273,31.44499969482422,31.0,31.614999771118164,940600.0
2009-12-14,31.625,31.5,31.204999923706055,31.625,599400.0
2009-12-15,31.434999465942383,32.560001373291016,31.434999465942383,32.59000015258789,2597400.0
2009-12-16,32.96500015258789,33.005001068115234,32.38999938964844,33.400001525878906,1684000.0
2009-12-17,33.099998474121094,33.630001068115234,32.814998626708984,33.73500061035156,1420000.0
2009-12-18,33.564998626708984,34.23500061035156,33.54999923706055,34.25,2807800.0
2009-12-21,34.02000045776367,34.150001525878906,34.0,34.82500076293945,670800.0
2009-12-22,33.98500061035156,34.13999938964844,33.80500030517578,35.25,1973600.0
2009-12-23,34.1349983215332,34.0,33.779998779296875,34.2599983215332,298200.0
2009-12-24,34.0,33.974998474121094,33.93000030517578,34.13999938964844,78800.0
2009-12-28,34.25,34.119998931884766,34.029998779296875,34.89500045776367,432800.0
2009-12-29,34.29499816894531,34.290000915527344,33.94499969482422,34.29999923706055,419800.0
2009-12-30,34.29999923706055,34.025001525878906,33.54499816894531,34.345001220703125,919800.0
2009-12-31,34.02000045776367,33.81999969482422,33.744998931884766,34.06999969482422,543400.0
2010-01-04,34.48500061035156,34.68000030517578,34.0,34.904998779296875,1381800.0
2010-01-05,35.150001525878906,35.8650016784668,35.060001373291016,36.025001525878906,2722200.0
2010-01-06,35.959999084472656,36.209999084472656,35.869998931884766,36.63999938964844,3282800.0
2010-01-07,36.525001525878906,36.10499954223633,35.95000076293945,36.650001525878906,1432800.0
2010-01-08,36.38999938964844,36.2400016784668,36.150001525878906,36.8650016784668,2938000.0
2010-01-11,36.349998474121094,36.064998626708984,35.94499969482422,36.470001220703125,2689600.0
2010-01-12,36.060001373291016,35.51499938964844,35.05500030517578,36.060001373291016,1422200.0
2010-01-13,36.005001068115234,35.66999816894531,34.849998474121094,36.20000076293945,3206800.0
2010-01-14,35.43000030517578,35.69499969482422,35.404998779296875,35.8849983215332,2043800.0
2010-01-15,35.654998779296875,35.625,35.52000045776367,35.845001220703125,965200.0
2010-01-19,35.849998474121094,35.5,35.45500183105469,35.849998474121094,1011000.0
2010-01-20,35.724998474121094,35.525001525878906,35.11000061035156,35.724998474121094,662800.0
2010-01-21,35.599998474121094,35.04999923706055,35.0,35.94499969482422,1077200.0
2010-01-22,35.46500015258789,34.5,33.97999954223633,35.810001373291016,1638000.0
2010-01-25,34.790000915527344,34.95000076293945,34.63999938964844,35.34000015258789,712200.0
2010-01-26,34.55500030517578,35.0,34.55500030517578,35.18000030517578,1384000.0
2010-01-27,35.20500183105469,34.525001525878906,33.7400016784668,35.20500183105469,1416200.0
2010-01-28,34.58000183105469,34.560001373291016,34.125,34.775001525878906,1073800.0
2010-01-29,34.82500076293945,34.400001525878906,34.064998626708984,34.9900016784668,1164000.0
2010-02-01,34.69499969482422,35.060001373291016,34.404998779296875,35.07500076293945,1034800.0
2010-02-02,35.29499816894531,35.47999954223633,34.904998779296875,35.529998779296875,1730200.0
2010-02-03,35.375,36.959999084472656,35.375,37.07500076293945,3975400.0
2010-02-04,36.85499954223633,35.61000061035156,35.54499816894531,36.85499954223633,2019600.0
2010-02-05,36.07500076293945,34.32500076293945,33.51499938964844,36.69499969482422,5468200.0
2010-02-08,34.63999938964844,35.095001220703125,34.345001220703125,35.13999938964844,1834000.0
2010-02-09,35.279998779296875,35.494998931884766,35.11000061035156,35.595001220703125,1802000.0
2010-02-10,35.59000015258789,35.25,35.119998931884766,35.94499969482422,543000.0
2010-02-11,35.32500076293945,35.380001068115234,35.154998779296875,35.630001068115234,1140600.0
2010-02-12,34.81999969482422,35.150001525878906,34.6150016784668,35.27000045776367,952800.0
2010-02-16,35.314998626708984,35.720001220703125,35.005001068115234,35.849998474121094,714200.0
