Date,occopen,occclose,occlow,occhigh,occvolume
2008-01-02,3.940000057220459,3.940000057220459,3.890000104904175,3.950000047683716,5200.0
2008-01-03,3.940000057220459,3.809999942779541,3.6600000858306885,3.990000009536743,9800.0
2008-01-04,3.8299999237060547,3.700000047683716,3.6600000858306885,3.8299999237060547,11400.0
2008-01-07,3.609999895095825,3.609999895095825,3.509999990463257,3.8299999237060547,51400.0
2008-01-08,3.569999933242798,3.799999952316284,3.569999933242798,3.8399999141693115,5400.0
2008-01-09,3.7200000286102295,3.6600000858306885,3.5,3.8399999141693115,15800.0
2008-01-10,3.5399999618530273,3.5799999237060547,3.509999990463257,3.619999885559082,3000.0
2008-01-11,3.5799999237060547,3.509999990463257,3.509999990463257,3.609999895095825,2700.0
2008-01-14,3.6500000953674316,3.7200000286102295,3.6500000953674316,3.740000009536743,11200.0
2008-01-15,3.75,3.7100000381469727,3.680000066757202,3.75,5800.0
2008-01-16,3.5399999618530273,3.7300000190734863,3.5399999618530273,3.7899999618530273,33600.0
2008-01-17,3.6700000762939453,3.5199999809265137,3.3399999141693115,3.6700000762939453,25900.0
2008-01-18,3.5199999809265137,3.5799999237060547,3.5199999809265137,3.6700000762939453,8100.0
2008-01-22,3.4000000953674316,3.6500000953674316,3.309999942779541,3.6500000953674316,16300.0
2008-01-23,3.7100000381469727,3.700000047683716,3.4100000858306885,3.740000009536743,18900.0
2008-01-24,3.640000104904175,3.75,3.640000104904175,3.8399999141693115,11800.0
2008-01-25,3.940000057220459,3.859999895095825,3.7699999809265137,3.940000057220459,8800.0
2008-01-28,3.9000000953674316,3.8299999237060547,3.8299999237060547,4.090000152587891,66200.0
2008-01-29,3.9100000858306885,4.0,3.890000104904175,4.019999980926514,37800.0
2008-01-30,4.0,4.010000228881836,3.9800000190734863,4.019999980926514,36100.0
2008-01-31,4.059999942779541,4.090000152587891,3.859999895095825,4.179999828338623,25400.0
2008-02-01,4.099999904632568,4.139999866485596,4.0,4.159999847412109,10000.0
2008-02-04,4.130000114440918,4.130000114440918,4.090000152587891,4.210000038146973,6900.0
2008-02-05,4.159999847412109,4.090000152587891,4.050000190734863,4.170000076293945,15000.0
2008-02-06,4.150000095367432,4.170000076293945,4.150000095367432,4.25,2400.0
2008-02-07,4.099999904632568,4.110000133514404,4.0,4.119999885559082,16500.0
2008-02-08,4.150000095367432,4.110000133514404,4.099999904632568,4.170000076293945,2200.0
2008-02-11,4.099999904632568,4.099999904632568,4.099999904632568,4.150000095367432,1400.0
2008-02-12,4.130000114440918,4.150000095367432,4.110000133514404,4.199999809265137,17700.0
2008-02-13,4.190000057220459,4.210000038146973,4.119999885559082,4.25,29800.0
2008-02-14,4.239999771118164,4.320000171661377,4.230000019073486,4.320000171661377,8700.0
2008-02-15,4.300000190734863,4.130000114440918,4.110000133514404,4.320000171661377,16100.0
2008-02-19,4.190000057220459,4.010000228881836,4.0,4.199999809265137,11500.0
2008-02-20,4.099999904632568,4.019999980926514,3.9600000381469727,4.099999904632568,6800.0
2008-02-21,4.170000076293945,4.179999828338623,4.0,4.179999828338623,11600.0
2008-02-22,4.239999771118164,4.099999904632568,3.9800000190734863,4.239999771118164,8000.0
2008-02-25,4.079999923706055,4.039999961853027,3.9600000381469727,4.340000152587891,7800.0
2008-02-26,4.329999923706055,4.210000038146973,4.119999885559082,4.329999923706055,7200.0
2008-02-27,4.239999771118164,4.150000095367432,4.150000095367432,4.239999771118164,4000.0
2008-02-28,4.21999979019165,4.070000171661377,4.070000171661377,4.239999771118164,3900.0
2008-02-29,4.190000057220459,4.110000133514404,4.059999942779541,4.190000057220459,5400.0
2008-03-03,4.199999809265137,4.070000171661377,4.010000228881836,4.199999809265137,12700.0
2008-03-04,4.190000057220459,4.0,3.9600000381469727,4.190000057220459,2200.0
2008-03-05,4.170000076293945,4.019999980926514,3.930000066757202,4.170000076293945,8300.0
2008-03-06,4.070000171661377,4.019999980926514,3.9800000190734863,4.210000038146973,6700.0
2008-03-07,4.150000095367432,3.9000000953674316,3.9000000953674316,4.150000095367432,6800.0
2008-03-10,4.139999866485596,4.079999923706055,3.930000066757202,4.139999866485596,6000.0
2008-03-11,4.139999866485596,4.090000152587891,3.9100000858306885,4.139999866485596,7100.0
2008-03-12,4.090000152587891,3.990000009536743,3.9100000858306885,4.179999828338623,4400.0
2008-03-13,4.079999923706055,4.110000133514404,4.019999980926514,4.119999885559082,5900.0
2008-03-14,4.5,4.840000152587891,4.409999847412109,4.840000152587891,103600.0
2008-03-17,4.849999904632568,4.679999828338623,4.5,4.849999904632568,19400.0
2008-03-18,4.679999828338623,4.679999828338623,4.460000038146973,4.679999828338623,7800.0
2008-03-19,4.730000019073486,4.610000133514404,4.559999942779541,4.75,8700.0
2008-03-20,4.480000019073486,4.550000190734863,4.380000114440918,4.739999771118164,16700.0
