Date,cheopen,checlose,chelow,chehigh,chevolume
2008-01-02,55.900001525878906,54.56999969482422,54.11000061035156,55.939998626708984,348600.0
2008-01-03,54.540000915527344,53.81999969482422,53.54999923706055,54.88999938964844,212900.0
2008-01-04,53.209999084472656,53.150001525878906,52.310001373291016,54.08000183105469,198400.0
2008-01-07,53.18000030517578,53.13999938964844,52.029998779296875,53.959999084472656,271200.0
2008-01-08,53.25,53.540000915527344,52.619998931884766,53.970001220703125,332000.0
2008-01-09,53.54999923706055,55.11000061035156,52.709999084472656,55.290000915527344,461300.0
2008-01-10,54.5,55.880001068115234,53.88999938964844,56.63999938964844,387100.0
2008-01-11,55.560001373291016,54.25,54.060001373291016,55.59000015258789,253200.0
2008-01-14,54.59000015258789,53.849998474121094,53.119998931884766,54.630001068115234,228000.0
2008-01-15,53.040000915527344,53.11000061035156,52.06999969482422,53.43000030517578,292600.0
2008-01-16,52.970001220703125,52.970001220703125,52.439998626708984,53.41999816894531,260700.0
2008-01-17,52.90999984741211,52.70000076293945,52.36000061035156,53.380001068115234,237800.0
2008-01-18,52.779998779296875,52.02000045776367,51.5,53.0,242300.0
2008-01-22,49.849998474121094,52.029998779296875,49.849998474121094,53.20000076293945,273600.0
2008-01-23,51.0099983215332,52.689998626708984,50.0,52.86000061035156,269400.0
2008-01-24,52.52000045776367,51.630001068115234,51.099998474121094,53.959999084472656,486800.0
2008-01-25,52.08000183105469,51.56999969482422,51.099998474121094,52.58000183105469,277700.0
2008-01-28,51.380001068115234,52.150001525878906,49.779998779296875,52.369998931884766,339300.0
2008-01-29,52.15999984741211,51.119998931884766,50.86000061035156,52.15999984741211,211700.0
2008-01-30,50.79999923706055,51.060001373291016,50.7599983215332,52.540000915527344,176300.0
2008-01-31,50.5099983215332,51.290000915527344,50.5099983215332,52.34000015258789,347100.0
2008-02-01,51.599998474121094,52.08000183105469,51.0,52.25,192300.0
2008-02-04,52.130001068115234,50.9900016784668,50.099998474121094,52.380001068115234,275300.0
2008-02-05,50.150001525878906,49.959999084472656,49.81999969482422,50.83000183105469,209800.0
2008-02-06,50.5,50.43000030517578,49.66999816894531,50.720001220703125,219300.0
2008-02-07,49.970001220703125,51.029998779296875,49.43000030517578,51.060001373291016,237500.0
2008-02-08,50.95000076293945,51.5,50.72999954223633,51.90999984741211,229600.0
2008-02-11,51.72999954223633,51.810001373291016,50.91999816894531,52.38999938964844,218500.0
2008-02-12,51.970001220703125,52.40999984741211,51.52000045776367,52.5099983215332,220000.0
2008-02-13,52.5,53.380001068115234,52.209999084472656,53.400001525878906,242400.0
2008-02-14,53.880001068115234,52.72999954223633,52.650001525878906,54.29999923706055,170300.0
2008-02-15,52.560001373291016,51.790000915527344,51.56999969482422,52.560001373291016,251200.0
2008-02-19,52.369998931884766,51.41999816894531,51.040000915527344,52.38999938964844,355100.0
2008-02-20,51.15999984741211,50.43000030517578,49.93000030517578,51.400001525878906,404500.0
2008-02-21,50.47999954223633,50.04999923706055,49.9900016784668,51.529998779296875,245300.0
2008-02-22,47.70000076293945,52.040000915527344,47.70000076293945,52.81999969482422,814200.0
2008-02-25,52.29999923706055,49.38999938964844,47.61000061035156,52.29999923706055,869400.0
2008-02-26,49.0099983215332,50.31999969482422,49.0099983215332,50.34000015258789,455000.0
2008-02-27,50.27000045776367,50.09000015258789,49.650001525878906,50.72999954223633,379000.0
2008-02-28,49.790000915527344,48.650001525878906,47.939998626708984,49.790000915527344,432300.0
2008-02-29,47.81999969482422,47.709999084472656,46.75,48.29999923706055,322900.0
2008-03-03,47.79999923706055,46.380001068115234,45.790000915527344,47.9900016784668,416900.0
2008-03-04,45.79999923706055,46.66999816894531,45.20000076293945,47.08000183105469,451400.0
2008-03-05,46.66999816894531,46.040000915527344,45.880001068115234,46.7400016784668,325300.0
2008-03-06,45.779998779296875,44.369998931884766,44.130001068115234,46.13999938964844,495800.0
2008-03-07,43.779998779296875,44.130001068115234,42.779998779296875,44.630001068115234,271500.0
2008-03-10,44.20000076293945,43.34000015258789,43.34000015258789,44.560001373291016,196200.0
2008-03-11,44.63999938964844,43.869998931884766,42.38999938964844,44.63999938964844,385000.0
2008-03-12,44.0099983215332,44.720001220703125,43.41999816894531,45.810001373291016,580000.0
2008-03-13,44.209999084472656,44.189998626708984,43.2400016784668,44.52000045776367,527600.0
2008-03-14,44.5,43.459999084472656,43.0,44.599998474121094,657400.0
2008-03-17,42.939998626708984,42.130001068115234,41.70000076293945,43.400001525878906,305700.0
2008-03-18,42.97999954223633,43.599998474121094,42.0,43.77000045776367,411600.0
2008-03-19,43.959999084472656,43.02000045776367,43.02000045776367,44.56999969482422,278700.0
2008-03-20,43.189998626708984,42.25,41.54999923706055,43.849998474121094,725900.0
2008-03-24,42.45000076293945,43.290000915527344,42.040000915527344,43.400001525878906,200800.0
2008-03-25,43.59000015258789,43.86000061035156,42.90999984741211,43.93000030517578,336600.0
2008-03-26,43.56999969482422,42.41999816894531,42.040000915527344,43.650001525878906,167000.0
2008-03-27,42.400001525878906,42.77000045776367,42.400001525878906,43.58000183105469,234500.0
2008-03-28,42.650001525878906,41.650001525878906,41.04999923706055,42.779998779296875,353500.0
2008-03-31,41.380001068115234,42.20000076293945,41.33000183105469,42.25,310400.0
2008-04-01,42.45000076293945,43.83000183105469,41.880001068115234,43.91999816894531,505700.0
2008-04-02,43.72999954223633,44.0,43.22999954223633,44.52000045776367,469800.0
2008-04-03,43.70000076293945,43.83000183105469,43.630001068115234,44.400001525878906,209400.0
