Date,athnopen,athnclose,athnlow,athnhigh,athnvolume
2008-01-02,36.0,35.2599983215332,34.7599983215332,36.0,100700
2008-01-03,35.2599983215332,35.79999923706055,34.939998626708984,36.0099983215332,188400
2008-01-04,35.56999969482422,35.77000045776367,35.0,36.22999954223633,153500
2008-01-07,35.68000030517578,37.08000183105469,35.65999984741211,37.40999984741211,136300
2008-01-08,37.18000030517578,36.33000183105469,36.25,37.88999938964844,33100
2008-01-09,36.34000015258789,36.5,35.689998626708984,37.0,168800
2008-01-10,36.45000076293945,36.54999923706055,36.060001373291016,36.75,105200
2008-01-11,36.380001068115234,36.779998779296875,36.040000915527344,37.459999084472656,86700
2008-01-14,37.0,37.25,36.650001525878906,37.5,50400
2008-01-15,37.47999954223633,37.18000030517578,36.619998931884766,37.47999954223633,290600
2008-01-16,37.15999984741211,36.93000030517578,36.0,37.33000183105469,103400
2008-01-17,36.81999969482422,36.65999984741211,36.349998474121094,37.22999954223633,707600
2008-01-18,36.52000045776367,36.77000045776367,36.15999984741211,36.97999954223633,185100
2008-01-22,35.29999923706055,35.56999969482422,35.0,36.290000915527344,245400
2008-01-23,34.779998779296875,35.380001068115234,34.70000076293945,35.97999954223633,393600
2008-01-24,35.279998779296875,34.83000183105469,34.5,35.290000915527344,311600
2008-01-25,36.2599983215332,34.09000015258789,33.5,36.2599983215332,307500
2008-01-28,33.95000076293945,33.13999938964844,32.630001068115234,33.95000076293945,222600
2008-01-29,33.08000183105469,32.029998779296875,31.989999771118164,33.86000061035156,180500
2008-01-30,31.8700008392334,31.010000228881836,30.34000015258789,31.8700008392334,216500
2008-01-31,31.200000762939453,31.399999618530273,30.34000015258789,34.099998474121094,152300
2008-02-01,31.739999771118164,33.2400016784668,31.549999237060547,33.869998931884766,298200
2008-02-04,33.56999969482422,33.65999984741211,32.52000045776367,34.459999084472656,261400
2008-02-05,33.5,33.380001068115234,32.58000183105469,33.52000045776367,276900
2008-02-06,33.650001525878906,33.59000015258789,32.650001525878906,34.16999816894531,52200
2008-02-07,33.470001220703125,33.66999816894531,32.90999984741211,34.9900016784668,53700
2008-02-08,34.189998626708984,32.599998474121094,31.93000030517578,34.189998626708984,376600
2008-02-11,33.08000183105469,32.720001220703125,31.969999313354492,33.150001525878906,37000
2008-02-12,32.66999816894531,33.349998474121094,32.2599983215332,33.41999816894531,39300
2008-02-13,33.45000076293945,32.88999938964844,32.150001525878906,33.560001373291016,34300
2008-02-14,32.83000183105469,32.599998474121094,32.52000045776367,33.9900016784668,246400
2008-02-15,32.439998626708984,32.25,31.780000686645508,32.54999923706055,29000
2008-02-19,32.619998931884766,32.58000183105469,31.350000381469727,33.0099983215332,67900
2008-02-20,32.43000030517578,33.0,31.729999542236328,33.0,156100
2008-02-21,33.0,30.6200008392334,30.420000076293945,33.5,215000
2008-02-22,31.020000457763672,28.170000076293945,28.1200008392334,31.020000457763672,252700
2008-02-25,28.079999923706055,29.93000030517578,28.079999923706055,30.0,106500
2008-02-26,32.13999938964844,32.93000030517578,31.399999618530273,33.439998626708984,308400
2008-02-27,35.0,32.0,31.93000030517578,35.20000076293945,355700
2008-02-28,32.0,33.15999984741211,31.729999542236328,33.25,122300
2008-02-29,32.97999954223633,32.52000045776367,32.2400016784668,33.43000030517578,53600
2008-03-03,32.47999954223633,32.720001220703125,32.0,33.41999816894531,418400
2008-03-04,32.650001525878906,31.649999618530273,31.190000534057617,32.70000076293945,386600
2008-03-05,31.739999771118164,32.93000030517578,31.18000030517578,33.0,207200
2008-03-06,32.70000076293945,25.6299991607666,25.469999313354492,32.70000076293945,1426300
2008-03-07,25.010000228881836,25.59000015258789,24.149999618530273,26.34000015258789,520100
2008-03-10,25.299999237060547,25.610000610351562,24.93000030517578,26.5,265300
2008-03-11,26.299999237060547,25.559999465942383,24.6200008392334,26.299999237060547,127700
2008-03-12,25.829999923706055,26.100000381469727,25.059999465942383,27.760000228881836,215800
2008-03-13,25.950000762939453,25.219999313354492,24.959999084472656,26.440000534057617,127000
2008-03-14,25.5,24.770000457763672,24.5,26.229999542236328,240300
2008-03-17,24.739999771118164,24.170000076293945,23.450000762939453,25.0,93100
2008-03-18,24.729999542236328,25.709999084472656,23.8799991607666,26.0,126900
2008-03-19,25.850000381469727,25.56999969482422,24.84000015258789,26.0,160300
2008-03-20,26.0,24.079999923706055,23.600000381469727,26.0,245800
2008-03-24,23.510000228881836,22.610000610351562,20.719999313354492,23.510000228881836,1349600
2008-03-25,22.299999237060547,22.100000381469727,21.260000228881836,22.510000228881836,488400
2008-03-26,21.899999618530273,24.75,21.010000228881836,24.799999237060547,989100
2008-03-27,24.510000228881836,24.25,23.6200008392334,24.790000915527344,594900
2008-03-28,23.670000076293945,24.049999237060547,23.670000076293945,24.489999771118164,328100
2008-03-31,23.90999984741211,23.670000076293945,23.510000228881836,24.139999389648438,333400
2008-04-01,24.0,24.920000076293945,23.920000076293945,25.25,454100
2008-04-02,24.75,24.530000686645508,24.200000762939453,24.780000686645508,322600
2008-04-03,24.610000610351562,23.770000457763672,23.350000381469727,24.610000610351562,215400
2008-04-04,24.6200008392334,23.579999923706055,23.280000686645508,24.649999618530273,391500
2008-04-07,23.530000686645508,22.700000762939453,22.3799991607666,23.530000686645508,53200
