Date,bcpcopen,bcpcclose,bcpclow,bcpchigh,bcpcvolume
2008-01-02,14.866666793823242,14.41333293914795,14.220000267028809,15.180000305175781,87000.0
2008-01-03,14.473333358764648,14.119999885559082,14.066666603088379,14.666666984558105,88600.0
2008-01-04,13.979999542236328,13.673333168029785,13.666666984558105,14.5600004196167,124900.0
2008-01-07,13.713333129882812,14.333333015441895,13.666666984558105,14.686666488647461,82800.0
2008-01-08,14.373332977294922,13.359999656677246,13.359999656677246,14.633333206176758,101500.0
2008-01-09,13.399999618530273,13.686666488647461,13.233333587646484,13.920000076293945,107100.0
2008-01-10,13.493332862854004,13.693333625793457,13.226666450500488,13.880000114440918,112900.0
2008-01-11,13.5600004196167,13.606666564941406,13.206666946411133,13.640000343322754,148200.0
2008-01-14,13.739999771118164,13.65999984741211,13.24666690826416,13.75333309173584,96100.0
2008-01-15,13.4399995803833,13.693333625793457,13.34666633605957,13.960000038146973,82800.0
2008-01-16,13.5,13.966666221618652,13.326666831970215,14.193333625793457,124000.0
2008-01-17,14.006667137145996,13.180000305175781,13.146666526794434,14.006667137145996,95800.0
2008-01-18,13.100000381469727,12.813333511352539,12.666666984558105,13.486666679382324,175800.0
2008-01-22,12.146666526794434,12.699999809265137,12.146666526794434,13.233333587646484,91800.0
2008-01-23,12.453332901000977,13.926666259765625,12.34000015258789,13.986666679382324,106200.0
2008-01-24,14.033333778381348,13.34666633605957,13.173333168029785,14.380000114440918,111400.0
2008-01-25,13.553333282470703,13.506667137145996,13.34666633605957,13.84666633605957,66100.0
2008-01-28,13.5,14.053333282470703,13.5,14.073333740234375,104500.0
2008-01-29,14.113333702087402,13.84000015258789,13.733333587646484,14.113333702087402,56700.0
2008-01-30,13.733333587646484,13.733333587646484,13.453332901000977,14.186666488647461,85900.0
2008-01-31,13.479999542236328,13.713333129882812,13.353333473205566,14.066666603088379,123100.0
2008-02-01,13.819999694824219,14.65999984741211,13.819999694824219,14.693333625793457,116100.0
2008-02-04,14.65999984741211,14.039999961853027,14.006667137145996,14.65999984741211,61200.0
2008-02-05,14.0,13.273333549499512,13.233333587646484,14.25333309173584,133500.0
2008-02-06,13.353333473205566,13.133333206176758,13.113333702087402,13.819999694824219,73500.0
2008-02-07,13.08666706085205,13.300000190734863,13.08666706085205,13.479999542236328,103300.0
2008-02-08,13.65999984741211,13.066666603088379,12.953332901000977,13.65999984741211,84600.0
2008-02-11,13.100000381469727,13.199999809265137,12.880000114440918,13.319999694824219,75600.0
2008-02-12,13.279999732971191,13.420000076293945,13.09333324432373,13.5600004196167,141300.0
2008-02-13,13.579999923706055,14.973333358764648,13.533333778381348,15.066666603088379,265300.0
2008-02-14,15.0,14.58666706085205,14.106666564941406,15.013333320617676,106000.0
2008-02-15,14.446666717529297,14.286666870117188,14.0,14.646666526794434,86200.0
2008-02-19,14.506667137145996,14.319999694824219,14.15999984741211,14.58666706085205,87000.0
2008-02-20,14.220000267028809,14.206666946411133,14.033333778381348,14.353333473205566,87100.0
2008-02-21,14.333333015441895,13.833333015441895,13.813333511352539,14.5,118200.0
2008-02-22,13.84666633605957,13.779999732971191,13.333333015441895,14.133333206176758,182500.0
2008-02-25,13.760000228881836,14.24666690826416,13.5,14.366666793823242,156400.0
2008-02-26,14.166666984558105,14.273333549499512,14.033333778381348,14.553333282470703,112200.0
2008-02-27,14.106666564941406,14.186666488647461,14.006667137145996,14.613333702087402,62200.0
2008-02-28,14.0600004196167,13.899999618530273,13.699999809265137,14.373332977294922,66400.0
2008-02-29,13.706666946411133,13.359999656677246,13.193333625793457,13.960000038146973,124800.0
2008-03-03,13.5,13.75333309173584,13.233333587646484,13.75333309173584,88800.0
2008-03-04,13.813333511352539,13.680000305175781,13.566666603088379,14.079999923706055,117700.0
2008-03-05,13.666666984558105,13.786666870117188,13.460000038146973,13.786666870117188,166300.0
2008-03-06,13.680000305175781,13.973333358764648,13.680000305175781,14.15999984741211,159100.0
2008-03-07,13.74666690826416,13.933333396911621,13.74666690826416,14.24666690826416,111400.0
2008-03-10,14.013333320617676,13.979999542236328,13.699999809265137,14.119999885559082,129900.0
2008-03-11,14.266666412353516,14.739999771118164,13.986666679382324,14.779999732971191,104500.0
2008-03-12,14.779999732971191,14.886666297912598,14.573333740234375,15.25333309173584,151200.0
2008-03-13,14.680000305175781,15.020000457763672,14.066666603088379,15.260000228881836,134400.0
2008-03-14,15.313333511352539,14.420000076293945,14.046667098999023,15.313333511352539,113200.0
2008-03-17,13.986666679382324,14.15999984741211,13.613333702087402,14.640000343322754,87400.0
2008-03-18,14.58666706085205,15.5600004196167,14.393333435058594,15.5600004196167,151200.0
2008-03-19,15.566666603088379,14.646666526794434,14.646666526794434,15.65333366394043,92500.0
2008-03-20,14.933333396911621,14.766666412353516,14.386666297912598,15.0600004196167,471600.0
2008-03-24,14.84666633605957,14.993332862854004,14.779999732971191,15.220000267028809,130600.0
2008-03-25,15.020000457763672,15.100000381469727,14.853333473205566,15.313333511352539,122100.0
2008-03-26,15.0,15.40666675567627,14.606666564941406,15.40666675567627,71400.0
2008-03-27,15.486666679382324,15.25333309173584,15.033333778381348,15.566666603088379,73300.0
2008-03-28,15.08666706085205,15.34000015258789,15.053333282470703,15.553333282470703,64500.0
2008-03-31,15.306666374206543,15.279999732971191,14.899999618530273,15.579999923706055,73300.0
2008-04-01,15.520000457763672,15.260000228881836,15.15333366394043,15.520000457763672,118300.0
2008-04-02,15.319999694824219,15.006667137145996,14.726666450500488,15.34666633605957,116500.0
