Date,isrgopen,isrgclose,isrglow,isrghigh,isrgvolume
2008-01-02,107.87999725341797,107.98332977294922,105.0,110.15666961669922,2506800.0
2008-01-03,107.9366683959961,107.25,106.91666412353516,108.66000366210938,2130600.0
2008-01-04,105.18333435058594,101.66666412353516,100.75666809082031,106.11000061035156,3085200.0
2008-01-07,102.1066665649414,99.99333190917969,98.81666564941406,104.22333526611328,3513300.0
2008-01-08,95.33333587646484,90.57666778564453,90.21666717529297,97.5433349609375,6540900.0
2008-01-09,88.55000305175781,87.87999725341797,84.40333557128906,91.51667022705078,7086600.0
2008-01-10,85.82333374023438,89.20999908447266,84.77333068847656,90.26000213623047,5321700.0
2008-01-11,88.06666564941406,87.39666748046875,86.33000183105469,90.23999786376953,3518400.0
2008-01-14,88.86333465576172,88.5633316040039,87.44000244140625,89.58000183105469,2675400.0
2008-01-15,86.35333251953125,85.40666961669922,83.5,88.13333129882812,3928200.0
2008-01-16,83.51667022705078,88.3499984741211,83.07333374023438,89.99666595458984,5410500.0
2008-01-17,88.99666595458984,87.11333465576172,84.97333526611328,90.30333709716797,3367200.0
2008-01-18,87.00333404541016,87.3566665649414,85.336669921875,88.69666290283203,3339900.0
2008-01-22,80.0433349609375,87.27999877929688,78.51000213623047,88.33333587646484,3345000.0
2008-01-23,84.99333190917969,90.28666687011719,81.6933364868164,90.37999725341797,3733500.0
2008-01-24,91.0,90.0,88.37000274658203,93.1933364868164,3178200.0
2008-01-25,91.65666961669922,89.66666412353516,89.40666961669922,92.83999633789062,2265900.0
2008-01-28,90.0,92.52333068847656,87.36333465576172,92.62000274658203,2499300.0
2008-01-29,91.31666564941406,81.43333435058594,81.33000183105469,91.31666564941406,5577600.0
2008-01-30,81.53333282470703,78.33333587646484,77.85333251953125,82.88666534423828,5817300.0
2008-01-31,76.3499984741211,84.66666412353516,75.75333404541016,85.0,6374100.0
2008-02-01,97.57666778564453,101.87000274658203,97.0,104.80999755859375,11978100.0
