Date,prlbopen,prlbclose,prlblow,prlbhigh,prlbvolume
2012-02-24,25.0,29.0,25.0,30.0,1843400
2012-02-27,28.899999618530273,28.200000762939453,27.139999389648438,30.200000762939453,62200
2012-02-28,28.25,29.270000457763672,28.1299991607666,29.280000686645508,14200
2012-02-29,29.0,30.75,29.0,30.850000381469727,31600
2012-03-01,31.190000534057617,30.0,29.399999618530273,31.190000534057617,84400
2012-03-02,30.229999542236328,28.540000915527344,28.360000610351562,30.940000534057617,63100
2012-03-05,28.5,27.25,27.15999984741211,28.5,29700
2012-03-06,27.5,28.0,27.0,28.790000915527344,96000
2012-03-07,28.5,28.110000610351562,28.0,29.75,34600
2012-03-08,28.530000686645508,30.360000610351562,28.5,30.56999969482422,59000
2012-03-09,30.770000457763672,31.40999984741211,30.170000076293945,31.920000076293945,48200
2012-03-12,31.40999984741211,31.799999237060547,31.329999923706055,31.799999237060547,27100
2012-03-13,31.950000762939453,31.65999984741211,30.959999084472656,32.4900016784668,26000
2012-03-14,32.060001373291016,33.0,31.43000030517578,33.459999084472656,75200
2012-03-15,33.20000076293945,34.2400016784668,33.20000076293945,35.33000183105469,185600
2012-03-16,34.45000076293945,34.4900016784668,34.45000076293945,35.93000030517578,131400
2012-03-19,34.220001220703125,33.5,32.95000076293945,35.709999084472656,46800
2012-03-20,33.5,32.470001220703125,32.0099983215332,33.5,35600
2012-03-21,32.72999954223633,31.8799991607666,31.690000534057617,34.0,51600
2012-03-22,31.770000457763672,32.029998779296875,31.770000457763672,32.7400016784668,18200
2012-03-23,32.290000915527344,32.45000076293945,32.0,32.90999984741211,11500
2012-03-26,32.7400016784668,33.209999084472656,32.709999084472656,33.84000015258789,27600
2012-03-27,33.45000076293945,32.25,32.0099983215332,34.0,38600
2012-03-28,32.45000076293945,32.41999816894531,31.0,33.04999923706055,66800
2012-03-29,32.68000030517578,33.619998931884766,32.290000915527344,34.119998931884766,71500
2012-03-30,34.040000915527344,34.09000015258789,33.349998474121094,34.79999923706055,392300
2012-04-02,33.72999954223633,35.130001068115234,32.900001525878906,35.61000061035156,76300
2012-04-03,35.11000061035156,35.20000076293945,34.5,35.45000076293945,44900
2012-04-04,34.9900016784668,31.860000610351562,31.600000381469727,34.9900016784668,212800
2012-04-05,31.639999389648438,32.150001525878906,31.420000076293945,32.439998626708984,25800
2012-04-09,32.970001220703125,33.959999084472656,32.709999084472656,34.720001220703125,62500
2012-04-10,33.970001220703125,33.70000076293945,33.47999954223633,34.880001068115234,83500
2012-04-11,34.09000015258789,33.029998779296875,32.33000183105469,34.09000015258789,51900
2012-04-12,32.90999984741211,32.15999984741211,31.0,32.90999984741211,97000
2012-04-13,31.84000015258789,30.799999237060547,30.780000686645508,32.08000183105469,92400
