Date,upsopen,upsclose,upslow,upshigh,upsvolume
2008-05-27,66.91999816894531,68.4000015258789,66.91999816894531,68.56999969482422,6319700.0
2008-05-28,70.2699966430664,70.54000091552734,69.5,70.9800033569336,9399900.0
2008-05-29,70.88999938964844,71.5999984741211,70.37000274658203,71.9000015258789,6796400.0
2008-05-30,71.66999816894531,71.0199966430664,70.86000061035156,71.72000122070312,4534500.0
2008-06-02,71.0199966430664,70.98999786376953,70.5199966430664,71.37999725341797,4275100.0
2008-06-03,71.0999984741211,70.83000183105469,70.41000366210938,71.73999786376953,4314300.0
2008-06-04,70.5,70.73999786376953,70.26000213623047,71.1500015258789,3499700.0
2008-06-05,70.72000122070312,71.05000305175781,70.43000030517578,71.22000122070312,3028100.0
2008-06-06,70.4800033569336,68.58999633789062,68.54000091552734,70.4800033569336,5946200.0
2008-06-09,69.20999908447266,69.47000122070312,68.76000213623047,69.68000030517578,3328100.0
2008-06-10,69.08999633789062,69.98999786376953,68.54000091552734,70.22000122070312,5522400.0
2008-06-11,69.18000030517578,68.05999755859375,67.93000030517578,69.4000015258789,5124200.0
2008-06-12,68.5,68.29000091552734,67.68000030517578,69.56999969482422,4015600.0
2008-06-13,68.77999877929688,68.30999755859375,67.5,69.13999938964844,6231100.0
2008-06-16,67.98999786376953,68.08000183105469,67.88999938964844,68.44999694824219,3431900.0
2008-06-17,68.29000091552734,67.33999633789062,67.2300033569336,68.31999969482422,3534600.0
2008-06-18,65.5,65.80000305175781,65.01000213623047,66.44000244140625,8196400.0
2008-06-19,65.62999725341797,66.83999633789062,65.27999877929688,67.08000183105469,5741400.0
2008-06-20,65.8499984741211,66.37000274658203,65.8499984741211,67.08000183105469,8470500.0
2008-06-23,66.87999725341797,66.26000213623047,66.16999816894531,66.9000015258789,4323500.0
2008-06-24,63.68000030517578,62.2599983215332,62.18000030517578,64.72000122070312,14626600.0
2008-06-25,62.43000030517578,61.400001525878906,61.18000030517578,62.54999923706055,9857600.0
2008-06-26,61.150001525878906,59.880001068115234,59.83000183105469,61.41999816894531,10591600.0
2008-06-27,59.83000183105469,60.36000061035156,59.29999923706055,60.439998626708984,9467000.0
2008-06-30,60.33000183105469,61.470001220703125,59.939998626708984,62.130001068115234,9080500.0
2008-07-01,60.41999816894531,60.5,59.5,61.0,9432700.0
2008-07-02,60.7599983215332,58.540000915527344,58.540000915527344,60.959999084472656,8839400.0
2008-07-03,58.369998931884766,59.470001220703125,58.2599983215332,60.02000045776367,5184400.0
2008-07-07,59.83000183105469,57.900001525878906,57.619998931884766,60.5,8549200.0
2008-07-08,58.939998626708984,60.400001525878906,58.77000045776367,60.45000076293945,10272100.0
2008-07-09,60.349998474121094,59.290000915527344,59.220001220703125,61.0,6207200.0
2008-07-10,59.40999984741211,59.29999923706055,58.630001068115234,59.900001525878906,5098300.0
2008-07-11,58.5099983215332,57.9900016784668,57.150001525878906,58.93000030517578,7010000.0
2008-07-14,58.58000183105469,57.189998626708984,57.0,58.77000045776367,5187000.0
2008-07-15,57.04999923706055,56.439998626708984,56.099998474121094,57.650001525878906,6206400.0
2008-07-16,56.61000061035156,59.13999938964844,56.40999984741211,59.209999084472656,6108600.0
2008-07-17,59.5,59.77000045776367,58.41999816894531,60.040000915527344,7337600.0
2008-07-18,59.709999084472656,60.810001373291016,59.0099983215332,61.02000045776367,9593800.0
2008-07-21,61.52000045776367,59.459999084472656,59.060001373291016,61.52000045776367,5252500.0
2008-07-22,59.029998779296875,62.11000061035156,59.029998779296875,62.20000076293945,7114100.0
2008-07-23,62.93000030517578,63.400001525878906,61.5099983215332,63.56999969482422,7172800.0
2008-07-24,63.529998779296875,62.5099983215332,62.45000076293945,63.650001525878906,7029700.0
2008-07-25,62.84000015258789,62.54999923706055,62.130001068115234,63.38999938964844,4292000.0
2008-07-28,62.4900016784668,61.59000015258789,61.59000015258789,62.7400016784668,4613100.0
2008-07-29,62.099998474121094,63.61000061035156,61.709999084472656,63.77000045776367,5923700.0
2008-07-30,64.0,62.939998626708984,62.20000076293945,64.8499984741211,6184700.0
2008-07-31,62.560001373291016,63.08000183105469,62.47999954223633,63.52000045776367,5922700.0
2008-08-01,62.66999816894531,62.2599983215332,61.380001068115234,63.20000076293945,4805900.0
2008-08-04,62.11000061035156,62.56999969482422,61.97999954223633,63.25,3443500.0
2008-08-05,62.970001220703125,65.25,62.970001220703125,65.43000030517578,7080400.0
2008-08-06,65.12999725341797,64.30000305175781,63.7400016784668,65.12999725341797,4251300.0
2008-08-07,63.31999969482422,63.2599983215332,63.0099983215332,64.22000122070312,4446000.0
2008-08-08,63.59000015258789,65.69999694824219,63.59000015258789,66.0199966430664,6374000.0
2008-08-11,65.44999694824219,65.51000213623047,64.54000091552734,66.33000183105469,5256800.0
2008-08-12,64.88999938964844,64.93000030517578,64.58000183105469,65.63999938964844,3594200.0
2008-08-13,64.58999633789062,64.5999984741211,63.5,65.01000213623047,3971200.0
2008-08-14,64.2699966430664,65.58999633789062,63.75,66.08000183105469,4744300.0
2008-08-15,66.0,66.13999938964844,65.63999938964844,66.86000061035156,5080800.0
2008-08-18,66.26000213623047,65.30000305175781,64.91999816894531,66.41000366210938,4029000.0
2008-08-19,64.91000366210938,64.0,63.900001525878906,65.12000274658203,5559700.0
2008-08-20,64.08000183105469,63.06999969482422,62.34000015258789,64.7699966430664,5139200.0
2008-08-21,62.11000061035156,62.189998626708984,60.9900016784668,62.369998931884766,3702700.0
2008-08-22,62.40999984741211,63.52000045776367,62.40999984741211,63.7400016784668,3655700.0
2008-08-25,63.060001373291016,62.869998931884766,62.470001220703125,63.52000045776367,3795400.0
2008-08-26,62.400001525878906,62.79999923706055,62.06999969482422,62.95000076293945,3934300.0
2008-08-27,62.7599983215332,63.52000045776367,62.150001525878906,64.0,3561900.0
2008-08-28,63.81999969482422,64.69999694824219,63.599998474121094,65.08000183105469,3203100.0
2008-08-29,64.5,64.12000274658203,64.04000091552734,65.16000366210938,3243700.0
2008-09-02,64.98999786376953,65.01000213623047,64.8499984741211,66.98999786376953,5300500.0
2008-09-03,65.05000305175781,65.6500015258789,64.55000305175781,65.80999755859375,5342000.0
2008-09-04,65.5,64.16000366210938,63.650001525878906,65.94999694824219,5090000.0
2008-09-05,63.77000045776367,63.88999938964844,62.650001525878906,64.06999969482422,4067500.0
2008-09-08,64.87999725341797,65.98999786376953,64.76000213623047,66.26000213623047,5804300.0
2008-09-09,65.25,65.16000366210938,65.16000366210938,66.94000244140625,5907500.0
2008-09-10,66.68000030517578,66.69000244140625,66.05000305175781,67.47000122070312,6493000.0
2008-09-11,66.18000030517578,68.12000274658203,65.83999633789062,68.25,7220200.0
2008-09-12,67.86000061035156,68.5999984741211,67.2699966430664,69.05000305175781,7063000.0
2008-09-15,66.87000274658203,67.6500015258789,66.87000274658203,69.2699966430664,6421200.0
2008-09-16,66.05999755859375,68.81999969482422,65.77999877929688,69.04000091552734,7931000.0
