Date,dhropen,dhrclose,dhrlow,dhrhigh,dhrvolume
2008-01-02,33.09325408935547,32.66489791870117,32.40333557128906,33.43442153930664,3757500.0
2008-01-03,32.839271545410156,32.945411682128906,32.68006134033203,33.119789123535156,3786800.0
2008-01-04,32.729339599609375,32.12282180786133,32.12282180786133,32.80894470214844,5374300.0
2008-01-07,32.380592346191406,31.307809829711914,30.97801399230957,32.380592346191406,9183400.0
2008-01-08,31.46323013305664,30.60651969909668,30.564821243286133,31.46323013305664,9562400.0
2008-01-09,30.773313522338867,30.74677848815918,29.98483657836914,31.08415412902832,6497900.0
2008-01-10,30.481426239013672,31.304018020629883,30.37528419494629,31.501136779785156,6699900.0
2008-01-11,31.07657241821289,30.21607208251953,30.026535034179688,31.383623123168945,6330900.0
2008-01-14,30.398029327392578,30.265352249145508,29.87111473083496,30.62926483154297,6917000.0
2008-01-15,29.950719833374023,30.26156234741211,29.87111473083496,30.473844528198242,10969800.0
2008-01-16,30.064443588256836,30.13646697998047,30.0037899017334,30.640636444091797,6632900.0
2008-01-17,30.314632415771484,29.226686477661133,29.188779830932617,30.887035369873047,8125500.0
2008-01-18,29.48445701599121,29.177406311035156,28.733888626098633,31.038665771484375,5761900.0
2008-01-22,27.79757308959961,28.661865234375,26.60727882385254,30.705080032348633,9417100.0
2008-01-23,28.244882583618164,29.014404296875,27.33889389038086,29.25322151184082,14579600.0
2008-01-24,29.359363555908203,28.43062973022461,28.206974029541016,29.359363555908203,10673000.0
2008-01-25,28.76042366027832,28.41925621032715,27.42608070373535,30.288097381591797,10603700.0
2008-01-28,28.5178165435791,28.244882583618164,27.994693756103516,28.5178165435791,7057700.0
2008-01-29,28.366186141967773,28.233510971069336,27.93783187866211,28.41546630859375,7055800.0
2008-01-30,28.1690673828125,28.093252182006836,27.983320236206055,28.703563690185547,5811200.0
2008-01-31,27.653526306152344,28.41546630859375,27.57771110534668,28.44579315185547,7479700.0
2008-02-01,28.28278923034668,28.77937889099121,28.237300872802734,28.862773895263672,7249400.0
2008-02-04,28.714935302734375,28.597421646118164,28.41925621032715,28.722517013549805,5166700.0
2008-02-05,28.150114059448242,28.013647079467773,27.68006134033203,28.41925621032715,6392600.0
2008-02-06,28.260046005249023,27.717967987060547,27.657316207885742,28.263835906982422,7517200.0
2008-02-07,28.16148567199707,27.869598388671875,27.524639129638672,28.362396240234375,9967600.0
2008-02-08,27.66868782043457,27.774829864501953,27.528430938720703,27.998483657836914,3761700.0
2008-02-11,27.774829864501953,27.862016677856445,27.56254768371582,28.05534553527832,5840700.0
2008-02-12,28.085670471191406,27.843063354492188,27.513267517089844,28.19181251525879,6277600.0
2008-02-13,28.15390396118164,28.78696060180664,28.05155372619629,28.90447235107422,6529300.0
2008-02-14,28.8059139251709,28.39272117614746,28.373767852783203,28.809703826904297,3628000.0
2008-02-15,28.339651107788086,28.468536376953125,28.15390396118164,28.506444931030273,4309100.0
2008-02-19,28.851402282714844,28.41167640686035,28.320697784423828,28.89310073852539,3282900.0
2008-02-20,28.188020706176758,28.620166778564453,28.104623794555664,28.680818557739258,3284800.0
2008-02-21,28.733888626098633,28.30174446105957,28.210765838623047,28.77179718017578,3682600.0
2008-02-22,28.362396240234375,28.29416275024414,27.79757308959961,28.601213455200195,6087700.0
2008-02-25,28.335861206054688,28.688400268554688,28.275209426879883,28.749052047729492,4241600.0
2008-02-26,28.43062973022461,29.03714942932129,28.39272117614746,29.135709762573242,5460600.0
2008-02-27,28.919635772705078,28.453372955322266,28.225929260253906,29.03335952758789,7523500.0
2008-02-28,28.30553436279297,28.244882583618164,27.941621780395508,28.43062973022461,6508700.0
2008-02-29,27.994693756103516,28.108415603637695,27.888551712036133,28.214555740356445,7468400.0
2008-03-03,28.04776382446289,28.150114059448242,27.755876541137695,28.150114059448242,9105000.0
2008-03-04,27.94541358947754,28.225929260253906,27.721759796142578,28.335861206054688,7566000.0
2008-03-05,27.880970001220703,28.081880569458008,27.748294830322266,28.54814338684082,9393300.0
2008-03-06,28.013647079467773,27.68385124206543,27.6724796295166,28.19181251525879,6206600.0
2008-03-07,27.410917282104492,27.31993865966797,27.156936645507812,27.759666442871094,7453400.0
2008-03-10,27.247915267944336,26.58453369140625,26.47460174560547,27.29340362548828,7458900.0
2008-03-11,27.164518356323242,27.282032012939453,26.71721076965332,27.42608070373535,7684700.0
2008-03-12,27.369218826293945,27.357847213745117,27.274450302124023,27.752084732055664,5356900.0
2008-03-13,26.891584396362305,27.604246139526367,26.520090103149414,27.657316207885742,7690500.0
2008-03-14,27.873388290405273,27.46019744873047,27.07733154296875,27.873388290405273,9287600.0
2008-03-17,26.785444259643555,27.43366241455078,25.686126708984375,27.782411575317383,7217300.0
2008-03-18,27.964366912841797,28.809703826904297,27.763456344604492,28.809703826904297,6747700.0
2008-03-19,28.809703826904297,28.41167640686035,28.41167640686035,30.12509536743164,5620700.0
2008-03-20,28.601213455200195,28.957544326782227,28.3131160736084,28.957544326782227,6897800.0
2008-03-24,29.13191795349121,29.336618423461914,28.874147415161133,29.601970672607422,5329800.0
2008-03-25,29.2987117767334,29.62471580505371,29.0106143951416,29.742229461669922,4971500.0
2008-03-26,29.52994728088379,29.27217674255371,28.889310836791992,29.564064025878906,5317100.0
2008-03-27,29.39348030090332,28.889310836791992,28.832448959350586,29.40106201171875,4889000.0
2008-03-28,29.067476272583008,28.476118087768555,28.354814529418945,29.067476272583008,6234600.0
2008-03-31,28.593631744384766,28.821077346801758,28.373767852783203,28.968915939331055,4608300.0
