Date,cprtopen,cprtclose,cprtlow,cprthigh,cprtvolume
2008-01-02,10.614999771118164,10.329999923706055,10.279999732971191,10.727499961853027,3175200.0
2008-01-03,10.407500267028809,10.462499618530273,10.270000457763672,10.46500015258789,2656800.0
2008-01-04,10.3149995803833,10.15999984741211,10.1274995803833,10.40999984741211,2010800.0
2008-01-07,10.172499656677246,10.567500114440918,10.074999809265137,10.59000015258789,3805200.0
2008-01-08,10.582500457763672,10.342499732971191,10.342499732971191,10.667499542236328,3372800.0
2008-01-09,10.322500228881836,10.522500038146973,10.1875,10.539999961853027,2653600.0
2008-01-10,10.467499732971191,10.6274995803833,10.2524995803833,10.672499656677246,1935200.0
2008-01-11,10.522500038146973,10.350000381469727,10.34749984741211,10.545000076293945,2168400.0
2008-01-14,10.442500114440918,10.322500228881836,10.167499542236328,10.442500114440918,2328800.0
2008-01-15,10.140000343322754,10.022500038146973,9.787500381469727,10.2524995803833,2805200.0
2008-01-16,9.962499618530273,10.0600004196167,9.817500114440918,10.192500114440918,1682400.0
2008-01-17,10.079999923706055,9.827500343322754,9.8125,10.167499542236328,2125200.0
2008-01-18,9.845000267028809,9.852499961853027,9.65250015258789,9.917499542236328,3253600.0
2008-01-22,9.792499542236328,9.617500305175781,9.47249984741211,9.792499542236328,4741200.0
2008-01-23,9.542499542236328,9.742500305175781,9.4375,9.772500038146973,4772400.0
2008-01-24,9.762499809265137,9.774999618530273,9.630000114440918,9.8149995803833,2970400.0
2008-01-25,9.9375,9.890000343322754,9.760000228881836,9.947500228881836,2578400.0
2008-01-28,9.875,10.227499961853027,9.7524995803833,10.227499961853027,2690000.0
2008-01-29,10.2475004196167,10.140000343322754,10.024999618530273,10.2475004196167,1560800.0
2008-01-30,10.100000381469727,10.085000038146973,10.0649995803833,10.307499885559082,1116000.0
2008-01-31,10.0,10.220000267028809,9.949999809265137,10.322500228881836,3203600.0
2008-02-01,10.257499694824219,10.25,10.125,10.3725004196167,2101200.0
2008-02-04,10.272500038146973,10.170000076293945,10.0024995803833,10.345000267028809,1808800.0
2008-02-05,10.007499694824219,9.835000038146973,9.827500343322754,10.085000038146973,1694400.0
2008-02-06,9.867500305175781,9.59000015258789,9.572500228881836,9.904999732971191,2342800.0
2008-02-07,9.515000343322754,9.7524995803833,9.515000343322754,9.8149995803833,1697200.0
2008-02-08,9.75,9.645000457763672,9.567500114440918,9.864999771118164,2373200.0
2008-02-11,9.635000228881836,9.619999885559082,9.505000114440918,9.77750015258789,2111600.0
2008-02-12,9.6899995803833,9.842499732971191,9.642499923706055,9.932499885559082,1661600.0
2008-02-13,9.944999694824219,10.072500228881836,9.944999694824219,10.09000015258789,1986400.0
2008-02-14,10.107500076293945,9.890000343322754,9.832500457763672,10.137499809265137,1697600.0
2008-02-15,9.832500457763672,9.744999885559082,9.664999961853027,9.832500457763672,1560400.0
2008-02-19,9.704999923706055,9.585000038146973,9.550000190734863,9.96500015258789,2043600.0
2008-02-20,9.524999618530273,9.8149995803833,9.522500038146973,9.835000038146973,1830400.0
2008-02-21,9.892499923706055,9.670000076293945,9.612500190734863,10.020000457763672,1159600.0
2008-02-22,9.717499732971191,9.717499732971191,9.542499542236328,9.725000381469727,1158000.0
2008-02-25,9.727499961853027,9.887499809265137,9.617500305175781,9.904999732971191,1452800.0
2008-02-26,9.8725004196167,9.987500190734863,9.8725004196167,10.107500076293945,1755600.0
2008-02-27,9.890000343322754,10.362500190734863,9.890000343322754,10.390000343322754,3170000.0
2008-02-28,10.342499732971191,10.640000343322754,10.125,10.694999694824219,3818400.0
2008-02-29,10.507499694824219,10.414999961853027,10.229999542236328,10.569999694824219,3570800.0
2008-03-03,10.4375,10.569999694824219,10.274999618530273,10.707500457763672,3076400.0
2008-03-04,10.482500076293945,10.425000190734863,10.175000190734863,10.550000190734863,2831600.0
2008-03-05,10.477499961853027,10.457500457763672,10.202500343322754,10.592499732971191,1821600.0
2008-03-06,10.454999923706055,9.857500076293945,9.805000305175781,10.454999923706055,4057200.0
2008-03-07,8.532500267028809,8.852499961853027,8.452500343322754,9.22249984741211,18446800.0
2008-03-10,9.085000038146973,9.287500381469727,9.02750015258789,9.335000038146973,11050400.0
2008-03-11,9.297499656677246,9.382499694824219,9.225000381469727,9.417499542236328,7026400.0
2008-03-12,9.382499694824219,9.327500343322754,9.170000076293945,9.382499694824219,5490000.0
2008-03-13,9.302499771118164,9.529999732971191,9.25,9.579999923706055,4860800.0
2008-03-14,9.602499961853027,9.550000190734863,9.4399995803833,9.90250015258789,5181600.0
2008-03-17,9.2524995803833,9.529999732971191,9.2524995803833,9.645000457763672,5496800.0
2008-03-18,9.670000076293945,9.5,9.350000381469727,9.732500076293945,6284000.0
2008-03-19,9.4375,9.47249984741211,9.3725004196167,9.654999732971191,5649200.0
2008-03-20,9.53499984741211,9.782500267028809,9.47249984741211,9.782500267028809,3624000.0
2008-03-24,9.832500457763672,9.880000114440918,9.767499923706055,9.975000381469727,2654800.0
2008-03-25,9.890000343322754,9.882499694824219,9.734999656677246,9.992500305175781,2418400.0
2008-03-26,9.875,9.725000381469727,9.680000305175781,9.875,2258400.0
2008-03-27,9.765000343322754,9.617500305175781,9.600000381469727,9.949999809265137,2656400.0
2008-03-28,9.670000076293945,9.550000190734863,9.512499809265137,9.8100004196167,3106800.0
2008-03-31,9.595000267028809,9.6899995803833,9.462499618530273,9.732500076293945,3194000.0
2008-04-01,9.75,9.885000228881836,9.637499809265137,9.9399995803833,1811200.0
2008-04-02,9.875,9.907500267028809,9.755000114440918,10.022500038146973,2037600.0
2008-04-03,9.880000114440918,10.012499809265137,9.720000267028809,10.024999618530273,2221600.0
2008-04-04,10.03499984741211,10.327500343322754,10.0,10.350000381469727,2854000.0
2008-04-07,10.369999885559082,10.1899995803833,10.1274995803833,10.369999885559082,2146000.0
2008-04-08,10.1875,10.167499542236328,10.0649995803833,10.217499732971191,1824800.0
2008-04-09,10.15999984741211,9.9975004196167,9.967499732971191,10.192500114440918,1494000.0
2008-04-10,10.079999923706055,10.022500038146973,9.9975004196167,10.107500076293945,2255600.0
2008-04-11,9.987500190734863,9.97249984741211,9.880000114440918,10.037500381469727,1957600.0
2008-04-14,9.992500305175781,9.944999694824219,9.90999984741211,9.992500305175781,1768800.0
2008-04-15,9.944999694824219,9.887499809265137,9.795000076293945,9.944999694824219,2024800.0
2008-04-16,9.930000305175781,10.104999542236328,9.887499809265137,10.140000343322754,1210000.0
2008-04-17,10.09000015258789,10.042499542236328,9.9350004196167,10.09000015258789,872400.0
2008-04-18,10.154999732971191,10.142499923706055,10.052499771118164,10.300000190734863,1228000.0
2008-04-21,10.117500305175781,10.177499771118164,10.02750015258789,10.180000305175781,941200.0
2008-04-22,10.157500267028809,10.1274995803833,10.0,10.162500381469727,1534800.0
2008-04-23,10.137499809265137,10.107500076293945,9.960000038146973,10.147500038146973,984800.0
2008-04-24,10.137499809265137,10.210000038146973,10.0024995803833,10.319999694824219,1192400.0
2008-04-25,10.232500076293945,10.28499984741211,10.125,10.352499961853027,1051200.0
2008-04-28,10.317500114440918,10.362500190734863,10.25,10.449999809265137,1557200.0
2008-04-29,10.367500305175781,10.242500305175781,10.082500457763672,10.375,2310800.0
2008-04-30,10.244999885559082,10.217499732971191,10.145000457763672,10.422499656677246,2222800.0
2008-05-01,10.1899995803833,10.444999694824219,10.1850004196167,10.457500457763672,1943200.0
2008-05-02,10.475000381469727,10.3100004196167,10.300000190734863,10.607500076293945,1817600.0
2008-05-05,10.34000015258789,10.2524995803833,10.149999618530273,10.34000015258789,1302800.0
2008-05-06,10.227499961853027,10.282500267028809,10.142499923706055,10.34749984741211,1332800.0
2008-05-07,10.307499885559082,10.197500228881836,10.167499542236328,10.417499542236328,920800.0
2008-05-08,10.234999656677246,10.237500190734863,10.145000457763672,10.3149995803833,1148400.0
2008-05-09,10.172499656677246,10.375,10.112500190734863,10.412500381469727,1279600.0
2008-05-12,10.40999984741211,10.28499984741211,10.225000381469727,10.40999984741211,1747200.0
2008-05-13,10.307499885559082,10.46500015258789,10.260000228881836,10.475000381469727,1590800.0
2008-05-14,10.5,10.425000190734863,10.40250015258789,10.617500305175781,1438000.0
2008-05-15,10.447500228881836,10.53499984741211,10.425000190734863,10.5625,1305200.0
