Date,tripopen,tripclose,triplow,triphigh,tripvolume
2011-12-07,27.5,27.450000762939453,24.0,27.760000228881836,1413700
2011-12-08,26.059999465942383,26.549999237060547,25.760000228881836,27.780000686645508,719600
2011-12-09,27.93000030517578,27.90999984741211,26.700000762939453,28.0,716200
2011-12-12,28.280000686645508,27.450000762939453,27.0,28.280000686645508,393300
2011-12-13,28.530000686645508,27.5,27.010000228881836,28.530000686645508,452500
2011-12-14,28.190000534057617,27.1200008392334,26.850000381469727,28.190000534057617,444400
2011-12-15,27.8700008392334,28.329999923706055,27.600000381469727,29.100000381469727,1417600
2011-12-16,29.920000076293945,28.459999084472656,28.0,29.920000076293945,966700
2011-12-19,28.690000534057617,28.969999313354492,28.40999984741211,29.459999084472656,1048500
2011-12-20,29.5,30.25,29.469999313354492,30.6200008392334,2017200
2011-12-21,30.0,27.670000076293945,27.510000228881836,30.0,2871800
2011-12-22,27.1200008392334,24.530000686645508,23.989999771118164,27.600000381469727,6294100
2011-12-23,24.709999084472656,26.020000457763672,24.5,27.139999389648438,2744200
2011-12-27,25.360000610351562,25.940000534057617,24.6299991607666,26.100000381469727,2887400
2011-12-28,25.25,25.770000457763672,24.940000534057617,25.979999542236328,2098600
2011-12-29,25.540000915527344,24.81999969482422,24.790000915527344,25.65999984741211,2247300
2011-12-30,24.969999313354492,25.209999084472656,24.639999389648438,25.549999237060547,1798400
2012-01-03,26.149999618530273,26.6299991607666,26.110000610351562,27.350000381469727,3721800
2012-01-04,25.81999969482422,25.68000030517578,25.40999984741211,26.09000015258789,1681000
2012-01-05,24.56999969482422,25.520000457763672,24.56999969482422,25.81999969482422,1534700
2012-01-06,25.520000457763672,25.56999969482422,25.170000076293945,26.020000457763672,1484800
2012-01-09,25.739999771118164,26.260000228881836,25.649999618530273,26.770000457763672,1965300
2012-01-10,26.729999542236328,27.75,26.59000015258789,28.239999771118164,4177500
2012-01-11,26.690000534057617,27.790000915527344,26.559999465942383,28.219999313354492,1803300
2012-01-12,27.8700008392334,28.459999084472656,27.799999237060547,29.170000076293945,2005600
2012-01-13,28.219999313354492,29.510000228881836,27.93000030517578,29.770000457763672,1993400
2012-01-17,29.579999923706055,28.989999771118164,28.90999984741211,29.799999237060547,3210100
2012-01-18,28.690000534057617,29.030000686645508,28.520000457763672,29.43000030517578,1205200
