Date,rostopen,rostclose,rostlow,rosthigh,rostvolume
2008-01-02,6.367499828338623,6.252500057220459,6.242499828338623,6.429999828338623,5923200.0
2008-01-03,6.25,6.067500114440918,6.050000190734863,6.252500057220459,4152400.0
2008-01-04,6.007500171661377,5.784999847412109,5.727499961853027,6.022500038146973,10352000.0
2008-01-07,5.775000095367432,5.677499771118164,5.599999904632568,5.847499847412109,11090000.0
2008-01-08,5.707499980926514,5.369999885559082,5.369999885559082,5.71999979019165,9110800.0
2008-01-09,5.375,5.522500038146973,5.307499885559082,5.534999847412109,9247600.0
2008-01-10,5.574999809265137,6.142499923706055,5.574999809265137,6.289999961853027,18081200.0
2008-01-11,6.105000019073486,6.090000152587891,5.929999828338623,6.132500171661377,13412800.0
2008-01-14,6.119999885559082,6.142499923706055,6.097499847412109,6.215000152587891,8600800.0
2008-01-15,6.077499866485596,5.987500190734863,5.932499885559082,6.110000133514404,7033600.0
2008-01-16,5.952499866485596,6.1875,5.927499771118164,6.300000190734863,10075200.0
2008-01-17,6.199999809265137,6.269999980926514,6.177499771118164,6.422500133514404,11010400.0
2008-01-18,6.287499904632568,6.257500171661377,6.239999771118164,6.545000076293945,11842400.0
2008-01-22,6.164999961853027,6.632500171661377,6.067500114440918,6.659999847412109,12585200.0
2008-01-23,6.472499847412109,6.862500190734863,6.414999961853027,6.9375,16274000.0
2008-01-24,6.869999885559082,7.007500171661377,6.724999904632568,7.070000171661377,14272800.0
2008-01-25,7.059999942779541,6.610000133514404,6.547500133514404,7.059999942779541,10860000.0
2008-01-28,6.597499847412109,7.034999847412109,6.542500019073486,7.034999847412109,7781600.0
2008-01-29,7.037499904632568,7.1875,6.787499904632568,7.197500228881836,8864800.0
2008-01-30,7.159999847412109,7.054999828338623,7.025000095367432,7.262499809265137,9442800.0
2008-01-31,6.949999809265137,7.287499904632568,6.875,7.397500038146973,10848400.0
2008-02-01,7.269999980926514,7.472499847412109,7.159999847412109,7.474999904632568,9440800.0
2008-02-04,7.462500095367432,7.039999961853027,6.9375,7.462500095367432,8343600.0
2008-02-05,6.972499847412109,6.880000114440918,6.867499828338623,7.099999904632568,11177200.0
2008-02-06,6.929999828338623,6.772500038146973,6.760000228881836,7.067500114440918,8423600.0
2008-02-07,6.945000171661377,6.987500190734863,6.877500057220459,7.125,16202000.0
2008-02-08,7.005000114440918,6.882500171661377,6.835000038146973,7.010000228881836,9474400.0
2008-02-11,6.902500152587891,6.982500076293945,6.840000152587891,7.027500152587891,8748000.0
2008-02-12,7.03249979019165,7.050000190734863,7.0,7.159999847412109,6933600.0
2008-02-13,7.122499942779541,7.022500038146973,6.917500019073486,7.179999828338623,6094800.0
2008-02-14,7.047500133514404,6.880000114440918,6.807499885559082,7.047500133514404,6868000.0
2008-02-15,6.727499961853027,6.880000114440918,6.697500228881836,6.934999942779541,11909200.0
