Date,pzzaopen,pzzaclose,pzzalow,pzzahigh,pzzavolume
2008-01-02,11.234999656677246,11.104999542236328,10.994999885559082,11.414999961853027,714800.0
2008-01-03,11.149999618530273,10.479999542236328,10.470000267028809,11.225000381469727,1246800.0
2008-01-04,10.4350004196167,10.46500015258789,10.28499984741211,10.645000457763672,743000.0
2008-01-07,10.53499984741211,11.039999961853027,10.399999618530273,11.324999809265137,1697000.0
2008-01-08,11.125,10.789999961853027,10.774999618530273,11.220000267028809,1541400.0
2008-01-09,10.6899995803833,10.930000305175781,10.529999732971191,11.09000015258789,730800.0
2008-01-10,10.869999885559082,11.255000114440918,10.739999771118164,11.3100004196167,571200.0
2008-01-11,11.164999961853027,11.085000038146973,11.0,11.210000038146973,709400.0
2008-01-14,11.194999694824219,11.010000228881836,10.899999618530273,11.324999809265137,807600.0
2008-01-15,10.875,10.625,10.569999694824219,10.875,880600.0
2008-01-16,10.619999885559082,10.949999809265137,10.619999885559082,11.045000076293945,788600.0
2008-01-17,11.010000228881836,10.954999923706055,10.8149995803833,11.010000228881836,817800.0
2008-01-18,10.949999809265137,11.130000114440918,10.859999656677246,11.1850004196167,1314400.0
2008-01-22,10.585000038146973,10.994999885559082,10.585000038146973,11.305000305175781,954600.0
2008-01-23,10.760000228881836,11.824999809265137,10.760000228881836,11.954999923706055,1358200.0
2008-01-24,11.819999694824219,11.850000381469727,11.574999809265137,11.96500015258789,604600.0
2008-01-25,11.994999885559082,11.8100004196167,11.710000038146973,12.104999542236328,752400.0
2008-01-28,11.755000114440918,11.755000114440918,11.449999809265137,11.800000190734863,1001800.0
2008-01-29,11.835000038146973,12.164999961853027,11.8100004196167,12.204999923706055,1062600.0
2008-01-30,12.100000381469727,11.829999923706055,11.824999809265137,12.295000076293945,681000.0
2008-01-31,11.65999984741211,12.645000457763672,11.550000190734863,12.864999771118164,1285400.0
2008-02-01,12.694999694824219,12.850000381469727,12.5,12.895000457763672,758400.0
2008-02-04,12.84000015258789,12.550000190734863,12.460000038146973,12.920000076293945,723200.0
2008-02-05,12.335000038146973,12.244999885559082,12.199999809265137,12.59000015258789,577000.0
2008-02-06,12.319999694824219,11.885000228881836,11.875,12.395000457763672,450800.0
2008-02-07,11.84000015258789,12.369999885559082,11.78499984741211,12.524999618530273,707200.0
2008-02-08,12.050000190734863,12.130000114440918,12.050000190734863,12.369999885559082,671600.0
2008-02-11,12.109999656677246,11.944999694824219,11.765000343322754,12.234999656677246,781200.0
2008-02-12,11.960000038146973,12.100000381469727,11.899999618530273,12.274999618530273,744200.0
2008-02-13,12.220000267028809,12.6899995803833,12.220000267028809,12.789999961853027,2168800.0
2008-02-14,12.765000343322754,12.130000114440918,12.125,12.84000015258789,840400.0
2008-02-15,12.09000015258789,12.135000228881836,11.895000457763672,12.180000305175781,537000.0
2008-02-19,12.279999732971191,12.199999809265137,12.119999885559082,12.305000305175781,366200.0
2008-02-20,12.140000343322754,12.114999771118164,11.914999961853027,12.225000381469727,707400.0
2008-02-21,12.135000228881836,11.925000190734863,11.864999771118164,12.305000305175781,745800.0
2008-02-22,11.920000076293945,11.90999984741211,11.789999961853027,12.149999618530273,646800.0
2008-02-25,11.960000038146973,11.755000114440918,11.53499984741211,11.994999885559082,918000.0
2008-02-26,11.739999771118164,12.364999771118164,11.585000038146973,12.5,1244800.0
2008-02-27,12.399999618530273,13.5,12.399999618530273,14.0,3099400.0
2008-02-28,13.460000038146973,13.359999656677246,13.289999961853027,13.609999656677246,834200.0
