Date,sbuxopen,sbuxclose,sbuxlow,sbuxhigh,sbuxvolume
2010-08-19,12.164999961853027,12.020000457763672,11.930000305175781,12.260000228881836,13623600.0
2010-08-20,12.010000228881836,12.024999618530273,11.880000114440918,12.055000305175781,10909600.0
2010-08-23,12.0600004196167,11.84000015258789,11.84000015258789,12.164999961853027,13230000.0
2010-08-24,11.649999618530273,11.40999984741211,11.350000381469727,11.649999618530273,27815000.0
2010-08-25,11.300000190734863,11.680000305175781,11.25,11.739999771118164,20244200.0
2010-08-26,11.704999923706055,11.635000228881836,11.59000015258789,11.8100004196167,15060000.0
2010-08-27,11.6899995803833,11.734999656677246,11.454999923706055,11.789999961853027,12109000.0
2010-08-30,11.725000381469727,11.71500015258789,11.6850004196167,11.819999694824219,11926000.0
2010-08-31,11.600000381469727,11.489999771118164,11.345000267028809,11.739999771118164,21136600.0
2010-09-01,11.59000015258789,11.84000015258789,11.515000343322754,11.885000228881836,14365200.0
2010-09-02,11.829999923706055,12.329999923706055,11.774999618530273,12.34000015258789,23932400.0
2010-09-03,12.489999771118164,12.53499984741211,12.359999656677246,12.595000267028809,11773400.0
2010-09-07,12.444999694824219,12.4350004196167,12.335000038146973,12.520000457763672,12830400.0
2010-09-08,12.444999694824219,12.390000343322754,12.345000267028809,12.550000190734863,12205400.0
2010-09-09,12.484999656677246,12.414999961853027,12.265000343322754,12.484999656677246,10329200.0
2010-09-10,12.470000267028809,12.699999809265137,12.425000190734863,12.720000267028809,12798600.0
2010-09-13,12.774999618530273,12.875,12.774999618530273,13.0,17364600.0
2010-09-14,12.850000381469727,12.890000343322754,12.765000343322754,12.9350004196167,12253200.0
2010-09-15,12.795000076293945,12.875,12.71500015258789,12.890000343322754,11151200.0
2010-09-16,12.8149995803833,12.864999771118164,12.725000381469727,12.914999961853027,8368400.0
2010-09-17,12.925000190734863,12.765000343322754,12.71500015258789,12.9399995803833,16694800.0
2010-09-20,12.805000305175781,13.140000343322754,12.770000457763672,13.170000076293945,13225200.0
2010-09-21,13.104999542236328,13.079999923706055,12.989999771118164,13.170000076293945,14358200.0
2010-09-22,13.119999885559082,12.96500015258789,12.914999961853027,13.225000381469727,12248400.0
2010-09-23,12.824999809265137,12.725000381469727,12.6850004196167,13.09000015258789,14068400.0
2010-09-24,12.925000190734863,13.0649995803833,12.90999984741211,13.100000381469727,23203800.0
2010-09-27,13.015000343322754,13.074999809265137,13.015000343322754,13.1899995803833,15232000.0
2010-09-28,13.1850004196167,13.069999694824219,12.859999656677246,13.28499984741211,14969000.0
2010-09-29,13.09000015258789,12.899999618530273,12.819999694824219,13.100000381469727,13066000.0
2010-09-30,12.96500015258789,12.774999618530273,12.6899995803833,13.050000190734863,16740600.0
2010-10-01,12.944999694824219,12.970000267028809,12.770000457763672,13.039999961853027,17455400.0
2010-10-04,12.899999618530273,12.845000267028809,12.6850004196167,12.970000267028809,10910600.0
2010-10-05,13.03499984741211,13.125,12.975000381469727,13.194999694824219,14287200.0
2010-10-06,13.039999961853027,13.050000190734863,12.869999885559082,13.109999656677246,14798000.0
2010-10-07,13.055000305175781,13.03499984741211,12.90999984741211,13.109999656677246,10380400.0
2010-10-08,13.045000076293945,13.03499984741211,12.835000038146973,13.149999618530273,9222400.0
2010-10-11,12.994999885559082,12.994999885559082,12.9350004196167,13.199999809265137,11484400.0
2010-10-12,13.0,13.569999694824219,12.949999809265137,13.649999618530273,29020200.0
2010-10-13,13.614999771118164,13.630000114440918,13.444999694824219,13.675000190734863,14618600.0
2010-10-14,13.569999694824219,13.71500015258789,13.569999694824219,13.880000114440918,14601600.0
2010-10-15,13.800000190734863,13.770000457763672,13.585000038146973,13.800000190734863,11823800.0
2010-10-18,13.720000267028809,13.675000190734863,13.59000015258789,13.770000457763672,10964800.0
2010-10-19,13.625,13.539999961853027,13.420000076293945,13.739999771118164,13655000.0
2010-10-20,13.539999961853027,13.725000381469727,13.515000343322754,13.859999656677246,13356000.0
2010-10-21,13.739999771118164,13.645000457763672,13.510000228881836,13.904999732971191,10634600.0
2010-10-22,13.520000457763672,14.244999885559082,13.515000343322754,14.305000305175781,22770800.0
2010-10-25,14.274999618530273,14.194999694824219,14.170000076293945,14.399999618530273,11396400.0
2010-10-26,14.114999771118164,14.265000343322754,14.0600004196167,14.305000305175781,9513600.0
2010-10-27,14.104999542236328,14.130000114440918,14.010000228881836,14.164999961853027,11134000.0
2010-10-28,14.225000381469727,14.114999771118164,14.015000343322754,14.25,8131600.0
2010-10-29,14.074999809265137,14.279999732971191,14.050000190734863,14.375,13535000.0
2010-11-01,14.34000015258789,14.404999732971191,14.220000267028809,14.494999885559082,11093200.0
2010-11-02,14.444999694824219,14.4399995803833,14.380000114440918,14.569999694824219,9290600.0
2010-11-03,14.404999732971191,14.550000190734863,14.3100004196167,14.645000457763672,13359400.0
2010-11-04,14.84000015258789,14.875,14.770000457763672,15.0,29505400.0
2010-11-05,15.28499984741211,15.4350004196167,15.175000190734863,15.649999618530273,36640600.0
2010-11-08,15.244999885559082,15.3149995803833,15.09000015258789,15.449999809265137,15613000.0
2010-11-09,15.420000076293945,15.085000038146973,14.994999885559082,15.420000076293945,15047600.0
2010-11-10,15.050000190734863,15.234999656677246,15.0,15.375,15171400.0
2010-11-11,15.050000190734863,15.369999885559082,15.005000114440918,15.475000381469727,11397400.0
2010-11-12,15.354999542236328,15.095000267028809,14.920000076293945,15.354999542236328,12922000.0
2010-11-15,15.045000076293945,15.395000457763672,15.045000076293945,15.5,18969000.0
2010-11-16,15.199999809265137,14.920000076293945,14.890000343322754,15.404999732971191,14845800.0
2010-11-17,14.869999885559082,14.994999885559082,14.725000381469727,15.069999694824219,10486000.0
2010-11-18,15.109999656677246,15.289999961853027,15.03499984741211,15.430000305175781,13601200.0
2010-11-19,15.229999542236328,15.380000114440918,15.145000457763672,15.454999923706055,13522000.0
2010-11-22,15.295000076293945,15.4350004196167,15.25,15.545000076293945,13425000.0
2010-11-23,15.260000228881836,15.199999809265137,15.074999809265137,15.380000114440918,17195600.0
2010-11-24,15.359999656677246,15.739999771118164,15.34000015258789,15.755000114440918,20611800.0
2010-11-26,15.595000267028809,15.569999694824219,15.53499984741211,15.675000190734863,4651200.0
2010-11-29,15.324999809265137,15.395000457763672,15.100000381469727,15.46500015258789,13510400.0
2010-11-30,15.154999732971191,15.300000190734863,15.069999694824219,15.46500015258789,17186200.0
2010-12-01,15.505000114440918,15.850000381469727,15.505000114440918,16.014999389648438,20384600.0
2010-12-02,15.930000305175781,16.3799991607666,15.885000228881836,16.399999618530273,20100600.0
2010-12-03,16.28499984741211,16.360000610351562,16.045000076293945,16.440000534057617,16435000.0
2010-12-06,16.30500030517578,16.360000610351562,16.225000381469727,16.399999618530273,10276000.0
2010-12-07,16.4950008392334,16.389999389648438,16.309999465942383,16.545000076293945,13535800.0
2010-12-08,16.44499969482422,16.290000915527344,16.229999542236328,16.44499969482422,8590400.0
2010-12-09,16.350000381469727,16.200000762939453,16.079999923706055,16.399999618530273,11720800.0
2010-12-10,16.209999084472656,16.295000076293945,16.059999465942383,16.354999542236328,8208000.0
2010-12-13,16.364999771118164,15.994999885559082,15.994999885559082,16.375,10908400.0
2010-12-14,15.970000267028809,16.05500030517578,15.90999984741211,16.149999618530273,10083600.0
2010-12-15,16.05500030517578,15.9350004196167,15.829999923706055,16.190000534057617,13788000.0
2010-12-16,16.25,16.295000076293945,16.100000381469727,16.399999618530273,16072000.0
2010-12-17,16.270000457763672,16.395000457763672,16.184999465942383,16.475000381469727,17918400.0
2010-12-20,16.434999465942383,16.46500015258789,16.260000228881836,16.53499984741211,8660000.0
2010-12-21,16.524999618530273,16.43000030517578,16.25,16.524999618530273,7347000.0
2010-12-22,16.5,16.46500015258789,16.399999618530273,16.575000762939453,6785200.0
2010-12-23,16.395000457763672,16.315000534057617,16.264999389648438,16.4950008392334,6767200.0
2010-12-27,16.325000762939453,16.235000610351562,16.079999923706055,16.34000015258789,4668800.0
2010-12-28,16.2549991607666,16.19499969482422,16.024999618530273,16.344999313354492,6234000.0
2010-12-29,16.264999389648438,16.2549991607666,16.204999923706055,16.3700008392334,4668600.0
2010-12-30,16.19499969482422,16.204999923706055,16.100000381469727,16.274999618530273,4907200.0
2010-12-31,16.204999923706055,16.065000534057617,15.975000381469727,16.239999771118164,6346200.0
2011-01-03,16.2450008392334,16.625,16.229999542236328,16.709999084472656,12764600.0
2011-01-04,16.625,16.239999771118164,16.219999313354492,16.645000457763672,13306000.0
2011-01-05,16.1299991607666,16.174999237060547,16.125,16.420000076293945,11501800.0
2011-01-06,16.184999465942383,15.979999542236328,15.895000457763672,16.25,13253400.0
2011-01-07,16.020000457763672,16.389999389648438,15.930000305175781,16.43000030517578,19791400.0
2011-01-10,16.239999771118164,16.385000228881836,16.065000534057617,16.475000381469727,15540600.0
2011-01-11,16.450000762939453,16.1299991607666,16.079999923706055,16.450000762939453,16100200.0
2011-01-12,16.290000915527344,16.100000381469727,16.030000686645508,16.329999923706055,16419400.0
2011-01-13,16.05500030517578,16.204999923706055,16.05500030517578,16.219999313354492,11235000.0
2011-01-14,16.100000381469727,16.350000381469727,16.09000015258789,16.364999771118164,11265800.0
2011-01-18,16.364999771118164,16.5,16.344999313354492,16.625,15682400.0
2011-01-19,16.239999771118164,16.5049991607666,16.235000610351562,16.53499984741211,12982000.0
2011-01-20,16.530000686645508,16.59000015258789,16.395000457763672,16.69499969482422,18641400.0
2011-01-21,16.709999084472656,16.600000381469727,16.530000686645508,16.860000610351562,23129800.0
2011-01-24,16.579999923706055,16.7450008392334,16.454999923706055,16.75,11974800.0
2011-01-25,16.639999389648438,16.825000762939453,16.604999542236328,16.889999389648438,18252800.0
2011-01-26,16.80500030517578,16.53499984741211,16.3700008392334,16.80500030517578,37247800.0
2011-01-27,16.15999984741211,16.514999389648438,16.024999618530273,16.725000381469727,32931800.0
2011-01-28,16.530000686645508,15.864999771118164,15.760000228881836,16.559999465942383,26823400.0
2011-01-31,15.770000457763672,15.765000343322754,15.375,15.869999885559082,25171800.0
2011-02-01,15.880000114440918,16.125,15.78499984741211,16.155000686645508,21049800.0
2011-02-02,16.079999923706055,16.100000381469727,15.84000015258789,16.125,13099000.0
2011-02-03,16.110000610351562,16.18000030517578,16.024999618530273,16.260000228881836,12782600.0
2011-02-04,16.15999984741211,16.290000915527344,16.030000686645508,16.3700008392334,14393400.0
2011-02-07,16.25,16.174999237060547,16.114999771118164,16.364999771118164,12320400.0
2011-02-08,16.1200008392334,16.559999465942383,16.114999771118164,16.594999313354492,13565400.0
2011-02-09,16.5,16.4950008392334,16.395000457763672,16.56999969482422,8665400.0
2011-02-10,16.440000534057617,16.579999923706055,16.375,16.6299991607666,17855600.0
2011-02-11,16.5,16.674999237060547,16.3799991607666,16.690000534057617,12259200.0
2011-02-14,16.704999923706055,16.790000915527344,16.594999313354492,16.889999389648438,15961200.0
2011-02-15,16.709999084472656,16.59000015258789,16.575000762939453,16.780000686645508,11332000.0
2011-02-16,16.645000457763672,16.78499984741211,16.565000534057617,16.84000015258789,10671600.0
2011-02-17,16.729999542236328,16.75,16.639999389648438,16.84000015258789,9791400.0
2011-02-18,16.719999313354492,17.0,16.639999389648438,17.014999389648438,15881600.0
2011-02-22,16.84000015258789,16.385000228881836,16.334999084472656,16.96500015258789,15101600.0
2011-02-23,16.375,15.954999923706055,15.694999694824219,16.385000228881836,16680000.0
2011-02-24,15.899999618530273,15.954999923706055,15.585000038146973,15.984999656677246,18856200.0
2011-02-25,16.045000076293945,16.25,16.0,16.34000015258789,19325600.0
2011-02-28,16.399999618530273,16.489999771118164,16.295000076293945,16.524999618530273,18027400.0
2011-03-01,16.614999771118164,16.19499969482422,16.1200008392334,16.684999465942383,20471000.0
2011-03-02,16.145000457763672,16.110000610351562,15.859999656677246,16.19499969482422,16253600.0
2011-03-03,16.2450008392334,16.5049991607666,16.235000610351562,16.6299991607666,13107600.0
2011-03-04,16.450000762939453,16.559999465942383,16.309999465942383,16.59000015258789,16241000.0
2011-03-07,17.0,16.799999237060547,16.655000686645508,17.395000457763672,26465800.0
2011-03-08,16.860000610351562,17.0049991607666,16.80500030517578,17.155000686645508,16973400.0
2011-03-09,16.975000381469727,17.270000457763672,16.860000610351562,17.299999237060547,16728600.0
2011-03-10,18.540000915527344,18.985000610351562,18.469999313354492,19.104999542236328,72206200.0
2011-03-11,18.649999618530273,18.280000686645508,18.15999984741211,18.80500030517578,30486000.0
2011-03-14,18.155000686645508,17.864999771118164,17.75,18.260000228881836,24991800.0
2011-03-15,17.3700008392334,17.860000610351562,17.334999084472656,17.979999542236328,17963600.0
2011-03-16,17.44499969482422,17.5,17.434999465942383,17.790000915527344,19430400.0
