Date,chkopen,chkclose,chklow,chkhigh,chkvolume
2018-01-12,4.21999979019165,4.28000020980835,4.179999828338623,4.340000152587891,33197100.0
2018-01-16,4.300000190734863,4.139999866485596,4.119999885559082,4.300000190734863,32862600.0
2018-01-17,4.170000076293945,4.090000152587891,4.019999980926514,4.179999828338623,32859100.0
2018-01-18,4.070000171661377,3.990000009536743,3.9700000286102295,4.079999923706055,23808900.0
2018-01-19,4.0,3.950000047683716,3.9100000858306885,4.0,22388600.0
2018-01-22,3.9700000286102295,3.9700000286102295,3.9000000953674316,3.990000009536743,28296500.0
2018-01-23,4.050000190734863,4.070000171661377,3.9700000286102295,4.110000133514404,29459900.0
2018-01-24,4.090000152587891,4.079999923706055,4.070000171661377,4.179999828338623,29132100.0
2018-01-25,4.139999866485596,3.9600000381469727,3.9200000762939453,4.179999828338623,32781900.0
2018-01-26,4.0,4.0,3.940000057220459,4.010000228881836,20907800.0
2018-01-29,3.950000047683716,3.880000114440918,3.859999895095825,3.990000009536743,26759500.0
2018-01-30,3.8499999046325684,3.630000114440918,3.619999885559082,3.8499999046325684,58594700.0
2018-01-31,3.680000066757202,3.5,3.5,3.690000057220459,42937400.0
2018-02-01,3.490000009536743,3.4600000381469727,3.299999952316284,3.5,50696200.0
2018-02-02,3.430000066757202,3.3299999237060547,3.299999952316284,3.440000057220459,42975900.0
2018-02-05,3.299999952316284,3.0899999141693115,3.0,3.369999885559082,51894400.0
2018-02-06,3.009999990463257,3.130000114440918,2.9800000190734863,3.190000057220459,46966000.0
2018-02-07,3.119999885559082,2.890000104904175,2.799999952316284,3.1600000858306885,71174900.0
2018-02-08,2.9200000762939453,2.819999933242798,2.799999952316284,2.9600000381469727,33741900.0
2018-02-09,2.8499999046325684,2.8499999046325684,2.5299999713897705,2.869999885559082,66470800.0
2018-02-12,2.9200000762939453,2.8499999046325684,2.8399999141693115,2.9700000286102295,32884800.0
2018-02-13,2.8499999046325684,2.740000009536743,2.7200000286102295,2.869999885559082,31014000.0
2018-02-14,2.700000047683716,2.799999952316284,2.6600000858306885,2.869999885559082,26924900.0
2018-02-15,2.819999933242798,2.859999895095825,2.7200000286102295,2.880000114440918,27714300.0
2018-02-16,2.8499999046325684,2.7300000190734863,2.700000047683716,2.859999895095825,29056600.0
2018-02-20,2.7699999809265137,2.7699999809265137,2.7300000190734863,2.7899999618530273,21245800.0
2018-02-21,2.7799999713897705,2.630000114440918,2.630000114440918,2.7899999618530273,36241200.0
2018-02-22,2.869999885559082,3.200000047683716,2.859999895095825,3.3299999237060547,130538200.0
2018-02-23,3.380000114440918,3.200000047683716,3.0399999618530273,3.430000066757202,78438300.0
2018-02-26,3.200000047683716,3.2100000381469727,3.059999942779541,3.2799999713897705,38198300.0
2018-02-27,3.180000066757202,3.059999942779541,3.059999942779541,3.2300000190734863,38960600.0
2018-02-28,3.059999942779541,2.819999933242798,2.799999952316284,3.0899999141693115,53447300.0
2018-03-01,2.8299999237060547,2.799999952316284,2.7699999809265137,2.9000000953674316,43314000.0
2018-03-02,2.799999952316284,2.9600000381469727,2.7699999809265137,2.9800000190734863,31861800.0
2018-03-05,2.950000047683716,3.119999885559082,2.930000066757202,3.180000066757202,37361900.0
2018-03-06,3.1600000858306885,3.109999895095825,3.0299999713897705,3.180000066757202,27476900.0
2018-03-07,3.049999952316284,3.0399999618530273,3.009999990463257,3.140000104904175,27705900.0
2018-03-08,3.059999942779541,2.9700000286102295,2.9700000286102295,3.0799999237060547,21201500.0
2018-03-09,3.049999952316284,3.0999999046325684,3.009999990463257,3.109999895095825,29126700.0
2018-03-12,3.109999895095825,3.109999895095825,3.049999952316284,3.1700000762939453,26295700.0
2018-03-13,3.119999885559082,3.119999885559082,3.0899999141693115,3.1700000762939453,24317100.0
2018-03-14,3.1500000953674316,3.0299999713897705,3.0199999809265137,3.1700000762939453,34834700.0
2018-03-15,3.059999942779541,3.0199999809265137,2.9800000190734863,3.119999885559082,31046100.0
2018-03-16,3.0299999713897705,3.059999942779541,2.9800000190734863,3.130000114440918,197228500.0
2018-03-19,3.049999952316284,3.009999990463257,2.990000009536743,3.0899999141693115,27953000.0
2018-03-20,3.009999990463257,3.109999895095825,3.009999990463257,3.130000114440918,32384300.0
2018-03-21,3.119999885559082,3.2300000190734863,3.109999895095825,3.240000009536743,33816400.0
2018-03-22,3.1500000953674316,3.109999895095825,3.0799999237060547,3.200000047683716,20993200.0
2018-03-23,3.1500000953674316,3.069999933242798,3.049999952316284,3.2100000381469727,26718900.0
2018-03-26,3.119999885559082,3.119999885559082,3.009999990463257,3.130000114440918,21532300.0
2018-03-27,3.0899999141693115,2.950000047683716,2.9200000762939453,3.0999999046325684,37939400.0
2018-03-28,2.9200000762939453,2.990000009536743,2.819999933242798,3.0,36535400.0
2018-03-29,3.0,3.0199999809265137,2.9600000381469727,3.0399999618530273,22391400.0
2018-04-02,2.9800000190734863,2.9700000286102295,2.809999942779541,3.0,38510900.0
2018-04-03,2.9700000286102295,2.9200000762939453,2.8499999046325684,2.9800000190734863,24112700.0
2018-04-04,2.859999895095825,2.9100000858306885,2.819999933242798,2.930000066757202,22085300.0
2018-04-05,2.940000057220459,3.0799999237060547,2.9200000762939453,3.0999999046325684,29186000.0
2018-04-06,3.0199999809265137,2.9800000190734863,2.930000066757202,3.0799999237060547,23580900.0
2018-04-09,2.990000009536743,2.9600000381469727,2.9200000762939453,3.0299999713897705,19107900.0
2018-04-10,3.0,3.0899999141693115,2.9600000381469727,3.119999885559082,26529700.0
