Date,oxmopen,oxmclose,oxmlow,oxmhigh,oxmvolume
2008-01-02,25.690000534057617,25.420000076293945,25.06999969482422,26.110000610351562,236700.0
2008-01-03,25.239999771118164,23.579999923706055,23.549999237060547,26.200000762939453,397800.0
2008-01-04,23.0,23.0,22.110000610351562,23.31999969482422,356800.0
2008-01-07,22.989999771118164,22.770000457763672,22.170000076293945,23.149999618530273,381800.0
2008-01-08,22.799999237060547,21.459999084472656,21.399999618530273,23.139999389648438,370900.0
2008-01-09,21.81999969482422,22.459999084472656,21.520000457763672,24.200000762939453,752800.0
2008-01-10,22.1200008392334,22.389999389648438,21.59000015258789,22.549999237060547,349700.0
2008-01-11,22.18000030517578,21.690000534057617,21.520000457763672,22.34000015258789,229600.0
2008-01-14,21.809999465942383,21.889999389648438,21.600000381469727,22.139999389648438,121200.0
2008-01-15,21.5,21.309999465942383,20.899999618530273,21.6299991607666,260600.0
2008-01-16,21.290000915527344,21.25,21.15999984741211,21.809999465942383,275700.0
2008-01-17,21.25,21.270000457763672,21.09000015258789,21.6299991607666,219900.0
2008-01-18,21.239999771118164,20.8799991607666,20.530000686645508,21.329999923706055,262600.0
2008-01-22,19.790000915527344,20.969999313354492,19.770000457763672,21.43000030517578,393900.0
2008-01-23,20.40999984741211,22.260000228881836,20.25,22.6200008392334,393400.0
2008-01-24,22.40999984741211,22.799999237060547,22.40999984741211,23.110000610351562,325700.0
2008-01-25,23.020000457763672,22.110000610351562,21.940000534057617,23.25,265500.0
2008-01-28,22.049999237060547,22.149999618530273,21.670000076293945,22.270000457763672,221600.0
2008-01-29,22.329999923706055,22.389999389648438,21.690000534057617,22.469999313354492,136000.0
2008-01-30,22.219999313354492,22.34000015258789,22.139999389648438,23.059999465942383,250000.0
2008-01-31,22.309999465942383,22.610000610351562,21.989999771118164,22.959999084472656,354800.0
2008-02-01,23.010000228881836,23.219999313354492,22.3799991607666,23.25,209200.0
2008-02-04,23.200000762939453,23.049999237060547,22.31999969482422,23.299999237060547,143900.0
2008-02-05,22.75,22.969999313354492,22.489999771118164,23.639999389648438,165000.0
2008-02-06,20.600000381469727,21.549999237060547,20.459999084472656,22.360000610351562,562100.0
2008-02-07,21.389999389648438,21.610000610351562,21.170000076293945,22.18000030517578,367400.0
2008-02-08,21.579999923706055,21.56999969482422,21.209999084472656,21.969999313354492,212000.0
2008-02-11,21.489999771118164,21.440000534057617,20.979999542236328,21.8700008392334,209600.0
2008-02-12,21.56999969482422,21.579999923706055,21.18000030517578,21.889999389648438,194700.0
2008-02-13,21.729999542236328,21.559999465942383,20.93000030517578,22.06999969482422,164300.0
2008-02-14,21.530000686645508,20.68000030517578,20.139999389648438,21.530000686645508,295100.0
2008-02-15,20.520000457763672,20.940000534057617,20.479999542236328,21.06999969482422,153900.0
2008-02-19,21.209999084472656,20.610000610351562,20.149999618530273,21.209999084472656,111300.0
2008-02-20,20.440000534057617,21.149999618530273,20.290000915527344,21.209999084472656,167100.0
2008-02-21,21.260000228881836,20.729999542236328,20.6200008392334,21.56999969482422,153200.0
2008-02-22,20.760000228881836,20.860000610351562,20.399999618530273,21.139999389648438,146700.0
2008-02-25,20.950000762939453,21.43000030517578,20.709999084472656,21.639999389648438,130100.0
2008-02-26,21.34000015258789,21.559999465942383,21.290000915527344,22.0,86800.0
2008-02-27,21.329999923706055,21.690000534057617,21.25,22.1200008392334,68500.0
2008-02-28,21.649999618530273,21.469999313354492,21.149999618530273,21.799999237060547,107500.0
2008-02-29,21.09000015258789,21.139999389648438,20.860000610351562,21.520000457763672,188000.0
2008-03-03,21.1200008392334,20.81999969482422,20.540000915527344,21.25,223300.0
2008-03-04,20.600000381469727,20.959999084472656,20.219999313354492,21.299999237060547,232500.0
2008-03-05,21.020000457763672,21.280000686645508,20.610000610351562,21.3700008392334,246600.0
2008-03-06,21.209999084472656,20.290000915527344,20.25,21.209999084472656,159200.0
2008-03-07,20.1200008392334,20.90999984741211,20.1200008392334,21.149999618530273,165200.0
2008-03-10,20.989999771118164,20.5,20.100000381469727,20.989999771118164,177800.0
2008-03-11,21.1200008392334,21.3700008392334,20.75,21.6200008392334,117600.0
2008-03-12,21.5,21.959999084472656,21.360000610351562,22.559999465942383,112500.0
2008-03-13,21.719999313354492,22.389999389648438,21.31999969482422,22.549999237060547,182400.0
2008-03-14,22.479999542236328,21.68000030517578,21.299999237060547,22.479999542236328,104100.0
