Date,koolopen,koolclose,koollow,koolhigh,koolvolume
2008-01-02,128.0,138.39999389648438,125.60000610351562,140.0,1000.0
2008-01-03,137.60000610351562,134.39999389648438,130.39999389648438,141.60000610351562,900.0
2008-01-04,130.39999389648438,124.0,123.19999694824219,132.0,800.0
2008-01-07,126.4000015258789,122.39999389648438,120.0,126.4000015258789,1400.0
2008-01-08,123.19999694824219,112.0,108.80000305175781,124.79999542236328,2200.0
2008-01-09,112.0,120.0,108.0,121.5999984741211,1700.0
2008-01-10,124.0,156.8000030517578,124.0,157.60000610351562,6900.0
2008-01-11,156.0,159.1999969482422,140.0,166.39999389648438,3300.0
2008-01-14,164.0,163.1999969482422,158.39999389648438,169.59999084472656,2600.0
2008-01-15,160.0,160.0,156.0,164.79998779296875,800.0
2008-01-16,160.8000030517578,160.0,153.59999084472656,164.0,1100.0
2008-01-17,156.8000030517578,158.39999389648438,154.39999389648438,160.0,500.0
2008-01-18,162.39999389648438,147.1999969482422,142.39999389648438,164.0,3200.0
2008-01-22,135.20001220703125,140.0,133.59999084472656,149.60000610351562,800.0
2008-01-23,136.0,139.1999969482422,136.0,140.8000030517578,1000.0
2008-01-24,148.0,144.0,136.0,148.0,700.0
2008-01-25,146.40000915527344,134.39999389648438,133.59999084472656,147.1999969482422,1100.0
2008-01-28,136.8000030517578,137.60000610351562,124.0,140.8000030517578,900.0
2008-01-29,135.20001220703125,135.20001220703125,128.0,140.0,800.0
2008-01-30,136.8000030517578,150.39999389648438,132.8000030517578,150.39999389648438,1400.0
2008-01-31,152.0,142.39999389648438,142.39999389648438,152.0,700.0
2008-02-01,140.8000030517578,141.60000610351562,132.8000030517578,151.1999969482422,1900.0
2008-02-04,140.0,139.1999969482422,137.60000610351562,145.60000610351562,900.0
2008-02-05,140.8000030517578,139.1999969482422,137.60000610351562,140.8000030517578,1000.0
2008-02-06,140.0,139.1999969482422,138.39999389648438,141.60000610351562,800.0
2008-02-07,137.60000610351562,142.39999389648438,136.8000030517578,142.39999389648438,1700.0
2008-02-08,140.0,144.0,138.39999389648438,144.0,1100.0
2008-02-11,144.0,140.0,127.20000457763672,144.79998779296875,900.0
2008-02-12,141.60000610351562,138.39999389648438,136.8000030517578,144.0,800.0
2008-02-13,136.8000030517578,139.1999969482422,135.20001220703125,140.0,400.0
2008-02-14,140.0,133.59999084472656,128.0,140.0,600.0
2008-02-15,128.8000030517578,133.59999084472656,126.4000015258789,133.59999084472656,600.0
2008-02-19,134.39999389648438,126.4000015258789,124.79999542236328,134.39999389648438,1700.0
2008-02-20,123.19999694824219,136.0,123.19999694824219,136.8000030517578,1200.0
2008-02-21,139.1999969482422,127.20000457763672,124.79999542236328,139.1999969482422,1000.0
2008-02-22,124.0,124.0,113.5999984741211,128.8000030517578,2300.0
2008-02-25,122.39999389648438,128.8000030517578,118.4000015258789,130.39999389648438,1100.0
2008-02-26,126.4000015258789,140.8000030517578,126.4000015258789,142.39999389648438,2000.0
2008-02-27,138.39999389648438,136.0,128.8000030517578,140.0,1300.0
2008-02-28,132.8000030517578,136.0,128.0,136.0,600.0
2008-02-29,134.39999389648438,134.39999389648438,120.80000305175781,136.0,1700.0
2008-03-03,136.0,117.60000610351562,116.0,136.0,5600.0
2008-03-04,119.19999694824219,108.0,107.20000457763672,119.19999694824219,2600.0
2008-03-05,114.39999389648438,114.39999389648438,108.0,116.0,2100.0
2008-03-06,113.5999984741211,113.5999984741211,108.0,113.5999984741211,1500.0
