Date,bwlaopen,bwlaclose,bwlalow,bwlahigh,bwlavolume
2015-01-02,14.699999809265137,14.699999809265137,14.699999809265137,14.699999809265137,111.0
2015-01-05,14.5,14.5,14.5,14.5,465.0
2015-01-06,14.979999542236328,15.099900245666504,14.65999984741211,15.099900245666504,4419.0
2015-01-07,15.099900245666504,15.099900245666504,15.099900245666504,15.099900245666504,0.0
2015-01-08,15.099900245666504,15.099900245666504,15.099900245666504,15.099900245666504,0.0
2015-01-09,14.930000305175781,14.75,14.739999771118164,15.100000381469727,3334.0
2015-01-12,14.75,14.75,14.75,14.75,0.0
2015-01-13,14.708999633789062,15.0,14.505000114440918,15.208000183105469,3785.0
2015-01-14,15.0,15.0,15.0,15.0,0.0
2015-01-15,15.0,15.0,15.0,15.0,0.0
2015-01-16,15.0,15.0,15.0,15.0,0.0
2015-01-20,15.0,15.0,15.0,15.0,0.0
2015-01-21,14.920000076293945,14.920000076293945,14.920000076293945,14.999899864196777,955.0
2015-01-22,14.4399995803833,14.699999809265137,14.4399995803833,14.750100135803223,2669.0
2015-01-23,14.699999809265137,14.699999809265137,14.699999809265137,14.699999809265137,0.0
2015-01-26,14.401000022888184,15.399999618530273,14.401000022888184,15.399999618530273,500.0
2015-01-27,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,0.0
2015-01-28,15.420000076293945,14.84000015258789,14.739999771118164,15.479999542236328,1380.0
2015-01-29,14.84000015258789,14.84000015258789,14.84000015258789,14.84000015258789,0.0
2015-01-30,14.5,14.5,14.5,14.5,215.0
2015-02-02,14.5,14.5,14.5,14.5,0.0
2015-02-03,14.550000190734863,14.5,14.5,14.550000190734863,400.0
2015-02-04,14.40999984741211,14.40999984741211,14.40999984741211,14.40999984741211,253.0
2015-02-05,14.539999961853027,14.649999618530273,14.520000457763672,14.649999618530273,901.0
2015-02-06,14.75,14.720000267028809,14.720000267028809,14.75,598.0
2015-02-09,14.720000267028809,14.720000267028809,14.720000267028809,14.720000267028809,0.0
2015-02-10,15.5,14.5600004196167,14.520000457763672,15.5,904.0
2015-02-11,15.020000457763672,14.609999656677246,14.609999656677246,15.5,641.0
2015-02-12,15.489999771118164,14.75,14.75,15.5,2199.0
2015-02-13,15.25,15.25,15.25,15.25,107.0
2015-02-17,15.25,15.25,15.25,15.25,0.0
2015-02-18,15.25,15.25,15.25,15.25,0.0
2015-02-19,15.25,15.25,15.25,15.25,0.0
2015-02-20,15.25,15.25,15.25,15.25,0.0
2015-02-23,15.25,15.25,15.25,15.25,0.0
2015-02-24,15.25,14.778599739074707,14.430000305175781,15.25,4637.0
2015-02-25,14.729999542236328,14.729999542236328,14.729999542236328,14.729999542236328,200.0
2015-02-26,14.960000038146973,14.960000038146973,14.960000038146973,14.960000038146973,101.0
2015-02-27,14.970000267028809,14.970000267028809,14.970000267028809,14.970000267028809,259.0
2015-03-02,14.899999618530273,14.869999885559082,14.869999885559082,14.899999618530273,600.0
2015-03-03,14.95989990234375,14.95989990234375,14.95989990234375,14.95989990234375,515.0
2015-03-04,14.95989990234375,14.95989990234375,14.95989990234375,14.95989990234375,0.0
2015-03-05,14.95989990234375,14.95989990234375,14.95989990234375,14.95989990234375,0.0
2015-03-06,14.95989990234375,14.95989990234375,14.95989990234375,14.95989990234375,0.0
2015-03-09,14.95989990234375,14.95989990234375,14.95989990234375,14.95989990234375,0.0
2015-03-10,14.500100135803223,14.501099586486816,14.500100135803223,14.501099586486816,338.0
2015-03-11,14.501099586486816,14.501099586486816,14.501099586486816,14.501099586486816,0.0
2015-03-12,14.479999542236328,14.399999618530273,14.399999618530273,14.520000457763672,6723.0
2015-03-13,14.260000228881836,14.449999809265137,14.260000228881836,14.49120044708252,908.0
2015-03-16,14.5,14.199999809265137,14.199999809265137,14.5,804.0
2015-03-17,14.489899635314941,14.460000038146973,14.460000038146973,14.489899635314941,881.0
2015-03-18,14.630000114440918,14.38700008392334,14.38700008392334,14.630000114440918,792.0
2015-03-19,14.380000114440918,14.390000343322754,14.380000114440918,14.390000343322754,1158.0
