Date,honopen,honclose,honlow,honhigh,honvolume
2008-01-02,58.65129470825195,57.106834411621094,56.93522644042969,58.65129470825195,4365500.0
2008-01-03,57.18310546875,57.392845153808594,56.8017578125,57.65025329589844,3570900.0
2008-01-04,56.79222106933594,55.562374114990234,55.40983581542969,57.36424255371094,6237700.0
2008-01-07,55.79118347167969,55.371700286865234,54.21812438964844,56.07719421386719,5873400.0
2008-01-08,55.59097671508789,54.4278678894043,54.342063903808594,55.7625846862793,5551900.0
2008-01-09,54.437400817871094,54.914085388183594,53.607967376708984,54.97128677368164,6059100.0
2008-01-10,54.39926528930664,55.12382507324219,53.87491226196289,55.82931900024414,7400300.0
2008-01-11,55.295433044433594,54.151390075683594,53.607967376708984,55.74351501464844,4714800.0
2008-01-14,54.25625991821289,55.0952262878418,54.25625991821289,55.40983581542969,3496100.0
2008-01-15,54.418331146240234,53.90351104736328,53.61750030517578,54.88548278808594,4608900.0
2008-01-16,53.64610290527344,54.847347259521484,53.64610290527344,55.69584655761719,5757200.0
2008-01-17,54.9045524597168,52.97874450683594,52.769004821777344,55.42890548706055,6591300.0
2008-01-18,53.44589614868164,52.721336364746094,52.339988708496094,54.294395446777344,7113100.0
2008-01-22,50.07096862792969,51.43428421020508,49.62288284301758,51.91096878051758,9336100.0
2008-01-23,50.32837677001953,53.865379333496094,50.032833099365234,53.913047790527344,9280900.0
2008-01-24,53.35055923461914,53.579368591308594,52.721336364746094,54.151390075683594,6517400.0
2008-01-25,55.724449157714844,55.533775329589844,55.133358001708984,56.9066276550293,9020800.0
2008-01-28,55.49563980102539,56.17253112792969,55.49563980102539,56.41087341308594,6224200.0
2008-01-29,56.41087341308594,55.71491622924805,55.152427673339844,56.46807861328125,6041300.0
2008-01-30,55.533775329589844,55.44797134399414,55.26683044433594,56.49667739868164,5359700.0
2008-01-31,55.36216735839844,56.31553649902344,54.342063903808594,56.63968276977539,6404400.0
2008-02-01,56.26786804199219,57.40237808227539,56.25833511352539,57.678855895996094,7352100.0
2008-02-04,57.1926383972168,57.6597900390625,57.12590026855469,57.92673110961914,4845400.0
2008-02-05,56.773155212402344,56.28693771362305,56.00092697143555,57.60258483886719,6156300.0
2008-02-06,56.773155212402344,55.93418884277344,55.772117614746094,57.0019645690918,4396000.0
2008-02-07,55.514705657958984,56.02952575683594,55.295433044433594,56.30600357055664,4760800.0
2008-02-08,55.60050964355469,55.133358001708984,54.74247741699219,55.69584655761719,3976800.0
2008-02-11,54.561336517333984,54.95222091674805,54.103721618652344,55.04755783081055,7242700.0
2008-02-12,55.009422302246094,54.847347259521484,54.513668060302734,55.73398208618164,5749300.0
2008-02-13,55.343101501464844,56.08673095703125,55.20962905883789,56.17253112792969,3634000.0
2008-02-14,56.09626388549805,54.82828140258789,54.78061294555664,56.487144470214844,5330300.0
2008-02-15,54.723411560058594,53.42682647705078,53.245689392089844,54.8092155456543,22972100.0
2008-02-19,53.93211364746094,53.77957534790039,53.655635833740234,54.532737731933594,6024800.0
2008-02-20,53.417293548583984,53.722373962402344,52.606929779052734,53.893978118896484,6400400.0
2008-02-21,53.846309661865234,52.92154312133789,52.80713653564453,54.18952560424805,4030500.0
2008-02-22,53.035945892333984,53.90351104736328,52.74040222167969,54.036983489990234,5665600.0
2008-02-25,53.82724380493164,55.20962905883789,53.484031677246094,55.30496597290039,5536400.0
2008-02-26,55.04755783081055,56.40134048461914,55.04755783081055,56.45854187011719,5531800.0
2008-02-27,56.17253112792969,56.84942626953125,55.915122985839844,57.202171325683594,5315300.0
2008-02-28,56.3346061706543,56.42041015625,56.02952575683594,56.78268814086914,4657700.0
2008-02-29,55.69584655761719,54.85688400268555,54.78061294555664,55.83885192871094,4321100.0
2008-03-03,54.88548278808594,55.819786071777344,54.73294448852539,55.819786071777344,4040000.0
2008-03-04,55.40983581542969,55.79118347167969,54.866416931152344,55.92465591430664,4802700.0
2008-03-05,55.962791442871094,56.26786804199219,55.60050964355469,56.87802505493164,3990200.0
2008-03-06,55.87698745727539,54.799678802490234,54.7138786315918,56.06766128540039,3863900.0
2008-03-07,54.370662689208984,53.92258071899414,53.560298919677734,54.79014587402344,4556400.0
2008-03-10,53.865379333496094,53.083614349365234,52.95014190673828,54.06558609008789,3465900.0
2008-03-11,53.77957534790039,54.30392837524414,53.04547882080078,54.36112976074219,4550100.0
2008-03-12,54.31346130371094,54.322994232177734,54.21812438964844,55.104759216308594,3141000.0
2008-03-13,53.47449493408203,54.056053161621094,52.797603607177734,54.532737731933594,5632900.0
2008-03-14,54.342063903808594,53.512630462646484,52.845272064208984,54.66621017456055,5170800.0
2008-03-17,52.34952163696289,52.64506530761719,52.10164260864258,53.54123306274414,9098600.0
2008-03-18,53.73190689086914,54.132320404052734,52.85480499267578,54.132320404052734,6808600.0
2008-03-19,54.322994232177734,52.54019546508789,52.54019546508789,54.93315124511719,5275400.0
2008-03-20,52.606929779052734,51.75843048095703,51.00526809692383,52.606929779052734,12340300.0
2008-03-24,51.87283706665039,52.44485855102539,51.72983169555664,52.77853775024414,4384200.0
2008-03-25,52.435325622558594,53.388694763183594,52.11117935180664,53.531700134277344,5675500.0
2008-03-26,53.131282806396484,53.035945892333984,52.769004821777344,53.44589614868164,4399900.0
2008-03-27,53.055015563964844,52.435325622558594,52.37812042236328,53.18848419189453,6519800.0
2008-03-28,52.88340759277344,53.245689392089844,52.59739685058594,53.674705505371094,4523600.0
2008-03-31,53.12174987792969,53.78910827636719,53.12174987792969,54.1418571472168,4604200.0
