Date,cmgopen,cmgclose,cmglow,cmghigh,cmgvolume
2008-01-02,147.10000610351562,146.6699981689453,142.47999572753906,150.0,703600
2008-01-03,146.63999938964844,141.6999969482422,140.11000061035156,147.72000122070312,534900
2008-01-04,140.0800018310547,127.01000213623047,126.83000183105469,140.0800018310547,1450200
2008-01-07,126.5,123.9800033569336,119.27999877929688,129.4499969482422,1168400
2008-01-08,122.33000183105469,117.87000274658203,117.41999816894531,125.0,739900
2008-01-09,117.26000213623047,118.58000183105469,108.0,118.9000015258789,1418900
2008-01-10,117.5,123.0999984741211,115.16999816894531,124.0,1190500
2008-01-11,124.79000091552734,116.69999694824219,113.5,124.79000091552734,1132600
2008-01-14,116.5,116.7699966430664,113.19999694824219,117.5999984741211,961400
2008-01-15,115.95999908447266,115.93000030517578,113.0,122.0,1326100
2008-01-16,115.23999786376953,118.80000305175781,113.37999725341797,120.58999633789062,832400
2008-01-17,122.29000091552734,120.33000183105469,118.16000366210938,123.77999877929688,1159700
2008-01-18,122.19000244140625,121.95999908447266,119.5,123.55000305175781,1332600
2008-01-22,114.01000213623047,123.55999755859375,112.30000305175781,125.44999694824219,913600
2008-01-23,120.76000213623047,127.0,119.11000061035156,127.55000305175781,1180600
2008-01-24,126.83999633789062,132.91000366210938,126.01000213623047,135.39999389648438,1045200
2008-01-25,135.47000122070312,128.7899932861328,128.58999633789062,135.47000122070312,744900
2008-01-28,128.05999755859375,125.37000274658203,120.44000244140625,128.05999755859375,945000
2008-01-29,125.5199966430664,119.27999877929688,118.5,127.36000061035156,938800
2008-01-30,119.0,115.06999969482422,114.8499984741211,119.6500015258789,999300
2008-01-31,113.58999633789062,120.37999725341797,110.5,122.27999877929688,1113700
2008-02-01,123.0,123.05000305175781,120.06999969482422,124.0,628900
2008-02-04,122.5999984741211,116.94000244140625,116.70999908447266,122.83999633789062,675700
2008-02-05,115.98999786376953,114.87999725341797,114.29000091552734,120.0,1083100
