Date,lciopen,lciclose,lcilow,lcihigh,lcivolume
2008-01-02,3.0799999237060547,3.069999933242798,3.0299999713897705,3.240000009536743,26300
2008-01-03,3.200000047683716,3.25,3.0199999809265137,3.25,19000
2008-01-04,3.1500000953674316,3.200000047683716,3.109999895095825,3.25,14900
2008-01-07,3.130000114440918,3.200000047683716,3.130000114440918,3.2799999713897705,7000
2008-01-08,3.180000066757202,3.549999952316284,3.1500000953674316,3.5799999237060547,15700
2008-01-09,3.5,3.549999952316284,3.4600000381469727,3.549999952316284,5000
2008-01-10,3.5999999046325684,3.5399999618530273,3.4100000858306885,3.5999999046325684,4800
2008-01-11,3.4600000381469727,3.1600000858306885,3.140000104904175,3.5,7000
2008-01-14,3.200000047683716,3.0999999046325684,3.0999999046325684,3.200000047683716,16400
2008-01-15,3.5,3.4800000190734863,3.1500000953674316,3.5,6600
2008-01-16,3.5399999618530273,3.5299999713897705,3.5299999713897705,3.5999999046325684,7100
2008-01-17,3.5,3.299999952316284,3.109999895095825,3.5,3800
2008-01-18,3.4000000953674316,3.25,3.2100000381469727,3.4000000953674316,2000
2008-01-22,3.2899999618530273,3.1500000953674316,3.1500000953674316,3.2899999618530273,2200
2008-01-23,3.109999895095825,3.0999999046325684,3.0999999046325684,3.200000047683716,4300
2008-01-24,3.130000114440918,3.0999999046325684,3.0999999046325684,3.1500000953674316,3000
2008-01-25,3.109999895095825,3.4000000953674316,3.049999952316284,3.5999999046325684,5300
2008-01-28,3.190000057220459,3.200000047683716,3.0999999046325684,3.200000047683716,1900
2008-01-29,3.200000047683716,3.25,3.1500000953674316,3.259999990463257,4300
2008-01-30,3.3399999141693115,3.0,3.0,3.3399999141693115,6400
2008-01-31,3.0,3.0899999141693115,3.0,3.0899999141693115,1900
2008-02-01,3.049999952316284,3.1480000019073486,3.0199999809265137,3.1500000953674316,4100
2008-02-04,3.309999942779541,3.0999999046325684,3.0199999809265137,3.430000066757202,3900
2008-02-05,3.130000114440918,3.130000114440918,3.009999990463257,3.140000104904175,3100
2008-02-06,3.1500000953674316,3.0999999046325684,3.0999999046325684,3.1500000953674316,300
2008-02-07,3.0999999046325684,3.140000104904175,3.059999942779541,3.140000104904175,2000
2008-02-08,3.0999999046325684,3.240000009536743,3.049999952316284,3.240000009536743,7500
2008-02-11,3.200000047683716,3.25,3.200000047683716,3.3299999237060547,13200
2008-02-12,3.4600000381469727,3.309999942779541,3.200000047683716,3.6700000762939453,10900
2008-02-13,3.140000104904175,3.2899999618530273,3.130000114440918,3.2899999618530273,5300
2008-02-14,3.200000047683716,3.2300000190734863,3.200000047683716,3.2300000190734863,300
2008-02-15,3.25,3.299999952316284,3.25,3.390000104904175,2200
2008-02-19,3.2799999713897705,3.259999990463257,3.200000047683716,3.299999952316284,2100
2008-02-20,3.2799999713897705,3.240000009536743,3.1500000953674316,3.2799999713897705,1700
2008-02-21,3.1500000953674316,3.049999952316284,3.049999952316284,3.1500000953674316,1000
2008-02-22,3.0199999809265137,3.0199999809265137,3.009999990463257,3.0199999809265137,3600
2008-02-25,3.0,3.0199999809265137,3.0,3.0199999809265137,21700
2008-02-26,2.759999990463257,3.009999990463257,2.7200000286102295,3.140000104904175,5200
