Date,dgxopen,dgxclose,dgxlow,dgxhigh,dgxvolume
2018-01-16,101.87000274658203,101.22000122070312,101.19000244140625,102.25,580400.0
2018-01-17,101.68000030517578,101.48999786376953,101.0199966430664,101.73999786376953,520400.0
2018-01-18,101.48999786376953,101.56999969482422,101.11000061035156,102.08999633789062,579400.0
2018-01-19,102.13999938964844,103.05999755859375,102.13999938964844,103.58999633789062,876500.0
2018-01-22,103.2300033569336,103.56999969482422,102.91000366210938,103.58000183105469,589500.0
2018-01-23,103.08000183105469,103.12000274658203,102.13999938964844,103.37000274658203,896700.0
2018-01-24,103.73999786376953,104.62000274658203,103.44999694824219,105.16000366210938,890900.0
2018-01-25,104.76000213623047,105.1500015258789,103.76000213623047,105.22000122070312,1064000.0
2018-01-26,105.5999984741211,106.62000274658203,104.70999908447266,106.63999938964844,732500.0
2018-01-29,107.0,107.87999725341797,106.62000274658203,108.80999755859375,1221700.0
2018-01-30,106.91999816894531,107.16000366210938,105.83000183105469,108.30000305175781,1102700.0
2018-01-31,107.47000122070312,105.81999969482422,105.11000061035156,107.47000122070312,1446700.0
2018-02-01,105.9800033569336,103.58000183105469,102.0,105.9800033569336,1814500.0
2018-02-02,103.30000305175781,103.11000061035156,102.81999969482422,104.44999694824219,1320900.0
2018-02-05,102.75,100.0999984741211,100.0999984741211,104.43000030517578,2169900.0
2018-02-06,97.48999786376953,101.12999725341797,95.68000030517578,101.70999908447266,1662900.0
2018-02-07,100.7300033569336,100.58000183105469,100.5199966430664,102.44000244140625,1432000.0
2018-02-08,100.5,96.41999816894531,96.38999938964844,100.69999694824219,1518600.0
2018-02-09,97.5,98.33999633789062,95.2699966430664,99.12999725341797,1516200.0
2018-02-12,98.70999908447266,99.06999969482422,97.88999938964844,99.70999908447266,974000.0
2018-02-13,99.87000274658203,101.38999938964844,99.22000122070312,101.87999725341797,1306200.0
2018-02-14,100.76000213623047,101.51000213623047,100.38999938964844,101.87000274658203,1201400.0
2018-02-15,102.16999816894531,103.08999633789062,101.66999816894531,103.13999938964844,941300.0
2018-02-16,102.69999694824219,104.52999877929688,102.3499984741211,104.79000091552734,783000.0
2018-02-20,104.0,102.26000213623047,102.0199966430664,104.36000061035156,1108300.0
2018-02-21,102.4000015258789,101.91000366210938,101.87000274658203,103.5,838900.0
2018-02-22,102.16000366210938,100.8499984741211,100.6500015258789,102.63999938964844,1052200.0
2018-02-23,101.0,102.5999984741211,100.26000213623047,102.5999984741211,766600.0
2018-02-26,102.73999786376953,104.08999633789062,102.61000061035156,104.08999633789062,1018300.0
2018-02-27,104.0999984741211,104.79000091552734,103.94999694824219,106.0,1535900.0
2018-02-28,104.98999786376953,103.05000305175781,103.05000305175781,105.4800033569336,1648900.0
2018-03-01,103.02999877929688,100.41000366210938,100.05999755859375,103.58999633789062,1218000.0
2018-03-02,100.13999938964844,101.44000244140625,100.13999938964844,101.86000061035156,850200.0
2018-03-05,101.0,102.88999938964844,100.54000091552734,103.08000183105469,472200.0
2018-03-06,103.58000183105469,104.13999938964844,102.7699966430664,104.16999816894531,877600.0
2018-03-07,103.97000122070312,104.36000061035156,103.38999938964844,105.91000366210938,1416200.0
2018-03-08,104.7699966430664,104.63999938964844,103.6500015258789,105.16000366210938,764600.0
2018-03-09,105.20999908447266,106.98999786376953,104.16000366210938,107.5199966430664,1027800.0
2018-03-12,106.98999786376953,105.5999984741211,105.58999633789062,107.0,1024100.0
2018-03-13,106.1500015258789,104.98999786376953,104.69999694824219,106.1500015258789,733700.0
2018-03-14,106.08000183105469,104.95999908447266,104.12999725341797,106.23999786376953,873100.0
2018-03-15,104.94000244140625,104.72000122070312,104.44999694824219,105.47000122070312,689800.0
2018-03-16,105.05999755859375,104.3499984741211,104.05000305175781,105.5,1374100.0
2018-03-19,104.37000274658203,103.86000061035156,103.36000061035156,104.81999969482422,669700.0
2018-03-20,104.02999877929688,103.56999969482422,103.30000305175781,104.58000183105469,853800.0
2018-03-21,103.77999877929688,103.62999725341797,103.29000091552734,104.30999755859375,704800.0
2018-03-22,103.16000366210938,102.30000305175781,102.23999786376953,104.27999877929688,902600.0
2018-03-23,102.20999908447266,99.77999877929688,99.5999984741211,102.3499984741211,857700.0
2018-03-26,100.54000091552734,100.41999816894531,99.18000030517578,100.61000061035156,761000.0
2018-03-27,100.55999755859375,99.94999694824219,99.37999725341797,101.23999786376953,829200.0
2018-03-28,100.30000305175781,99.51000213623047,98.83000183105469,100.66000366210938,1037900.0
2018-03-29,100.19999694824219,100.30000305175781,99.19000244140625,100.80999755859375,733300.0
2018-04-02,100.3499984741211,97.80999755859375,96.58999633789062,100.41999816894531,1173700.0
2018-04-03,97.62000274658203,98.9000015258789,97.16999816894531,98.94999694824219,1066500.0
2018-04-04,97.91000366210938,99.29000091552734,97.2699966430664,99.56999969482422,910100.0
2018-04-05,99.69999694824219,99.83000183105469,98.98999786376953,100.7300033569336,1020300.0
2018-04-06,99.36000061035156,97.3499984741211,96.73999786376953,99.62000274658203,903400.0
2018-04-09,97.9800033569336,97.95999908447266,97.76000213623047,99.41999816894531,625200.0
2018-04-10,98.75,98.94000244140625,98.19999694824219,99.5,1351700.0
2018-04-11,98.62999725341797,99.05999755859375,98.30000305175781,99.62999725341797,789900.0
2018-04-12,99.54000091552734,100.25,99.18000030517578,100.87000274658203,974700.0
2018-04-13,100.52999877929688,99.76000213623047,99.29000091552734,101.05000305175781,1060000.0
2018-04-16,100.61000061035156,101.2300033569336,99.7699966430664,101.94999694824219,1068100.0
