Date,dinopen,dinclose,dinlow,dinhigh,dinvolume
2008-01-02,36.58000183105469,35.529998779296875,34.70000076293945,36.58000183105469,785100.0
2008-01-03,35.529998779296875,38.47999954223633,35.0099983215332,38.95000076293945,907200.0
2008-01-04,38.04999923706055,40.20000076293945,37.0,42.45000076293945,1318000.0
2008-01-07,39.36000061035156,44.599998474121094,39.349998474121094,45.220001220703125,577100.0
2008-01-08,44.52000045776367,41.220001220703125,41.08000183105469,48.720001220703125,742100.0
2008-01-09,41.2599983215332,47.06999969482422,40.58000183105469,47.06999969482422,514300.0
2008-01-10,45.279998779296875,46.20000076293945,44.029998779296875,47.0,405200.0
2008-01-11,46.25,44.959999084472656,42.9900016784668,46.400001525878906,294600.0
2008-01-14,45.349998474121094,45.38999938964844,44.869998931884766,46.22999954223633,206600.0
2008-01-15,45.13999938964844,43.0,42.209999084472656,45.13999938964844,243500.0
2008-01-16,42.79999923706055,46.27000045776367,41.66999816894531,46.529998779296875,511200.0
2008-01-17,45.79999923706055,45.25,43.459999084472656,45.88999938964844,303000.0
2008-01-18,45.52000045776367,44.0099983215332,42.779998779296875,46.0,277400.0
2008-01-22,42.349998474121094,44.65999984741211,36.0,46.0,415900.0
2008-01-23,44.060001373291016,47.880001068115234,42.77000045776367,49.0,706600.0
2008-01-24,48.2400016784668,48.25,47.130001068115234,50.77000045776367,473300.0
2008-01-25,49.040000915527344,47.779998779296875,46.93000030517578,49.220001220703125,405500.0
2008-01-28,47.4900016784668,49.25,47.31999969482422,51.84000015258789,509200.0
2008-01-29,49.5099983215332,48.90999984741211,47.279998779296875,50.119998931884766,284300.0
2008-01-30,48.900001525878906,47.689998626708984,47.2400016784668,49.970001220703125,867600.0
2008-01-31,46.66999816894531,53.2400016784668,45.97999954223633,55.77000045776367,500100.0
2008-02-01,53.36000061035156,52.41999816894531,51.060001373291016,53.9900016784668,156700.0
2008-02-04,52.189998626708984,49.83000183105469,48.9900016784668,52.7400016784668,363700.0
2008-02-05,48.90999984741211,48.2599983215332,47.310001373291016,49.5099983215332,201700.0
2008-02-06,47.91999816894531,43.08000183105469,42.939998626708984,48.45000076293945,469400.0
2008-02-07,42.75,43.29999923706055,41.2599983215332,43.7599983215332,460800.0
2008-02-08,43.25,42.9900016784668,42.599998474121094,44.0,197700.0
2008-02-11,42.83000183105469,43.130001068115234,41.79999923706055,43.52000045776367,460400.0
2008-02-12,44.630001068115234,43.150001525878906,42.5099983215332,44.630001068115234,270300.0
2008-02-13,43.560001373291016,42.869998931884766,40.97999954223633,44.02000045776367,408900.0
2008-02-14,42.880001068115234,40.45000076293945,40.220001220703125,42.95000076293945,381400.0
2008-02-15,40.2400016784668,40.95000076293945,39.459999084472656,41.380001068115234,409800.0
2008-02-19,41.0,40.47999954223633,39.54999923706055,41.0,479800.0
2008-02-20,40.279998779296875,40.72999954223633,39.709999084472656,41.38999938964844,253900.0
2008-02-21,40.86000061035156,40.189998626708984,39.970001220703125,40.91999816894531,169600.0
2008-02-22,40.34000015258789,39.060001373291016,38.70000076293945,40.34000015258789,413700.0
2008-02-25,39.150001525878906,40.59000015258789,38.7599983215332,40.59000015258789,306500.0
2008-02-26,40.31999969482422,40.0,39.650001525878906,41.09000015258789,267300.0
2008-02-27,41.619998931884766,43.849998474121094,41.290000915527344,45.5099983215332,705700.0
2008-02-28,44.25,47.22999954223633,44.0,47.66999816894531,819600.0
2008-02-29,46.869998931884766,45.779998779296875,44.959999084472656,47.31999969482422,304000.0
2008-03-03,45.900001525878906,45.09000015258789,43.61000061035156,46.0,445800.0
2008-03-04,44.95000076293945,45.209999084472656,44.849998474121094,45.66999816894531,407900.0
2008-03-05,45.029998779296875,48.369998931884766,45.029998779296875,49.33000183105469,363000.0
2008-03-06,47.79999923706055,46.540000915527344,45.619998931884766,47.79999923706055,386600.0
2008-03-07,45.0099983215332,46.709999084472656,45.0099983215332,47.5,212300.0
2008-03-10,46.970001220703125,47.369998931884766,46.599998474121094,49.33000183105469,464100.0
2008-03-11,48.5099983215332,46.83000183105469,46.349998474121094,49.11000061035156,327100.0
2008-03-12,47.02000045776367,47.5,46.189998626708984,49.130001068115234,444200.0
2008-03-13,47.04999923706055,46.5099983215332,45.599998474121094,47.130001068115234,185000.0
2008-03-14,46.54999923706055,45.22999954223633,43.779998779296875,47.0,296200.0
2008-03-17,44.040000915527344,45.0,44.0099983215332,46.459999084472656,294600.0
2008-03-18,46.150001525878906,48.11000061035156,46.150001525878906,48.63999938964844,220800.0
2008-03-19,48.36000061035156,46.790000915527344,46.790000915527344,48.5,104700.0
2008-03-20,49.97999954223633,51.060001373291016,49.83000183105469,52.349998474121094,612000.0
2008-03-24,51.15999984741211,51.34000015258789,50.02000045776367,51.7599983215332,387800.0
2008-03-25,51.45000076293945,51.7400016784668,50.13999938964844,51.7400016784668,108200.0
2008-03-26,51.33000183105469,50.58000183105469,49.63999938964844,51.880001068115234,951000.0
2008-03-27,51.38999938964844,48.91999816894531,48.130001068115234,51.5,240900.0
2008-03-28,49.0,47.349998474121094,47.2599983215332,49.79999923706055,137700.0
2008-03-31,47.38999938964844,47.900001525878906,46.689998626708984,48.20000076293945,485300.0
2008-04-01,48.5,48.0,47.470001220703125,48.5,297300.0
2008-04-02,47.88999938964844,46.91999816894531,46.59000015258789,48.0,208900.0
2008-04-03,46.599998474121094,46.43000030517578,46.0,47.029998779296875,151100.0
2008-04-04,46.20000076293945,46.0,45.380001068115234,46.43000030517578,157000.0
