Date,pureopen,pureclose,purelow,purehigh,purevolume
2008-01-02,55.91999816894531,52.79999923706055,52.720001220703125,55.91999816894531,13500
2008-01-03,52.08000183105469,51.439998626708984,49.68000030517578,52.79999923706055,14200
2008-01-04,50.47999954223633,48.720001220703125,47.20000076293945,50.560001373291016,16000
2008-01-07,48.79999923706055,52.400001525878906,48.400001525878906,52.400001525878906,18500
2008-01-08,53.599998474121094,50.79999923706055,49.599998474121094,53.599998474121094,9100
2008-01-09,50.79999923706055,48.400001525878906,48.15999984741211,50.79999923706055,9500
2008-01-10,48.0,46.2400016784668,46.2400016784668,48.31999969482422,13300
2008-01-11,46.2400016784668,47.599998474121094,46.2400016784668,49.599998474121094,13300
2008-01-14,48.0,48.560001373291016,46.400001525878906,48.560001373291016,10900
2008-01-15,48.0,46.400001525878906,46.400001525878906,48.79999923706055,6700
2008-01-16,46.79999923706055,46.0,44.47999954223633,47.20000076293945,11500
2008-01-17,45.20000076293945,42.79999923706055,42.79999923706055,47.20000076293945,13200
2008-01-18,42.79999923706055,45.36000061035156,42.63999938964844,45.439998626708984,8100
2008-01-22,41.599998474121094,44.400001525878906,40.47999954223633,45.20000076293945,20600
2008-01-23,43.20000076293945,43.439998626708984,42.400001525878906,43.84000015258789,18000
2008-01-24,43.439998626708984,45.279998779296875,43.439998626708984,45.7599983215332,9500
2008-01-25,45.68000030517578,45.52000045776367,45.36000061035156,47.599998474121094,12200
2008-01-28,45.439998626708984,44.959999084472656,44.400001525878906,45.84000015258789,10900
2008-01-29,45.040000915527344,45.119998931884766,44.79999923706055,45.91999816894531,15000
2008-01-30,45.52000045776367,45.20000076293945,44.959999084472656,45.52000045776367,11800
2008-01-31,45.279998779296875,44.79999923706055,44.720001220703125,45.91999816894531,27700
2008-02-01,44.2400016784668,42.560001373291016,42.400001525878906,44.63999938964844,19300
2008-02-04,43.040000915527344,42.0,42.0,43.040000915527344,17100
2008-02-05,42.08000183105469,42.79999923706055,42.0,45.52000045776367,20600
2008-02-06,44.400001525878906,43.279998779296875,42.560001373291016,44.400001525878906,15400
2008-02-07,42.959999084472656,43.20000076293945,42.560001373291016,43.599998474121094,7300
2008-02-08,43.599998474121094,44.720001220703125,42.47999954223633,44.79999923706055,22500
2008-02-11,43.68000030517578,44.959999084472656,43.68000030517578,46.0,12900
2008-02-12,44.880001068115234,44.79999923706055,44.400001525878906,45.599998474121094,7800
2008-02-13,44.79999923706055,45.52000045776367,44.79999923706055,45.599998474121094,4900
2008-02-14,45.599998474121094,44.560001373291016,44.400001525878906,45.599998474121094,17300
