Date,plpcopen,plpcclose,plpclow,plpchigh,plpcvolume
2008-01-02,59.4900016784668,59.959999084472656,55.88999938964844,59.959999084472656,3600.0
2008-01-03,58.099998474121094,58.16999816894531,57.529998779296875,59.400001525878906,5800.0
2008-01-04,57.16999816894531,55.029998779296875,55.029998779296875,59.38999938964844,2500.0
2008-01-07,54.849998474121094,53.869998931884766,52.779998779296875,54.849998474121094,3600.0
2008-01-08,54.9900016784668,54.7599983215332,53.77000045776367,54.9900016784668,3200.0
2008-01-09,55.0,55.0,53.869998931884766,55.0,3600.0
2008-01-10,54.95000076293945,55.0,54.95000076293945,55.0,1600.0
2008-01-11,54.04999923706055,53.0,51.720001220703125,54.7599983215332,2400.0
2008-01-14,52.31999969482422,51.970001220703125,51.970001220703125,52.31999969482422,600.0
2008-01-15,49.54999923706055,52.220001220703125,49.0,52.220001220703125,2200.0
2008-01-16,52.11000061035156,51.40999984741211,51.40999984741211,52.959999084472656,2400.0
2008-01-17,50.0,48.540000915527344,48.130001068115234,50.0,2600.0
2008-01-18,48.119998931884766,48.70000076293945,47.560001373291016,50.15999984741211,10100.0
2008-01-22,46.630001068115234,48.5,46.630001068115234,49.0,5700.0
2008-01-23,45.439998626708984,53.33000183105469,45.439998626708984,53.790000915527344,3800.0
2008-01-24,52.13999938964844,51.029998779296875,48.34000015258789,54.290000915527344,1700.0
2008-01-25,48.869998931884766,49.959999084472656,48.869998931884766,51.720001220703125,4000.0
2008-01-28,49.810001373291016,48.849998474121094,45.4900016784668,49.810001373291016,5900.0
2008-01-29,47.2599983215332,47.349998474121094,45.529998779296875,50.209999084472656,4700.0
2008-01-30,48.08000183105469,52.689998626708984,47.45000076293945,52.939998626708984,5600.0
2008-01-31,50.54999923706055,51.869998931884766,48.22999954223633,51.869998931884766,6500.0
2008-02-01,51.900001525878906,51.83000183105469,48.61000061035156,51.900001525878906,2200.0
2008-02-04,52.68000030517578,51.0,50.939998626708984,52.68000030517578,1000.0
2008-02-05,48.880001068115234,50.099998474121094,48.880001068115234,51.040000915527344,4800.0
2008-02-06,48.77000045776367,49.709999084472656,48.77000045776367,49.709999084472656,300.0
