Date,frgiopen,frgiclose,frgilow,frgihigh,frgivolume
2013-11-01,42.349998474121094,41.560001373291016,41.0,42.93000030517578,276100
2013-11-04,41.33000183105469,41.4900016784668,41.09000015258789,42.349998474121094,175800
2013-11-05,41.38999938964844,42.279998779296875,41.220001220703125,42.9900016784668,326600
2013-11-06,42.529998779296875,44.470001220703125,42.43000030517578,44.650001525878906,347500
2013-11-07,44.599998474121094,42.22999954223633,42.150001525878906,44.599998474121094,390500
2013-11-08,42.25,42.9900016784668,42.20000076293945,43.400001525878906,294700
2013-11-11,42.779998779296875,42.91999816894531,42.47999954223633,43.72999954223633,141700
2013-11-12,42.27000045776367,43.77000045776367,40.869998931884766,44.5,387300
2013-11-13,43.34000015258789,46.540000915527344,42.88999938964844,47.20000076293945,503600
2013-11-14,46.40999984741211,47.060001373291016,45.70000076293945,47.2599983215332,284800
2013-11-15,47.47999954223633,47.939998626708984,47.34000015258789,49.400001525878906,2604600
2013-11-18,48.33000183105469,48.15999984741211,47.83000183105469,48.86000061035156,339700
2013-11-19,48.060001373291016,48.0,47.959999084472656,49.16999816894531,666100
2013-11-20,48.25,48.189998626708984,47.939998626708984,48.970001220703125,270200
2013-11-21,48.40999984741211,48.130001068115234,47.970001220703125,48.47999954223633,288800
2013-11-22,48.09000015258789,48.52000045776367,48.0099983215332,49.22999954223633,281500
2013-11-25,48.529998779296875,48.709999084472656,48.529998779296875,49.36000061035156,156700
2013-11-26,48.869998931884766,49.65999984741211,48.599998474121094,49.939998626708984,190900
2013-11-27,49.4900016784668,49.13999938964844,48.849998474121094,49.720001220703125,167700
2013-11-29,49.369998931884766,48.970001220703125,48.54999923706055,49.41999816894531,68400
2013-12-02,49.0099983215332,48.09000015258789,47.84000015258789,49.15999984741211,313900
2013-12-03,47.959999084472656,48.099998474121094,47.290000915527344,48.66999816894531,669300
2013-12-04,47.959999084472656,49.150001525878906,47.779998779296875,49.290000915527344,237200
2013-12-05,49.25,48.65999984741211,48.34000015258789,49.65999984741211,257600
2013-12-06,49.0,48.560001373291016,48.38999938964844,49.290000915527344,129900
2013-12-09,48.54999923706055,47.400001525878906,46.689998626708984,48.54999923706055,563100
2013-12-10,47.400001525878906,46.40999984741211,46.279998779296875,47.9900016784668,295400
2013-12-11,46.36000061035156,45.349998474121094,45.08000183105469,46.61000061035156,329300
2013-12-12,45.2599983215332,45.060001373291016,44.540000915527344,46.130001068115234,1018800
2013-12-13,45.2400016784668,46.5099983215332,44.310001373291016,47.54999923706055,246900
2013-12-16,46.88999938964844,47.83000183105469,46.86000061035156,48.04999923706055,304900
2013-12-17,48.209999084472656,48.369998931884766,47.58000183105469,48.45000076293945,330900
2013-12-18,48.40999984741211,48.279998779296875,47.18000030517578,48.459999084472656,443200
2013-12-19,48.630001068115234,48.20000076293945,47.900001525878906,48.84000015258789,349900
2013-12-20,48.29999923706055,49.939998626708984,47.84000015258789,50.13999938964844,1084100
2013-12-23,50.0,51.31999969482422,50.0,51.79999923706055,429800
2013-12-24,51.2400016784668,50.83000183105469,50.529998779296875,51.75,249600
2013-12-26,50.9900016784668,51.619998931884766,50.310001373291016,52.16999816894531,268300
2013-12-27,51.790000915527344,51.2400016784668,50.31999969482422,51.790000915527344,161800
2013-12-30,51.36000061035156,52.459999084472656,51.099998474121094,52.90999984741211,361800
2013-12-31,52.54999923706055,52.2400016784668,51.779998779296875,53.08000183105469,406300
2014-01-02,52.189998626708984,52.619998931884766,51.66999816894531,52.93000030517578,340100
2014-01-03,52.65999984741211,51.689998626708984,51.150001525878906,52.97999954223633,204600
2014-01-06,52.2599983215332,51.29999923706055,50.36000061035156,52.279998779296875,359700
2014-01-07,51.34000015258789,50.79999923706055,50.31999969482422,52.189998626708984,353000
2014-01-08,50.95000076293945,50.54999923706055,50.31999969482422,51.77000045776367,271000
2014-01-09,50.849998474121094,49.790000915527344,49.40999984741211,50.880001068115234,211500
2014-01-10,49.65999984741211,50.45000076293945,49.0099983215332,50.91999816894531,400800
2014-01-13,50.599998474121094,48.33000183105469,47.95000076293945,50.939998626708984,215000
2014-01-14,48.34000015258789,48.75,47.52000045776367,49.25,271400
2014-01-15,49.029998779296875,48.790000915527344,48.150001525878906,49.5,167700
2014-01-16,48.470001220703125,49.06999969482422,48.25,49.34000015258789,203600
2014-01-17,48.90999984741211,47.130001068115234,46.189998626708984,49.560001373291016,316800
2014-01-21,47.279998779296875,44.59000015258789,43.68000030517578,47.279998779296875,767700
2014-01-22,43.970001220703125,44.7599983215332,43.54999923706055,45.150001525878906,317100
2014-01-23,44.66999816894531,44.099998474121094,42.9900016784668,45.06999969482422,341400
2014-01-24,43.709999084472656,43.709999084472656,42.619998931884766,43.81999969482422,287100
2014-01-27,43.70000076293945,42.79999923706055,42.31999969482422,44.060001373291016,268800
2014-01-28,42.75,43.25,42.75,43.790000915527344,190000
2014-01-29,42.959999084472656,42.25,42.099998474121094,43.34000015258789,250500
2014-01-30,42.5099983215332,43.130001068115234,42.5099983215332,43.91999816894531,250900
2014-01-31,42.540000915527344,42.970001220703125,42.470001220703125,43.41999816894531,590100
2014-02-03,42.97999954223633,40.54999923706055,39.88999938964844,44.95000076293945,567200
2014-02-04,40.27000045776367,41.709999084472656,40.27000045776367,42.369998931884766,447500
2014-02-05,41.599998474121094,40.58000183105469,39.720001220703125,41.599998474121094,246200
2014-02-06,40.90999984741211,41.849998474121094,40.90999984741211,42.619998931884766,342000
2014-02-07,42.08000183105469,44.540000915527344,42.08000183105469,44.54999923706055,422300
2014-02-10,44.619998931884766,45.04999923706055,43.77000045776367,45.06999969482422,473400
2014-02-11,45.2599983215332,46.439998626708984,44.720001220703125,46.5,540600
2014-02-12,46.70000076293945,45.90999984741211,45.61000061035156,47.08000183105469,363400
2014-02-13,45.400001525878906,46.11000061035156,45.040000915527344,46.56999969482422,171000
2014-02-14,46.150001525878906,46.20000076293945,45.31999969482422,46.25,166600
2014-02-18,46.20000076293945,45.880001068115234,45.5099983215332,46.709999084472656,290200
2014-02-19,45.81999969482422,45.040000915527344,45.040000915527344,46.029998779296875,218500
2014-02-20,45.18000030517578,46.060001373291016,45.0099983215332,46.150001525878906,142100
2014-02-21,46.400001525878906,46.29999923706055,45.689998626708984,46.5,266200
2014-02-24,46.29999923706055,47.880001068115234,46.150001525878906,48.0,373700
2014-02-25,48.119998931884766,48.119998931884766,46.59000015258789,48.41999816894531,406900
2014-02-26,47.970001220703125,50.560001373291016,47.970001220703125,52.06999969482422,899900
2014-02-27,50.310001373291016,50.47999954223633,49.709999084472656,51.40999984741211,396100
2014-02-28,50.5,50.22999954223633,49.61000061035156,50.709999084472656,291000
2014-03-03,49.56999969482422,49.25,48.470001220703125,50.279998779296875,259800
2014-03-04,49.959999084472656,50.310001373291016,48.97999954223633,50.75,533900
2014-03-05,50.349998474121094,50.29999923706055,49.119998931884766,50.779998779296875,371000
2014-03-06,50.310001373291016,50.290000915527344,49.84000015258789,50.689998626708984,148400
2014-03-07,50.63999938964844,50.5,49.9900016784668,50.63999938964844,196300
2014-03-10,50.45000076293945,50.099998474121094,49.529998779296875,51.65999984741211,315900
2014-03-11,50.029998779296875,49.97999954223633,49.5,50.40999984741211,222500
2014-03-12,49.540000915527344,50.150001525878906,48.93000030517578,50.52000045776367,166800
2014-03-13,50.209999084472656,49.15999984741211,48.619998931884766,50.2599983215332,230000
2014-03-14,48.939998626708984,49.150001525878906,48.83000183105469,49.75,119700
2014-03-17,49.439998626708984,49.36000061035156,49.150001525878906,50.029998779296875,127500
2014-03-18,49.310001373291016,49.41999816894531,49.06999969482422,49.72999954223633,137500
2014-03-19,49.56999969482422,48.9900016784668,48.70000076293945,49.56999969482422,198100
2014-03-20,48.959999084472656,48.959999084472656,48.720001220703125,49.119998931884766,380200
2014-03-21,44.970001220703125,47.630001068115234,44.970001220703125,49.459999084472656,325700
2014-03-24,47.61000061035156,44.900001525878906,44.709999084472656,47.61000061035156,347200
2014-03-25,45.099998474121094,44.0099983215332,43.939998626708984,45.68000030517578,360900
2014-03-26,44.31999969482422,43.709999084472656,43.220001220703125,44.72999954223633,240700
2014-03-27,43.56999969482422,43.560001373291016,42.029998779296875,43.91999816894531,368600
2014-03-28,43.7599983215332,45.279998779296875,43.27000045776367,46.060001373291016,370700
2014-03-31,45.68000030517578,45.59000015258789,44.779998779296875,45.72999954223633,374300
2014-04-01,45.70000076293945,44.90999984741211,44.790000915527344,46.25,278000
2014-04-02,44.91999816894531,44.470001220703125,44.08000183105469,45.209999084472656,283100
2014-04-03,44.38999938964844,43.16999816894531,42.79999923706055,45.130001068115234,427600
2014-04-04,43.54999923706055,40.560001373291016,40.349998474121094,44.310001373291016,584800
2014-04-07,40.369998931884766,38.61000061035156,38.36000061035156,40.529998779296875,566600
2014-04-08,38.77000045776367,38.72999954223633,38.189998626708984,39.25,458000
2014-04-09,39.040000915527344,40.7400016784668,38.72999954223633,40.84000015258789,431800
2014-04-10,40.75,38.56999969482422,38.33000183105469,40.779998779296875,394500
2014-04-11,38.209999084472656,39.04999923706055,38.0,39.4900016784668,338400
2014-04-14,39.5,39.709999084472656,39.11000061035156,40.5099983215332,364700
2014-04-15,39.84000015258789,39.65999984741211,38.86000061035156,40.59000015258789,239400
2014-04-16,40.099998474121094,39.779998779296875,39.41999816894531,40.9900016784668,269800
2014-04-17,39.709999084472656,39.43000030517578,39.33000183105469,40.7599983215332,224700
2014-04-21,39.7400016784668,38.790000915527344,38.470001220703125,40.43000030517578,204800
2014-04-22,40.349998474121094,40.349998474121094,40.150001525878906,41.220001220703125,532100
2014-04-23,40.209999084472656,38.220001220703125,38.040000915527344,40.209999084472656,383300
2014-04-24,38.59000015258789,37.310001373291016,36.79999923706055,38.77000045776367,460100
2014-04-25,36.95000076293945,36.810001373291016,36.540000915527344,37.68000030517578,193000
2014-04-28,36.9900016784668,36.91999816894531,35.77000045776367,37.79999923706055,293600
2014-04-29,37.08000183105469,36.65999984741211,36.33000183105469,37.470001220703125,306500
2014-04-30,36.61000061035156,36.61000061035156,36.119998931884766,37.25,325400
2014-05-01,36.630001068115234,37.22999954223633,36.16999816894531,37.66999816894531,321300
2014-05-02,37.25,37.31999969482422,36.810001373291016,38.54999923706055,329300
2014-05-05,37.040000915527344,37.97999954223633,36.58000183105469,38.150001525878906,253400
2014-05-06,37.959999084472656,37.099998474121094,36.79999923706055,38.220001220703125,278800
2014-05-07,40.25,38.7400016784668,38.27000045776367,40.79999923706055,799700
2014-05-08,38.83000183105469,37.279998779296875,37.130001068115234,39.2400016784668,385500
2014-05-09,37.119998931884766,36.45000076293945,36.0099983215332,38.2599983215332,343800
2014-05-12,36.66999816894531,37.86000061035156,36.66999816894531,38.45000076293945,339400
2014-05-13,37.66999816894531,37.650001525878906,37.400001525878906,38.439998626708984,222900
2014-05-14,37.41999816894531,36.310001373291016,36.20000076293945,38.060001373291016,528100
2014-05-15,36.15999984741211,36.59000015258789,35.34000015258789,36.959999084472656,277100
2014-05-16,36.56999969482422,37.130001068115234,36.15999984741211,37.18000030517578,159200
2014-05-19,37.0,37.09000015258789,36.77000045776367,37.470001220703125,172800
2014-05-20,37.11000061035156,36.58000183105469,36.02000045776367,37.279998779296875,156400
2014-05-21,36.7599983215332,37.0,36.369998931884766,37.150001525878906,207000
2014-05-22,37.08000183105469,38.369998931884766,36.72999954223633,38.560001373291016,276300
2014-05-23,38.349998474121094,38.720001220703125,38.13999938964844,39.060001373291016,299900
2014-05-27,38.9900016784668,41.189998626708984,38.91999816894531,41.209999084472656,487400
2014-05-28,40.97999954223633,40.810001373291016,40.27000045776367,41.130001068115234,260800
2014-05-29,40.81999969482422,40.619998931884766,40.119998931884766,40.84000015258789,186300
2014-05-30,40.7400016784668,40.27000045776367,40.0,40.88999938964844,134600
2014-06-02,40.529998779296875,41.869998931884766,40.29999923706055,42.900001525878906,389300
2014-06-03,41.470001220703125,40.709999084472656,40.369998931884766,41.560001373291016,525400
2014-06-04,40.470001220703125,41.47999954223633,40.18000030517578,41.79999923706055,221700
