Date,trtopen,trtclose,trtlow,trthigh,trtvolume
2008-01-02,9.25,10.079999923706055,9.25,10.430000305175781,23100.0
2008-01-03,10.25,9.59000015258789,9.539999961853027,10.25,20400.0
2008-01-04,9.649999618530273,9.199999809265137,9.199999809265137,9.800000190734863,27300.0
2008-01-07,9.300000190734863,8.779999732971191,8.720000267028809,9.300000190734863,10400.0
2008-01-08,8.630000114440918,8.5600004196167,8.5600004196167,8.899999618530273,8300.0
2008-01-09,8.649999618530273,8.550000190734863,8.529999732971191,8.739999771118164,9600.0
2008-01-10,8.380000114440918,8.260000228881836,8.260000228881836,8.600000381469727,6100.0
2008-01-11,8.229999542236328,8.850000381469727,8.229999542236328,8.9399995803833,21000.0
2008-01-14,8.789999961853027,8.600000381469727,8.40999984741211,8.789999961853027,9400.0
2008-01-15,9.399999618530273,8.699999809265137,8.550000190734863,9.40999984741211,8300.0
2008-01-16,8.600000381469727,8.15999984741211,8.15999984741211,8.600000381469727,13900.0
2008-01-17,8.199999809265137,7.659999847412109,7.659999847412109,8.199999809265137,25300.0
2008-01-18,7.699999809265137,7.820000171661377,7.690000057220459,7.849999904632568,17000.0
2008-01-22,7.369999885559082,7.650000095367432,7.300000190734863,7.800000190734863,12000.0
2008-01-23,7.570000171661377,7.550000190734863,7.170000076293945,7.650000095367432,19100.0
2008-01-24,7.590000152587891,7.889999866485596,7.550000190734863,7.889999866485596,5800.0
2008-01-25,7.889999866485596,7.849999904632568,7.800000190734863,7.949999809265137,3900.0
2008-01-28,7.96999979019165,7.960000038146973,7.900000095367432,8.15999984741211,5800.0
2008-01-29,7.940000057220459,7.849999904632568,7.849999904632568,7.940000057220459,9800.0
2008-01-30,7.860000133514404,7.800000190734863,7.800000190734863,8.0,7200.0
2008-01-31,7.800000190734863,8.119999885559082,7.800000190734863,8.25,17500.0
2008-02-01,8.220000267028809,8.399999618530273,8.0600004196167,8.569999694824219,18700.0
2008-02-04,8.399999618530273,8.0,8.0,8.5,15100.0
2008-02-05,7.900000095367432,7.900000095367432,7.800000190734863,8.0,11400.0
2008-02-06,7.980000019073486,7.949999809265137,7.849999904632568,8.100000381469727,12700.0
2008-02-07,7.849999904632568,8.109999656677246,7.849999904632568,8.25,13800.0
2008-02-08,7.800000190734863,8.039999961853027,7.75,8.149999618530273,12000.0
2008-02-11,7.980000019073486,8.199999809265137,7.949999809265137,8.199999809265137,15400.0
2008-02-12,8.039999961853027,7.179999828338623,6.78000020980835,8.039999961853027,151600.0
2008-02-13,7.190000057220459,7.300000190734863,7.150000095367432,7.380000114440918,28400.0
2008-02-14,7.349999904632568,7.050000190734863,7.0,7.349999904632568,54600.0
2008-02-15,7.03000020980835,7.059999942779541,7.0,7.21999979019165,20300.0
2008-02-19,7.25,7.0,7.0,7.25,27700.0
2008-02-20,7.050000190734863,6.960000038146973,6.960000038146973,7.050000190734863,42000.0
2008-02-21,6.920000076293945,7.039999961853027,6.849999904632568,7.099999904632568,18500.0
2008-02-22,7.0,7.0,7.0,7.150000095367432,11200.0
2008-02-25,6.940000057220459,7.050000190734863,6.940000057220459,7.199999809265137,11100.0
2008-02-26,7.019999980926514,7.0,6.980000019073486,7.090000152587891,12000.0
2008-02-27,6.659999847412109,6.599999904632568,6.559999942779541,7.130000114440918,53700.0
2008-02-28,6.599999904632568,6.199999809265137,6.170000076293945,6.690000057220459,46600.0
2008-02-29,6.25,5.28000020980835,5.099999904632568,6.25,127500.0
