Date,cidmopen,cidmclose,cidmlow,cidmhigh,cidmvolume
2008-01-02,44.5,42.900001525878906,42.5,44.599998474121094,8700.0
2008-01-03,43.79999923706055,40.29999923706055,39.70000076293945,43.79999923706055,8000.0
2008-01-04,40.29999923706055,39.0,38.0,40.29999923706055,7000.0
2008-01-07,39.400001525878906,38.900001525878906,36.599998474121094,40.0,9200.0
2008-01-08,40.099998474121094,38.20000076293945,38.20000076293945,41.400001525878906,5000.0
2008-01-09,39.79999923706055,37.0,36.099998474121094,39.79999923706055,8900.0
2008-01-10,37.0,36.5,35.20000076293945,38.70000076293945,7500.0
2008-01-11,36.70000076293945,35.0,34.79999923706055,37.900001525878906,15800.0
2008-01-14,35.400001525878906,34.79999923706055,34.5,35.79999923706055,7200.0
2008-01-15,34.20000076293945,31.0,29.5,34.20000076293945,27000.0
2008-01-16,31.299999237060547,27.600000381469727,27.600000381469727,31.299999237060547,36500.0
2008-01-17,28.0,27.200000762939453,26.200000762939453,29.5,16700.0
2008-01-18,27.100000381469727,24.700000762939453,24.700000762939453,27.799999237060547,15900.0
2008-01-22,23.100000381469727,22.5,20.5,25.799999237060547,20700.0
2008-01-23,21.899999618530273,24.299999237060547,21.5,24.600000381469727,29200.0
2008-01-24,24.100000381469727,25.100000381469727,23.799999237060547,26.0,17900.0
2008-01-25,25.899999618530273,27.0,24.299999237060547,27.5,27100.0
2008-01-28,27.0,28.899999618530273,26.600000381469727,29.600000381469727,14200.0
2008-01-29,28.799999237060547,32.29999923706055,28.799999237060547,32.79999923706055,33500.0
2008-01-30,31.799999237060547,33.29999923706055,31.0,34.400001525878906,25000.0
2008-01-31,33.20000076293945,32.5,30.600000381469727,33.20000076293945,12300.0
2008-02-01,33.79999923706055,33.5,32.5,33.79999923706055,7900.0
2008-02-04,34.0,31.899999618530273,29.5,34.0,16600.0
2008-02-05,30.899999618530273,30.299999237060547,30.0,31.799999237060547,24600.0
2008-02-06,30.0,28.799999237060547,28.5,30.700000762939453,26500.0
2008-02-07,28.0,27.899999618530273,26.5,29.899999618530273,17400.0
2008-02-08,28.5,27.799999237060547,26.299999237060547,34.0,27000.0
2008-02-11,27.700000762939453,25.200000762939453,25.100000381469727,27.799999237060547,15300.0
2008-02-12,25.200000762939453,25.0,24.600000381469727,27.0,12600.0
2008-02-13,25.100000381469727,24.799999237060547,23.700000762939453,25.200000762939453,26600.0
2008-02-14,25.5,24.600000381469727,24.600000381469727,25.5,8300.0
2008-02-15,25.0,22.600000381469727,22.600000381469727,25.0,12700.0
2008-02-19,22.700000762939453,22.600000381469727,22.600000381469727,25.0,27000.0
2008-02-20,22.600000381469727,22.399999618530273,22.100000381469727,23.200000762939453,16100.0
2008-02-21,22.399999618530273,22.0,22.0,24.0,22000.0
2008-02-22,22.200000762939453,22.5,21.299999237060547,22.5,16500.0
2008-02-25,22.799999237060547,23.200000762939453,22.200000762939453,23.799999237060547,13400.0
2008-02-26,23.600000381469727,23.799999237060547,23.299999237060547,24.5,9400.0
2008-02-27,23.899999618530273,23.899999618530273,23.600000381469727,24.899999618530273,7000.0
