Date,baopen,baclose,balow,bahigh,bavolume
2008-01-02,87.56999969482422,86.62000274658203,86.0,87.83999633789062,4303000.0
2008-01-03,87.06999969482422,86.9800033569336,86.73999786376953,87.63999938964844,3427900.0
2008-01-04,86.31999969482422,85.81999969482422,85.69000244140625,87.16000366210938,5393400.0
2008-01-07,86.25,82.87000274658203,82.16999816894531,86.30000305175781,9961800.0
2008-01-08,83.11000061035156,79.91000366210938,79.6500015258789,83.37000274658203,9810600.0
2008-01-09,79.69999694824219,80.30000305175781,77.80999755859375,80.43000030517578,10307100.0
2008-01-10,79.86000061035156,82.36000061035156,79.86000061035156,83.19000244140625,9411400.0
2008-01-11,81.7699966430664,80.5199966430664,80.0,81.77999877929688,6556600.0
2008-01-14,81.33000183105469,81.66999816894531,80.1500015258789,82.37000274658203,7732600.0
2008-01-15,81.47000122070312,77.86000061035156,76.0,81.80000305175781,16467100.0
2008-01-16,77.80999755859375,79.87000274658203,76.5,81.30999755859375,13292400.0
2008-01-17,81.19999694824219,79.5199966430664,79.0199966430664,82.48999786376953,9303800.0
2008-01-18,80.25,78.4000015258789,77.76000213623047,80.81999969482422,7686800.0
2008-01-22,74.52999877929688,77.5999984741211,74.4000015258789,78.73999786376953,8503300.0
2008-01-23,75.5,76.56999969482422,74.12000274658203,77.19000244140625,13028100.0
2008-01-24,77.55999755859375,77.62000274658203,76.4800033569336,78.33999633789062,7449300.0
2008-01-25,78.6500015258789,77.02999877929688,76.97000122070312,79.66999816894531,7849500.0
2008-01-28,77.1500015258789,77.5999984741211,76.4800033569336,77.72000122070312,4864300.0
2008-01-29,78.56999969482422,80.95999908447266,78.2699966430664,81.05999755859375,9025500.0
2008-01-30,79.69999694824219,82.87000274658203,79.69000244140625,84.87000274658203,11331100.0
2008-01-31,81.77999877929688,83.18000030517578,80.80000305175781,83.83999633789062,7887700.0
2008-02-01,83.37000274658203,82.76000213623047,81.8499984741211,83.98999786376953,6685900.0
2008-02-04,82.77999877929688,82.9000015258789,81.91000366210938,83.36000061035156,3106300.0
2008-02-05,81.61000061035156,81.69000244140625,81.3499984741211,82.77999877929688,4691600.0
2008-02-06,81.9000015258789,79.91000366210938,79.5999984741211,81.94999694824219,5331700.0
2008-02-07,78.70999908447266,79.75,78.70999908447266,80.23999786376953,6779000.0
2008-02-08,79.4800033569336,79.33000183105469,78.80999755859375,80.13999938964844,4343300.0
2008-02-11,79.45999908447266,81.12999725341797,78.8499984741211,81.38999938964844,4898200.0
2008-02-12,81.80000305175781,83.55999755859375,81.44000244140625,84.52999877929688,7980000.0
2008-02-13,84.3499984741211,85.4800033569336,84.01000213623047,85.62999725341797,6405000.0
2008-02-14,85.66999816894531,85.22000122070312,84.9000015258789,86.05999755859375,6631600.0
2008-02-15,85.05999755859375,85.18000030517578,84.16999816894531,85.41999816894531,5749300.0
2008-02-19,86.11000061035156,85.37000274658203,84.83000183105469,86.87999725341797,4158300.0
2008-02-20,84.47000122070312,84.0,82.94999694824219,84.69000244140625,7526400.0
2008-02-21,84.12000274658203,82.01000213623047,81.87000274658203,84.95999908447266,6688300.0
2008-02-22,82.51000213623047,83.04000091552734,81.75,83.20999908447266,5229100.0
2008-02-25,83.26000213623047,84.66000366210938,83.12000274658203,84.73999786376953,5450600.0
2008-02-26,85.12000274658203,84.56999969482422,83.9000015258789,85.12000274658203,5171700.0
2008-02-27,84.22000122070312,83.94999694824219,83.4000015258789,85.19000244140625,4675100.0
2008-02-28,83.51000213623047,84.80000305175781,82.7300033569336,85.0,5727400.0
2008-02-29,84.02999877929688,82.79000091552734,82.4000015258789,84.5,7667800.0
2008-03-03,79.31999969482422,80.66999816894531,79.25,80.88999938964844,9575400.0
2008-03-04,79.77999877929688,79.62000274658203,78.33999633789062,79.98999786376953,8209200.0
2008-03-05,79.81999969482422,80.70999908447266,79.66999816894531,81.31999969482422,5669600.0
2008-03-06,80.55000305175781,79.51000213623047,79.37999725341797,80.72000122070312,4503500.0
2008-03-07,78.98999786376953,76.5999984741211,76.37000274658203,79.0,9657100.0
2008-03-10,76.52999877929688,74.37999725341797,74.37999725341797,76.70999908447266,9930500.0
2008-03-11,74.77999877929688,73.4000015258789,72.38999938964844,75.75,14137400.0
2008-03-12,73.70999908447266,72.44999694824219,72.12999725341797,74.75,8966800.0
2008-03-13,71.80999755859375,74.18000030517578,71.58999633789062,74.41999816894531,10850600.0
2008-03-14,75.79000091552734,76.2300033569336,75.12999725341797,77.19000244140625,13225400.0
2008-03-17,74.45999908447266,75.48999786376953,74.13999938964844,76.19999694824219,5463100.0
2008-03-18,77.0,76.52999877929688,75.26000213623047,77.0,5644000.0
2008-03-19,76.9800033569336,73.44999694824219,73.44999694824219,77.0,9195600.0
2008-03-20,73.55000305175781,74.80000305175781,72.72000122070312,75.0,8086000.0
2008-03-24,75.25,76.29000091552734,74.79000091552734,76.4800033569336,4853800.0
2008-03-25,76.87999725341797,75.9000015258789,75.13999938964844,76.87999725341797,5969200.0
2008-03-26,75.66000366210938,76.30000305175781,75.5999984741211,76.5,4350600.0
2008-03-27,75.86000061035156,74.22000122070312,74.13999938964844,76.36000061035156,7709400.0
2008-03-28,74.44000244140625,73.47000122070312,73.08000183105469,74.62999725341797,4616800.0
2008-03-31,74.0,74.37000274658203,73.4000015258789,74.58000183105469,7394800.0
2008-04-01,75.0199966430664,75.87999725341797,74.80000305175781,75.88999938964844,5956000.0
2008-04-02,76.0999984741211,76.8499984741211,75.7300033569336,77.19000244140625,6121500.0
