Date,cmlsopen,cmlsclose,cmlslow,cmlshigh,cmlsvolume
2018-08-01,25.0,18.100000381469727,18.100000381469727,26.0,8121.0
2018-08-02,19.260000228881836,18.0,18.0,21.190000534057617,21737.0
2018-08-03,19.74970054626465,19.604999542236328,18.5,19.74970054626465,9621.0
2018-08-06,19.5,19.610000610351562,19.5,19.610000610351562,291.0
2018-08-07,18.0,18.350000381469727,17.5,18.899999618530273,13200.0
2018-08-08,17.049999237060547,18.979999542236328,17.049999237060547,18.979999542236328,300.0
2018-08-09,17.3700008392334,17.399999618530273,17.3700008392334,17.399999618530273,500.0
2018-08-10,17.399999618530273,17.399999618530273,17.399999618530273,17.399999618530273,0.0
2018-08-13,17.25,17.700000762939453,17.25,17.700000762939453,41300.0
2018-08-14,17.639999389648438,17.700000762939453,17.639999389648438,17.700000762939453,300.0
2018-08-15,17.690000534057617,17.690000534057617,17.690000534057617,17.690000534057617,200.0
2018-08-16,17.25,17.700000762939453,17.25,17.700000762939453,400.0
2018-08-17,18.0310001373291,18.1200008392334,18.0,18.1200008392334,800.0
2018-08-20,18.43000030517578,18.200000762939453,17.64699935913086,18.43000030517578,4100.0
2018-08-21,19.780000686645508,18.979999542236328,18.510000228881836,19.780000686645508,1900.0
2018-08-22,19.0,19.049999237060547,18.989999771118164,19.75,1600.0
2018-08-23,19.100000381469727,19.049999237060547,19.049999237060547,19.100000381469727,800.0
2018-08-24,19.200000762939453,19.889999389648438,19.1200008392334,19.889999389648438,900.0
2018-08-27,19.5,19.149999618530273,18.639999389648438,20.325000762939453,6000.0
2018-08-29,19.600000381469727,19.43000030517578,19.420000076293945,19.600000381469727,3300.0
2018-08-30,19.25,19.0,19.0,19.25,3100.0
2018-08-31,19.0,20.899999618530273,19.0,20.989999771118164,4000.0
2018-09-04,20.68000030517578,19.440000534057617,18.96500015258789,20.68000030517578,9100.0
2018-09-05,19.399999618530273,19.34000015258789,19.34000015258789,19.399999618530273,2500.0
2018-09-06,19.739999771118164,19.209999084472656,19.0,19.739999771118164,4100.0
2018-09-07,18.520000457763672,19.739999771118164,18.514999389648438,19.739999771118164,2900.0
2018-09-10,18.639999389648438,18.639999389648438,18.639999389648438,18.639999389648438,200.0
2018-09-11,18.65999984741211,19.329999923706055,18.65999984741211,19.329999923706055,400.0
2018-09-12,18.760000228881836,18.0,18.0,19.010000228881836,17200.0
2018-09-13,18.55699920654297,17.850000381469727,17.850000381469727,18.55699920654297,1000.0
2018-09-14,17.56999969482422,17.850000381469727,17.56999969482422,17.850000381469727,300.0
2018-09-17,17.549999237060547,17.1299991607666,17.1299991607666,17.549999237060547,1300.0
2018-09-18,18.0,16.100000381469727,16.100000381469727,18.0,10600.0
2018-09-19,16.079999923706055,16.610000610351562,16.079999923706055,18.049999237060547,11500.0
2018-09-20,16.700000762939453,16.700000762939453,16.700000762939453,16.700000762939453,200.0
2018-09-21,16.700000762939453,16.610000610351562,16.610000610351562,18.200000762939453,7700.0
2018-09-24,16.75,17.75,16.649999618530273,18.920000076293945,3200.0
2018-09-25,17.200000762939453,16.899999618530273,16.770000457763672,17.200000762939453,2100.0
2018-09-26,17.0,16.75,16.5,17.489999771118164,119300.0
2018-09-27,16.559999465942383,16.549999237060547,16.5,17.055999755859375,36400.0
2018-09-28,16.5,17.020000457763672,16.5,17.479999542236328,6100.0
2018-10-01,17.0,17.010000228881836,17.0,17.14699935913086,1200.0
2018-10-02,16.899999618530273,16.899999618530273,16.899999618530273,16.899999618530273,200.0
2018-10-03,16.95800018310547,16.950000762939453,16.950000762939453,17.0,500.0
2018-10-04,16.549999237060547,17.389999389648438,16.549999237060547,17.389999389648438,300.0
2018-10-05,17.030000686645508,16.799999237060547,16.5,17.43000030517578,205900.0
2018-10-08,17.0,17.0,17.0,17.0,600.0
2018-10-09,17.09000015258789,17.0,16.989999771118164,17.09000015258789,700.0
2018-10-10,16.549999237060547,16.799999237060547,16.5,16.84000015258789,2800.0
2018-10-11,16.69499969482422,16.510000228881836,16.510000228881836,17.299999237060547,3200.0
2018-10-12,17.239999771118164,16.399999618530273,16.399999618530273,17.239999771118164,21400.0
2018-10-15,16.729999542236328,16.5,16.5,16.799999237060547,26500.0
2018-10-16,16.489999771118164,16.299999237060547,16.299999237060547,16.5,30200.0
2018-10-17,16.450000762939453,16.200000762939453,16.200000762939453,16.450000762939453,13000.0
2018-10-18,16.34000015258789,16.290000915527344,15.75,16.349000930786133,92700.0
2018-10-19,16.350000381469727,15.75,15.75,16.5,28200.0
2018-10-22,16.219999313354492,16.25,16.219999313354492,16.549999237060547,20900.0
2018-10-23,17.5,16.25,16.25,17.5,600.0
2018-10-24,15.989999771118164,15.989999771118164,15.800000190734863,15.989999771118164,600.0
2018-10-25,16.5,16.5,16.5,16.5,300.0
2018-10-26,16.25,16.25,16.25,16.25,700.0
2018-10-29,15.989999771118164,15.989999771118164,15.989999771118164,15.989999771118164,200.0
2018-10-30,16.0,15.5,15.5,16.0,1900.0
2018-10-31,15.5,14.8100004196167,14.680999755859375,15.5,46000.0
2018-11-01,14.8100004196167,14.8100004196167,14.8100004196167,14.8100004196167,100.0
2018-11-02,14.989999771118164,14.989999771118164,14.989999771118164,14.989999771118164,800.0
2018-11-05,14.75,14.75,14.75,14.75,600.0
2018-11-06,14.949999809265137,14.779999732971191,14.779999732971191,15.085000038146973,1400.0
2018-11-07,14.600000381469727,14.600000381469727,14.600000381469727,14.600000381469727,22000.0
2018-11-08,14.600000381469727,14.600000381469727,14.600000381469727,14.600000381469727,100.0
