Date,yopen,yclose,ylow,yhigh,yvolume
2008-01-02,373.4737548828125,360.0687561035156,360.0687561035156,375.8572692871094,12000.0
2008-01-03,362.3968505859375,361.45452880859375,359.00634765625,367.13616943359375,14100.0
2008-01-04,361.22357177734375,356.3733825683594,353.4540100097656,361.22357177734375,7700.0
2008-01-07,357.9901123046875,362.14739990234375,357.9901123046875,364.4477844238281,32200.0
2008-01-08,360.7616271972656,357.0662536621094,355.68048095703125,360.7616271972656,7100.0
2008-01-09,357.0570068359375,358.0824890136719,356.1424255371094,360.05950927734375,19500.0
2008-01-10,359.2834777832031,371.3858642578125,355.6897277832031,380.62432861328125,7000.0
2008-01-11,373.2335510253906,362.5723876953125,360.7616271972656,373.2335510253906,7300.0
2008-01-14,359.3758850097656,350.0912170410156,349.204345703125,362.6093444824219,6000.0
2008-01-15,351.4307861328125,340.4647521972656,340.4647521972656,352.9458923339844,23400.0
2008-01-16,336.27972412109375,349.5830993652344,336.27972412109375,350.6270446777344,8900.0
2008-01-17,349.5830993652344,336.27972412109375,334.89398193359375,353.721923828125,7300.0
2008-01-18,339.05126953125,322.6068115234375,322.3388977050781,340.8989562988281,11400.0
2008-01-22,314.1074523925781,329.7481384277344,304.9151916503906,331.15240478515625,15100.0
2008-01-23,328.4917297363281,339.9751281738281,320.5743713378906,339.9751281738281,7000.0
2008-01-24,337.9796142578125,325.193603515625,317.7751159667969,337.9796142578125,20100.0
2008-01-25,326.117431640625,318.7266845703125,314.9296569824219,326.117431640625,17800.0
2008-01-28,320.4819641113281,320.5189208984375,315.9643859863281,322.4313049316406,17400.0
2008-01-29,322.4128112792969,333.5082092285156,320.5743713378906,353.2692565917969,52400.0
2008-01-30,335.8270568847656,334.4320373535156,334.4320373535156,351.985107421875,30600.0
2008-01-31,337.2035827636719,349.21356201171875,331.6605224609375,349.21356201171875,13300.0
2008-02-01,351.0612487792969,346.17413330078125,342.9683837890625,354.75665283203125,18100.0
2008-02-04,349.0380554199219,351.0612487792969,349.0380554199219,366.7666320800781,19500.0
2008-02-05,346.5436706542969,339.51318359375,339.51318359375,346.5436706542969,21000.0
2008-02-06,344.1324157714844,327.0412902832031,321.5998229980469,346.4420471191406,69800.0
2008-02-07,327.87274169921875,339.9289245605469,322.4313049316406,339.9289245605469,28200.0
2008-02-08,341.82281494140625,333.5082092285156,332.5843505859375,344.31719970703125,22700.0
2008-02-11,333.0555114746094,328.88897705078125,328.88897705078125,336.2889709472656,8100.0
2008-02-12,325.193603515625,329.11993408203125,325.193603515625,340.42779541015625,24300.0
2008-02-13,327.9651184082031,328.65802001953125,326.3853454589844,334.4320373535156,7600.0
2008-02-14,329.81280517578125,329.81280517578125,325.2859802246094,334.0440368652344,13600.0
2008-02-15,326.3206787109375,328.88897705078125,326.117431640625,336.5661315917969,4400.0
2008-02-19,327.9651184082031,331.66973876953125,325.193603515625,333.5174255371094,9300.0
2008-02-20,327.9651184082031,341.82281494140625,326.117431640625,341.82281494140625,10000.0
2008-02-21,337.29595947265625,323.3551330566406,323.3551330566406,343.6705017089844,22900.0
2008-02-22,326.117431640625,325.4707336425781,319.14239501953125,326.5885925292969,7500.0
2008-02-25,324.6669921875,322.42205810546875,320.2325439453125,327.9096984863281,12000.0
2008-02-26,322.88397216796875,327.9651184082031,316.4540100097656,327.9651184082031,5400.0
2008-02-27,329.9513854980469,342.0722351074219,327.9651184082031,345.5181884765625,15900.0
2008-02-28,344.11395263671875,344.446533203125,341.82281494140625,348.11419677734375,28100.0
2008-02-29,341.82281494140625,333.5082092285156,333.5082092285156,348.75164794921875,20900.0
2008-03-03,330.7366638183594,330.7366638183594,326.3022155761719,337.3329162597656,17600.0
2008-03-04,327.2722473144531,323.34588623046875,323.34588623046875,329.831298828125,11300.0
2008-03-05,327.0412902832031,324.45452880859375,324.45452880859375,328.88897705078125,6300.0
2008-03-06,323.5306701660156,319.8814697265625,319.8814697265625,326.29296875,16700.0
2008-03-07,318.7266845703125,327.5032043457031,313.22979736328125,327.9651184082031,8300.0
2008-03-10,329.47100830078125,309.48822021484375,309.48822021484375,329.47100830078125,11400.0
2008-03-11,312.259765625,325.193603515625,307.7052001953125,325.193603515625,15900.0
2008-03-12,325.193603515625,324.2697448730469,317.8028259277344,327.0412902832031,9200.0
2008-03-13,324.2697448730469,324.0110778808594,322.4313049316406,331.6050720214844,41600.0
2008-03-14,320.666748046875,323.34588623046875,315.8258056640625,330.33941650390625,8600.0
2008-03-17,321.6737365722656,316.87896728515625,315.0312805175781,325.49847412109375,7700.0
2008-03-18,320.5743713378906,320.1124267578125,316.0475158691406,325.1843566894531,24000.0
2008-03-19,323.336669921875,314.7726135253906,314.7726135253906,323.34588623046875,13100.0
2008-03-20,318.7266845703125,322.42205810546875,317.5626220703125,322.42205810546875,15100.0
2008-03-24,322.9024658203125,319.69671630859375,319.1978454589844,325.12890625,6100.0
2008-03-25,322.42205810546875,317.8028259277344,316.6018371582031,322.42205810546875,7200.0
2008-03-26,314.5693664550781,315.1236877441406,314.5693664550781,318.7266845703125,11400.0
2008-03-27,315.95513916015625,312.67547607421875,312.67547607421875,317.7935791015625,10200.0
2008-03-28,318.50494384765625,318.50494384765625,316.1491394042969,321.9915466308594,14000.0
2008-03-31,314.0289306640625,321.8030700683594,314.0289306640625,322.2554016113281,7700.0
2008-04-01,321.8030700683594,329.81280517578125,321.8030700683594,329.81280517578125,8100.0
2008-04-02,331.3205261230469,325.4687194824219,325.3367919921875,331.3205261230469,8000.0
