Date,fcelopen,fcelclose,fcellow,fcelhigh,fcelvolume
2008-01-02,120.0,118.91999816894531,116.5199966430664,121.55999755859375,137300.0
2008-01-03,122.04000091552734,120.95999908447266,119.27999877929688,124.44000244140625,186600.0
2008-01-04,120.83999633789062,119.63999938964844,118.44000244140625,122.76000213623047,155700.0
2008-01-07,119.5199966430664,117.23999786376953,108.12000274658203,120.83999633789062,174800.0
2008-01-08,117.23999786376953,115.80000305175781,115.08000183105469,122.16000366210938,163500.0
2008-01-09,117.4800033569336,118.08000183105469,113.4000015258789,119.5199966430664,138900.0
2008-01-10,116.4000015258789,115.31999969482422,111.83999633789062,117.5999984741211,158400.0
2008-01-11,114.0,110.87999725341797,110.87999725341797,116.4000015258789,99000.0
2008-01-14,111.72000122070312,114.0,111.4800033569336,114.95999908447266,94900.0
2008-01-15,113.5199966430664,105.12000274658203,105.12000274658203,113.5199966430664,131500.0
2008-01-16,104.4000015258789,103.80000305175781,99.0,107.87999725341797,158300.0
2008-01-17,104.27999877929688,101.76000213623047,99.95999908447266,107.87999725341797,148400.0
2008-01-18,101.4000015258789,98.27999877929688,96.95999908447266,104.27999877929688,118800.0
2008-01-22,90.0,94.44000244140625,84.95999908447266,100.08000183105469,161700.0
2008-01-23,92.4000015258789,99.23999786376953,90.0,100.19999694824219,150900.0
2008-01-24,100.08000183105469,101.04000091552734,99.95999908447266,103.80000305175781,99500.0
2008-01-25,102.23999786376953,103.31999969482422,102.0,105.23999786376953,144200.0
2008-01-28,104.4000015258789,101.5199966430664,100.19999694824219,104.4000015258789,62300.0
2008-01-29,102.36000061035156,103.80000305175781,97.80000305175781,104.63999938964844,135800.0
2008-01-30,102.72000122070312,104.87999725341797,102.36000061035156,112.91999816894531,184400.0
2008-01-31,102.5999984741211,100.91999816894531,99.83999633789062,104.76000213623047,175500.0
2008-02-01,101.5199966430664,102.5999984741211,100.31999969482422,104.27999877929688,93900.0
2008-02-04,102.4800033569336,102.4800033569336,101.4000015258789,104.87999725341797,81000.0
2008-02-05,100.91999816894531,97.91999816894531,97.44000244140625,104.04000091552734,73100.0
2008-02-06,98.87999725341797,94.31999969482422,93.95999908447266,100.19999694824219,70700.0
2008-02-07,93.83999633789062,95.4000015258789,92.76000213623047,97.91999816894531,84200.0
2008-02-08,95.5199966430664,93.95999908447266,92.27999877929688,97.55999755859375,93900.0
2008-02-11,94.19999694824219,96.0,92.5199966430664,97.19999694824219,70500.0
2008-02-12,96.83999633789062,95.04000091552734,94.19999694824219,98.27999877929688,61800.0
2008-02-13,96.12000274658203,101.04000091552734,95.87999725341797,101.5199966430664,85900.0
2008-02-14,100.91999816894531,96.83999633789062,96.72000122070312,101.04000091552734,50500.0
2008-02-15,96.0,94.44000244140625,93.4800033569336,98.16000366210938,53500.0
2008-02-19,95.5199966430664,95.16000366210938,94.31999969482422,97.44000244140625,58900.0
2008-02-20,94.68000030517578,97.19999694824219,92.87999725341797,97.19999694824219,55200.0
2008-02-21,97.80000305175781,93.95999908447266,93.5999984741211,97.80000305175781,65600.0
2008-02-22,95.27999877929688,88.44000244140625,87.0,95.4000015258789,124400.0
2008-02-25,90.23999786376953,88.19999694824219,85.44000244140625,91.19999694824219,113600.0
2008-02-26,88.19999694824219,89.87999725341797,87.95999908447266,91.55999755859375,77000.0
2008-02-27,88.80000305175781,87.72000122070312,87.72000122070312,92.16000366210938,88300.0
2008-02-28,87.5999984741211,88.31999969482422,86.76000213623047,91.08000183105469,81000.0
2008-02-29,86.16000366210938,85.91999816894531,85.19999694824219,88.80000305175781,111000.0
2008-03-03,86.04000091552734,86.27999877929688,84.72000122070312,87.5999984741211,74500.0
2008-03-04,86.5199966430664,85.19999694824219,82.55999755859375,86.63999938964844,101600.0
2008-03-05,87.83999633789062,87.4800033569336,85.08000183105469,87.83999633789062,83100.0
2008-03-06,84.4800033569336,79.19999694824219,79.08000183105469,89.4000015258789,212900.0
2008-03-07,78.72000122070312,73.68000030517578,71.63999938964844,81.0,183100.0
2008-03-10,73.55999755859375,68.76000213623047,68.76000213623047,73.55999755859375,120600.0
2008-03-11,71.27999877929688,70.55999755859375,66.5999984741211,72.36000061035156,137900.0
2008-03-12,71.87999725341797,72.23999786376953,70.55999755859375,73.44000244140625,98000.0
2008-03-13,72.0,71.87999725341797,70.31999969482422,73.80000305175781,93100.0
2008-03-14,72.95999908447266,72.4800033569336,71.04000091552734,73.80000305175781,110000.0
2008-03-17,69.5999984741211,66.83999633789062,66.0,70.19999694824219,109500.0
2008-03-18,69.0,71.76000213623047,65.16000366210938,72.0,132200.0
2008-03-19,72.0,69.23999786376953,69.0,73.55999755859375,119400.0
2008-03-20,70.31999969482422,76.08000183105469,68.27999877929688,76.91999816894531,197800.0
2008-03-24,77.63999938964844,80.27999877929688,77.04000091552734,80.63999938964844,111400.0
2008-03-25,80.87999725341797,82.68000030517578,80.27999877929688,82.80000305175781,67800.0
2008-03-26,82.91999816894531,80.04000091552734,79.08000183105469,83.87999725341797,92100.0
2008-03-27,79.91999816894531,77.4000015258789,77.4000015258789,80.87999725341797,67000.0
2008-03-28,77.4000015258789,77.27999877929688,76.31999969482422,81.4800033569336,110000.0
2008-03-31,76.68000030517578,79.80000305175781,76.19999694824219,81.12000274658203,68900.0
2008-04-01,84.36000061035156,80.76000213623047,79.68000030517578,87.0,100200.0
2008-04-02,81.0,81.83999633789062,81.0,84.23999786376953,71200.0
2008-04-03,81.23999786376953,86.27999877929688,81.23999786376953,86.63999938964844,107000.0
