Date,dyntopen,dyntclose,dyntlow,dynthigh,dyntvolume
2008-01-02,5.050000190734863,5.150000095367432,5.050000190734863,5.199999809265137,300.0
2008-01-03,5.400000095367432,5.449999809265137,5.400000095367432,5.449999809265137,600.0
2008-01-04,5.199999809265137,5.199999809265137,5.199999809265137,5.25,700.0
2008-01-07,5.25,5.25,5.25,5.25,1200.0
2008-01-08,5.25,5.25,5.199999809265137,5.25,400.0
2008-01-09,5.25,5.099999904632568,5.0,5.25,5200.0
2008-01-10,5.199999809265137,5.150000095367432,5.0,5.199999809265137,4500.0
2008-01-11,5.050000190734863,5.25,5.050000190734863,5.25,4700.0
2008-01-14,5.150000095367432,5.199999809265137,5.150000095367432,5.199999809265137,2000.0
2008-01-15,5.050000190734863,5.099999904632568,5.050000190734863,5.349999904632568,2000.0
2008-01-16,5.349999904632568,5.099999904632568,5.050000190734863,5.349999904632568,2000.0
2008-01-17,5.099999904632568,5.25,5.0,5.25,400.0
2008-01-18,5.099999904632568,5.099999904632568,4.949999809265137,5.25,3500.0
2008-01-22,4.900000095367432,5.150000095367432,4.900000095367432,5.150000095367432,1500.0
2008-01-23,5.0,4.949999809265137,4.949999809265137,5.25,4500.0
2008-01-24,5.0,4.949999809265137,4.949999809265137,5.050000190734863,900.0
2008-01-25,4.949999809265137,4.949999809265137,4.949999809265137,5.0,1600.0
2008-01-28,4.949999809265137,5.0,4.949999809265137,5.0,100.0
2008-01-29,5.050000190734863,5.050000190734863,4.949999809265137,5.099999904632568,1700.0
2008-01-30,4.949999809265137,5.0,4.949999809265137,5.0,300.0
2008-01-31,4.949999809265137,5.0,4.849999904632568,5.0,4400.0
2008-02-01,5.0,5.099999904632568,4.949999809265137,5.199999809265137,3000.0
2008-02-04,4.900000095367432,5.050000190734863,4.900000095367432,5.050000190734863,0.0
2008-02-05,5.099999904632568,5.0,5.0,5.099999904632568,1800.0
2008-02-06,5.199999809265137,5.400000095367432,5.199999809265137,5.5,5200.0
2008-02-07,5.5,5.300000190734863,5.300000190734863,5.5,1800.0
2008-02-08,5.5,5.349999904632568,5.300000190734863,5.5,1200.0
2008-02-11,5.349999904632568,5.400000095367432,5.25,5.5,4600.0
2008-02-12,5.300000190734863,5.349999904632568,5.300000190734863,5.400000095367432,2900.0
2008-02-13,5.449999809265137,5.650000095367432,5.400000095367432,5.650000095367432,2800.0
2008-02-14,5.5,5.349999904632568,5.0,6.0,17300.0
2008-02-15,5.449999809265137,5.199999809265137,5.199999809265137,5.449999809265137,900.0
2008-02-19,5.400000095367432,5.150000095367432,4.949999809265137,5.400000095367432,6900.0
2008-02-20,5.150000095367432,5.099999904632568,5.050000190734863,5.199999809265137,1400.0
2008-02-21,5.099999904632568,5.0,5.0,5.099999904632568,200.0
2008-02-22,5.099999904632568,5.0,5.0,5.099999904632568,2800.0
2008-02-25,5.150000095367432,5.199999809265137,5.150000095367432,5.199999809265137,900.0
2008-02-26,5.099999904632568,5.0,5.0,5.099999904632568,3200.0
2008-02-27,5.050000190734863,5.099999904632568,5.0,5.099999904632568,3100.0
2008-02-28,5.0,5.099999904632568,5.0,5.099999904632568,1200.0
2008-02-29,5.699999809265137,5.099999904632568,5.0,5.699999809265137,2900.0
2008-03-03,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,600.0
2008-03-04,5.199999809265137,5.099999904632568,5.050000190734863,5.199999809265137,3700.0
2008-03-05,5.300000190734863,5.150000095367432,5.150000095367432,5.300000190734863,1600.0
2008-03-06,5.050000190734863,5.0,5.0,5.050000190734863,2400.0
2008-03-07,5.0,5.099999904632568,5.0,5.199999809265137,600.0
2008-03-10,5.099999904632568,5.199999809265137,5.099999904632568,5.199999809265137,2700.0
2008-03-11,5.050000190734863,5.050000190734863,5.0,5.050000190734863,1000.0
2008-03-12,5.0,5.0,5.0,5.050000190734863,1900.0
2008-03-13,5.0,5.099999904632568,5.0,5.099999904632568,1300.0
2008-03-14,5.050000190734863,5.099999904632568,5.050000190734863,5.099999904632568,900.0
2008-03-17,5.099999904632568,5.099999904632568,5.050000190734863,5.150000095367432,4900.0
2008-03-18,5.0,5.25,5.0,5.699999809265137,3000.0
2008-03-19,5.150000095367432,5.150000095367432,5.150000095367432,5.150000095367432,0.0
2008-03-20,5.150000095367432,5.099999904632568,5.099999904632568,5.150000095367432,100.0
2008-03-24,5.25,5.099999904632568,5.099999904632568,5.25,800.0
2008-03-25,5.25,5.099999904632568,5.099999904632568,5.25,400.0
2008-03-26,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,0.0
2008-03-27,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,200.0
2008-03-28,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,200.0
2008-03-31,5.099999904632568,5.25,5.099999904632568,5.25,2700.0
2008-04-01,5.099999904632568,5.150000095367432,5.099999904632568,5.150000095367432,2500.0
2008-04-02,5.150000095367432,5.150000095367432,5.099999904632568,5.150000095367432,1400.0
2008-04-03,5.099999904632568,5.25,5.099999904632568,5.25,1200.0
