Date,tsroopen,tsroclose,tsrolow,tsrohigh,tsrovolume
2012-06-28,14.0,13.6899995803833,12.819999694824219,14.0,1266200
2012-06-29,13.649999618530273,13.989999771118164,13.5,14.149999618530273,40400
2012-07-02,13.899999618530273,14.0,13.539999961853027,14.0,16400
2012-07-03,13.5600004196167,13.609999656677246,13.529999732971191,13.699999809265137,2500
2012-07-05,13.609999656677246,13.8100004196167,13.600000381469727,13.90999984741211,61300
2012-07-06,13.720000267028809,13.890000343322754,13.65999984741211,13.989999771118164,4200
2012-07-09,14.0,13.829999923706055,13.680000305175781,14.0,13700
2012-07-10,13.5600004196167,13.850000381469727,13.5600004196167,13.960000038146973,12300
2012-07-11,13.979999542236328,13.729999542236328,13.510000228881836,14.0,9900
2012-07-12,13.5600004196167,13.699999809265137,13.5,13.699999809265137,13100
2012-07-13,13.789999961853027,13.739999771118164,13.520000457763672,13.9399995803833,30200
2012-07-16,13.600000381469727,14.0,13.600000381469727,14.0,37000
2012-07-17,14.0,13.880000114440918,13.619999885559082,14.180000305175781,22900
2012-07-18,13.649999618530273,13.930000305175781,13.649999618530273,14.079999923706055,49600
2012-07-19,13.970000267028809,14.0,13.800000190734863,14.050000190734863,29300
2012-07-20,14.109999656677246,13.5,13.5,14.119999885559082,34100
2012-07-23,13.699999809265137,13.899999618530273,13.699999809265137,14.0,37200
2012-07-24,14.0,14.0,13.75,14.09000015258789,107100
2012-07-25,14.0,14.0,13.84000015258789,14.020000457763672,6900
2012-07-26,14.0,13.609999656677246,13.600000381469727,14.0,28300
2012-07-27,13.609999656677246,13.59000015258789,13.59000015258789,13.75,3300
2012-07-30,13.600000381469727,13.600000381469727,13.59000015258789,13.789999961853027,1800
2012-07-31,13.699999809265137,13.260000228881836,13.199999809265137,13.789999961853027,18500
2012-08-01,13.130000114440918,13.5,13.0600004196167,13.5,16100
2012-08-02,13.529999732971191,13.170000076293945,13.100000381469727,13.600000381469727,24900
2012-08-03,13.220000267028809,13.279999732971191,13.0,13.880000114440918,28900
2012-08-06,13.640000343322754,13.050000190734863,13.0,13.640000343322754,31900
2012-08-07,13.15999984741211,13.529999732971191,13.020000457763672,13.529999732971191,29000
2012-08-08,13.300000190734863,13.0600004196167,13.020000457763672,13.470000267028809,36700
2012-08-09,13.5,13.789999961853027,13.130000114440918,13.789999961853027,45600
2012-08-10,13.630000114440918,13.420000076293945,13.25,13.729999542236328,51600
2012-08-13,13.460000038146973,13.399999618530273,13.109999656677246,13.65999984741211,61900
2012-08-14,13.390000343322754,13.0,12.890000343322754,13.5600004196167,60400
2012-08-15,12.989999771118164,13.199999809265137,12.199999809265137,13.649999618530273,14800
2012-08-16,13.119999885559082,13.0,12.300000190734863,13.119999885559082,15400
