Date,zbhopen,zbhclose,zbhlow,zbhhigh,zbhvolume
2008-01-02,66.23999786376953,66.29000091552734,65.87000274658203,66.72000122070312,1433600.0
2008-01-03,66.37999725341797,66.36000061035156,66.25,67.08000183105469,1524700.0
2008-01-04,65.93000030517578,66.5,65.91999816894531,67.12999725341797,2246700.0
2008-01-07,66.79000091552734,68.66000366210938,66.79000091552734,69.11000061035156,2709500.0
2008-01-08,69.41000366210938,67.25,67.20999908447266,69.9000015258789,4586100.0
2008-01-09,67.48999786376953,67.61000061035156,65.88999938964844,67.70999908447266,3070400.0
2008-01-10,66.9800033569336,68.51000213623047,66.9800033569336,69.5,2798300.0
2008-01-11,68.0199966430664,69.94999694824219,68.0199966430664,70.3499984741211,2648800.0
2008-01-14,70.63999938964844,68.79000091552734,68.51000213623047,70.63999938964844,2026300.0
2008-01-15,68.55000305175781,67.68000030517578,67.58999633789062,68.58999633789062,2134700.0
2008-01-16,67.25,67.62000274658203,67.25,68.41999816894531,2309600.0
2008-01-17,67.54000091552734,67.69999694824219,67.52999877929688,68.66000366210938,2460100.0
2008-01-18,68.02999877929688,67.33999633789062,67.0,68.75,2732900.0
2008-01-22,65.05000305175781,67.11000061035156,64.5,67.51000213623047,3142500.0
2008-01-23,66.5,65.93000030517578,63.79999923706055,66.76000213623047,4010900.0
2008-01-24,65.87999725341797,67.06999969482422,65.87999725341797,67.83000183105469,2965100.0
2008-01-25,67.44000244140625,66.36000061035156,66.1500015258789,67.91000366210938,2298500.0
2008-01-28,66.63999938964844,68.08000183105469,65.41000366210938,68.44999694824219,3021900.0
2008-01-29,74.62999725341797,77.02999877929688,74.44999694824219,77.41999816894531,9224500.0
2008-01-30,76.54000091552734,77.4000015258789,75.88999938964844,79.23999786376953,4737100.0
2008-01-31,76.33999633789062,78.13999938964844,75.9000015258789,78.76000213623047,4470400.0
2008-02-01,78.12999725341797,79.18000030517578,77.87000274658203,79.38999938964844,2464100.0
2008-02-04,77.76000213623047,77.51000213623047,76.66000366210938,79.0,1615000.0
2008-02-05,76.30999755859375,76.91999816894531,76.0999984741211,77.48999786376953,2311200.0
2008-02-06,77.29000091552734,76.9000015258789,76.76000213623047,78.23999786376953,2465500.0
2008-02-07,76.58000183105469,78.52999877929688,76.33999633789062,78.52999877929688,2508900.0
2008-02-08,78.44999694824219,77.86000061035156,77.54000091552734,78.66999816894531,1540000.0
2008-02-11,77.91999816894531,77.81999969482422,76.9000015258789,77.95999908447266,1545300.0
2008-02-12,78.22000122070312,78.37999725341797,77.91999816894531,79.12999725341797,1301500.0
2008-02-13,78.81999969482422,78.51000213623047,78.08999633789062,79.13999938964844,1176800.0
2008-02-14,78.5,76.37999725341797,76.37000274658203,78.5,1684100.0
2008-02-15,76.23999786376953,75.83999633789062,74.93000030517578,76.37999725341797,1781600.0
2008-02-19,76.01000213623047,76.51000213623047,75.41000366210938,77.23999786376953,1135400.0
2008-02-20,76.19000244140625,76.94000244140625,75.54000091552734,76.94000244140625,1531900.0
2008-02-21,76.9000015258789,76.37000274658203,76.08999633789062,77.48999786376953,1011100.0
2008-02-22,76.52999877929688,75.97000122070312,74.76000213623047,76.52999877929688,1394400.0
2008-02-25,76.19999694824219,77.91000366210938,76.0199966430664,78.19999694824219,1567900.0
2008-02-26,77.38999938964844,77.22000122070312,76.83000183105469,77.56999969482422,1327100.0
2008-02-27,77.08999633789062,77.12999725341797,76.41000366210938,77.68000030517578,971600.0
2008-02-28,76.43000030517578,77.2300033569336,76.20999908447266,77.94000244140625,793200.0
2008-02-29,76.76000213623047,75.29000091552734,75.0,76.91000366210938,1718300.0
2008-03-03,75.05000305175781,75.55999755859375,74.77999877929688,75.72000122070312,1024400.0
2008-03-04,75.16000366210938,76.45999908447266,74.97000122070312,76.80999755859375,1718800.0
2008-03-05,76.4800033569336,76.8499984741211,75.72000122070312,77.87000274658203,2110300.0
2008-03-06,76.62999725341797,75.7699966430664,75.7699966430664,77.05000305175781,1348800.0
2008-03-07,75.12000274658203,75.16000366210938,74.9800033569336,76.5,1474600.0
2008-03-10,75.08000183105469,73.80000305175781,73.72000122070312,75.76000213623047,2531900.0
2008-03-11,75.30000305175781,75.08999633789062,73.3499984741211,75.33999633789062,1646800.0
2008-03-12,75.3499984741211,76.0999984741211,74.98999786376953,76.70999908447266,1726100.0
2008-03-13,75.20999908447266,76.45999908447266,74.86000061035156,76.55999755859375,1890600.0
2008-03-14,77.13999938964844,76.58999633789062,75.94000244140625,77.52999877929688,2547700.0
2008-03-17,75.25,75.62999725341797,75.0,77.04000091552734,2072100.0
2008-03-18,76.8499984741211,76.76000213623047,75.4800033569336,77.0,1818900.0
2008-03-19,77.0199966430664,75.52999877929688,75.52999877929688,77.8499984741211,2234900.0
2008-03-20,76.98999786376953,78.55000305175781,76.4000015258789,79.05000305175781,2867400.0
2008-03-24,78.70999908447266,78.94999694824219,78.4000015258789,79.77999877929688,1610500.0
2008-03-25,79.0,78.83999633789062,77.83999633789062,79.1500015258789,1364600.0
2008-03-26,78.27999877929688,78.05999755859375,77.94999694824219,79.01000213623047,1244800.0
2008-03-27,78.38999938964844,77.16000366210938,77.16000366210938,78.47000122070312,1813000.0
2008-03-28,77.37999725341797,76.97000122070312,76.66000366210938,78.08999633789062,1097400.0
2008-03-31,77.23999786376953,77.86000061035156,76.58999633789062,78.05000305175781,1970400.0
2008-04-01,78.6500015258789,79.37999725341797,77.88999938964844,79.83000183105469,2017000.0
2008-04-02,79.41000366210938,79.62999725341797,79.30000305175781,80.91999816894531,1480700.0
