Date,lmtopen,lmtclose,lmtlow,lmthigh,lmtvolume
2008-01-02,105.7699966430664,105.3499984741211,104.94000244140625,107.19999694824219,2753000.0
2008-01-03,105.48999786376953,107.93000030517578,104.70999908447266,108.80999755859375,2435800.0
2008-01-04,107.2300033569336,106.5,105.62999725341797,107.37000274658203,2319100.0
2008-01-07,107.36000061035156,106.26000213623047,104.93000030517578,107.94000244140625,2749500.0
2008-01-08,106.26000213623047,106.30000305175781,106.16999816894531,108.20999908447266,3160500.0
2008-01-09,106.87999725341797,108.52999877929688,106.41999816894531,108.7699966430664,2602400.0
2008-01-10,107.93000030517578,108.54000091552734,107.31999969482422,109.87999725341797,2639600.0
2008-01-11,107.58000183105469,109.45999908447266,107.5,110.25,3117000.0
2008-01-14,110.12000274658203,108.08999633789062,107.1500015258789,110.12000274658203,2724500.0
2008-01-15,106.97000122070312,106.80999755859375,106.37999725341797,108.62999725341797,3033600.0
2008-01-16,106.11000061035156,105.86000061035156,105.16000366210938,107.0999984741211,3042400.0
2008-01-17,105.97000122070312,102.1500015258789,101.93000030517578,107.12000274658203,3592600.0
2008-01-18,102.6500015258789,101.87999725341797,101.06999969482422,104.33000183105469,3291200.0
2008-01-22,97.01000213623047,101.0199966430664,90.44000244140625,102.18000030517578,4440500.0
2008-01-23,98.30999755859375,101.69000244140625,97.05999755859375,102.04000091552734,3977200.0
2008-01-24,102.73999786376953,105.9000015258789,102.11000061035156,106.80999755859375,3713600.0
2008-01-25,107.06999969482422,105.48999786376953,104.97000122070312,107.06999969482422,3280100.0
2008-01-28,105.43000030517578,106.87000274658203,105.43000030517578,107.05000305175781,2832200.0
2008-01-29,107.0199966430664,106.44000244140625,105.9000015258789,107.47000122070312,1992000.0
2008-01-30,106.91999816894531,106.52999877929688,106.2699966430664,108.44999694824219,2171900.0
2008-01-31,105.30999755859375,107.91999816894531,104.5999984741211,108.3499984741211,2894100.0
2008-02-01,108.16999816894531,108.12000274658203,106.87000274658203,109.80000305175781,2658200.0
2008-02-04,108.1500015258789,109.77999877929688,106.01000213623047,110.1500015258789,2666700.0
2008-02-05,109.3499984741211,107.7699966430664,107.13999938964844,109.66000366210938,2364800.0
2008-02-06,108.72000122070312,105.5999984741211,105.18000030517578,108.72000122070312,2369400.0
2008-02-07,104.94999694824219,105.83000183105469,104.62000274658203,106.94000244140625,2981000.0
2008-02-08,105.81999969482422,105.76000213623047,104.76000213623047,106.26000213623047,1725800.0
2008-02-11,105.54000091552734,107.61000061035156,105.52999877929688,107.79000091552734,1583300.0
2008-02-12,108.05999755859375,107.20999908447266,106.5999984741211,108.05999755859375,2208900.0
2008-02-13,107.20999908447266,108.87000274658203,107.01000213623047,109.1500015258789,1871400.0
2008-02-14,108.73999786376953,107.0999984741211,106.5999984741211,109.5,1293300.0
2008-02-15,107.06999969482422,105.76000213623047,105.0,107.5199966430664,2095600.0
2008-02-19,106.76000213623047,107.33999633789062,105.80999755859375,108.0,1814800.0
2008-02-20,106.61000061035156,107.06999969482422,105.8499984741211,107.31999969482422,1270300.0
2008-02-21,107.23999786376953,105.0,104.73999786376953,107.94000244140625,2958700.0
2008-02-22,105.2699966430664,105.12000274658203,103.16999816894531,105.51000213623047,1678600.0
2008-02-25,105.38999938964844,106.62999725341797,104.27999877929688,106.63999938964844,1749500.0
2008-02-26,105.9000015258789,105.94999694824219,105.33000183105469,106.44999694824219,1712800.0
2008-02-27,105.4000015258789,105.36000061035156,105.11000061035156,106.72000122070312,1693800.0
2008-02-28,104.6500015258789,105.16000366210938,103.6500015258789,105.80000305175781,1833500.0
2008-02-29,104.0,103.19999694824219,102.87000274658203,104.33000183105469,1958900.0
2008-03-03,103.2699966430664,104.0,102.41000366210938,104.0,1731000.0
2008-03-04,102.5999984741211,103.72000122070312,102.12999725341797,104.08999633789062,1872900.0
2008-03-05,103.5999984741211,104.70999908447266,102.88999938964844,104.9000015258789,2059400.0
2008-03-06,103.4000015258789,104.1500015258789,103.4000015258789,104.93000030517578,1927600.0
2008-03-07,103.12999725341797,103.18000030517578,102.7699966430664,104.5999984741211,1736300.0
2008-03-10,102.29000091552734,100.31999969482422,100.1500015258789,103.01000213623047,2369800.0
2008-03-11,100.05999755859375,101.66000366210938,99.37000274658203,101.69999694824219,3281800.0
2008-03-12,102.0,100.44999694824219,100.12000274658203,102.18000030517578,1985300.0
2008-03-13,99.55000305175781,101.11000061035156,98.5,101.4000015258789,2132700.0
2008-03-14,101.9800033569336,100.54000091552734,99.01000213623047,102.68000030517578,2891700.0
2008-03-17,98.3499984741211,100.05000305175781,98.3499984741211,101.11000061035156,3285300.0
2008-03-18,101.75,101.55000305175781,99.91000366210938,101.75,3538000.0
2008-03-19,101.83999633789062,100.70999908447266,100.70999908447266,103.25,2353200.0
2008-03-20,100.8499984741211,100.05000305175781,98.44999694824219,101.8499984741211,3444100.0
2008-03-24,100.26000213623047,100.77999877929688,99.7699966430664,101.30999755859375,1710900.0
2008-03-25,101.2699966430664,102.0,100.0,102.29000091552734,1363800.0
2008-03-26,101.66999816894531,101.2300033569336,100.55999755859375,101.66999816894531,1361300.0
2008-03-27,101.5999984741211,100.04000091552734,99.9000015258789,101.5999984741211,1336600.0
2008-03-28,100.37999725341797,100.18000030517578,99.76000213623047,100.88999938964844,1552200.0
2008-03-31,100.33999633789062,99.30000305175781,98.44000244140625,100.61000061035156,2439400.0
2008-04-01,99.95999908447266,101.33000183105469,99.27999877929688,101.51000213623047,2040000.0
2008-04-02,101.22000122070312,100.20999908447266,100.02999877929688,102.0,2501500.0
