Date,ledsopen,ledsclose,ledslow,ledshigh,ledsvolume
2010-12-09,240.0,257.6000061035156,231.39999389648438,273.3999938964844,725700.0
2010-12-10,260.0,252.5,236.39999389648438,260.29998779296875,158700.0
2010-12-13,250.0,249.8000030517578,241.89999389648438,252.5,31400.0
2010-12-14,251.5,243.6999969482422,242.10000610351562,251.5,34300.0
2010-12-15,241.3000030517578,244.0,237.39999389648438,246.10000610351562,16100.0
2010-12-16,243.0,262.0,240.5,262.0,21500.0
2010-12-17,252.0,255.0,251.1999969482422,259.20001220703125,12200.0
2010-12-20,259.79998779296875,261.0,250.3000030517578,263.0,9900.0
2010-12-21,264.20001220703125,304.20001220703125,263.29998779296875,321.20001220703125,42700.0
2010-12-22,303.1000061035156,288.0,282.70001220703125,310.0,27400.0
2010-12-23,289.70001220703125,295.0,285.20001220703125,304.0,12800.0
2010-12-27,296.8999938964844,294.1000061035156,290.29998779296875,309.79998779296875,13000.0
2010-12-28,296.6000061035156,293.79998779296875,285.79998779296875,300.6000061035156,8200.0
2010-12-29,296.6000061035156,288.3999938964844,285.0,296.6000061035156,4400.0
2010-12-30,285.79998779296875,290.1000061035156,283.0,290.29998779296875,3800.0
2010-12-31,294.3999938964844,290.5,285.6000061035156,294.3999938964844,4700.0
2011-01-03,294.20001220703125,277.5,266.20001220703125,296.5,16700.0
2011-01-04,283.5,280.6000061035156,272.29998779296875,284.8999938964844,9400.0
2011-01-05,281.6000061035156,280.8999938964844,277.5,285.6000061035156,8700.0
2011-01-06,287.29998779296875,280.0,279.3999938964844,287.6000061035156,3800.0
2011-01-07,283.79998779296875,278.8999938964844,277.20001220703125,287.0,8100.0
2011-01-10,277.20001220703125,282.5,277.20001220703125,285.8999938964844,12400.0
2011-01-11,287.0,284.0,279.0,287.0,14300.0
2011-01-12,286.5,286.29998779296875,282.29998779296875,286.5,8500.0
2011-01-13,189.6999969482422,187.60000610351562,185.5,195.60000610351562,693100.0
2011-01-14,187.0,177.1999969482422,175.60000610351562,187.0,185800.0
2011-01-18,182.3000030517578,179.10000610351562,176.5,182.5,98800.0
2011-01-19,177.5,188.10000610351562,176.6999969482422,189.39999389648438,166400.0
2011-01-20,190.0,190.0,184.6999969482422,191.6999969482422,61200.0
2011-01-21,191.0,184.6999969482422,184.1999969482422,192.39999389648438,41400.0
2011-01-24,186.39999389648438,184.8000030517578,180.1999969482422,187.0,18000.0
2011-01-25,181.89999389648438,178.10000610351562,176.6999969482422,184.5,29500.0
2011-01-26,179.39999389648438,179.5,176.8000030517578,180.39999389648438,17500.0
2011-01-27,179.5,182.8000030517578,179.5,184.10000610351562,10600.0
2011-01-28,184.3000030517578,182.60000610351562,181.6999969482422,184.6999969482422,20300.0
2011-01-31,184.0,180.8000030517578,179.0,184.0,6900.0
2011-02-01,180.10000610351562,180.1999969482422,179.0,180.8000030517578,35400.0
2011-02-02,177.5,178.39999389648438,175.60000610351562,179.89999389648438,10700.0
2011-02-03,179.8000030517578,179.3000030517578,177.0,181.5,22100.0
2011-02-04,178.39999389648438,179.39999389648438,177.1999969482422,179.5,9500.0
2011-02-07,179.0,178.8000030517578,178.3000030517578,180.39999389648438,15400.0
2011-02-08,179.39999389648438,178.6999969482422,178.10000610351562,180.0,12700.0
2011-02-09,177.5,175.8000030517578,175.10000610351562,178.5,18600.0
2011-02-10,175.0,175.89999389648438,172.0,176.60000610351562,14600.0
2011-02-11,175.1999969482422,174.39999389648438,172.1999969482422,175.6999969482422,11800.0
2011-02-14,174.10000610351562,174.60000610351562,173.6999969482422,176.0,5800.0
2011-02-15,174.0,174.0,172.5,175.1999969482422,10700.0
2011-02-16,174.0,176.10000610351562,172.60000610351562,176.8000030517578,6900.0
2011-02-17,179.60000610351562,178.0,177.0,180.0,22000.0
2011-02-18,178.10000610351562,176.0,175.0,179.39999389648438,4800.0
2011-02-22,174.89999389648438,173.5,172.10000610351562,177.89999389648438,18000.0
2011-02-23,172.6999969482422,159.60000610351562,155.0,174.5,43900.0
2011-02-24,164.6999969482422,154.89999389648438,153.5,165.0,16600.0
2011-02-25,155.6999969482422,158.6999969482422,155.5,160.39999389648438,9900.0
2011-02-28,166.89999389648438,156.5,155.39999389648438,166.89999389648438,13700.0
2011-03-01,158.3000030517578,153.0,151.60000610351562,158.3000030517578,8700.0
2011-03-02,158.8000030517578,154.6999969482422,153.8000030517578,159.1999969482422,10100.0
2011-03-03,157.0,155.89999389648438,152.89999389648438,157.60000610351562,14000.0
2011-03-04,159.89999389648438,157.60000610351562,156.60000610351562,159.89999389648438,8700.0
2011-03-07,158.5,154.3000030517578,152.5,159.1999969482422,18400.0
2011-03-08,156.0,152.8000030517578,152.6999969482422,156.0,12400.0
2011-03-09,153.89999389648438,151.39999389648438,148.1999969482422,154.89999389648438,8900.0
2011-03-10,149.8000030517578,156.10000610351562,145.39999389648438,158.0,14000.0
2011-03-11,154.0,161.0,152.10000610351562,166.89999389648438,17600.0
2011-03-14,161.0,165.0,159.0,167.5,19300.0
2011-03-15,161.0,163.5,160.8000030517578,167.39999389648438,11600.0
2011-03-16,167.39999389648438,162.0,159.1999969482422,167.5,11300.0
2011-03-17,165.5,159.89999389648438,156.6999969482422,165.5,21200.0
2011-03-18,162.89999389648438,162.0,158.0,163.3000030517578,9300.0
2011-03-21,161.89999389648438,162.10000610351562,157.3000030517578,163.8000030517578,9600.0
2011-03-22,162.8000030517578,164.89999389648438,162.60000610351562,165.3000030517578,6300.0
2011-03-23,159.89999389648438,160.5,153.5,162.0,28500.0
2011-03-24,159.89999389648438,159.0,156.39999389648438,161.0,8900.0
2011-03-25,158.1999969482422,154.5,154.10000610351562,158.1999969482422,10000.0
2011-03-28,154.8000030517578,151.6999969482422,148.1999969482422,156.6999969482422,9600.0
2011-03-29,154.5,157.5,151.60000610351562,158.0,17200.0
2011-03-30,157.10000610351562,152.89999389648438,151.8000030517578,157.3000030517578,29900.0
2011-03-31,153.0,156.10000610351562,149.89999389648438,157.39999389648438,25800.0
2011-04-01,157.60000610351562,150.60000610351562,150.5,157.60000610351562,26100.0
2011-04-04,151.0,144.60000610351562,143.60000610351562,154.5,14900.0
2011-04-05,120.5,119.5999984741211,117.5,127.0999984741211,129700.0
2011-04-06,118.19999694824219,119.9000015258789,116.80000305175781,120.5999984741211,34800.0
2011-04-07,119.19999694824219,120.0,118.19999694824219,120.80000305175781,13900.0
2011-04-08,119.69999694824219,119.80000305175781,118.0,120.0,10900.0
2011-04-11,119.30000305175781,116.5999984741211,116.0999984741211,119.69999694824219,17200.0
2011-04-12,116.5999984741211,114.0999984741211,111.30000305175781,116.5999984741211,19700.0
2011-04-13,112.4000015258789,110.30000305175781,108.0,112.4000015258789,26700.0
2011-04-14,109.5,108.80000305175781,107.5,110.5999984741211,17100.0
2011-04-15,108.19999694824219,105.0,101.19999694824219,108.19999694824219,29200.0
2011-04-18,105.0,105.0,102.5999984741211,106.5,10500.0
2011-04-19,105.5,104.5999984741211,103.80000305175781,107.69999694824219,5500.0
