Date,ampopen,ampclose,amplow,amphigh,ampvolume
2008-01-02,55.18000030517578,55.5,54.83000183105469,56.45000076293945,2222200.0
2008-01-03,55.79999923706055,54.91999816894531,54.689998626708984,56.31999969482422,1314200.0
2008-01-04,53.810001373291016,53.650001525878906,53.369998931884766,54.75,2615400.0
2008-01-07,54.08000183105469,53.540000915527344,52.970001220703125,54.09000015258789,2563200.0
2008-01-08,53.90999984741211,51.689998626708984,51.5099983215332,54.2599983215332,2591800.0
2008-01-09,51.709999084472656,51.349998474121094,49.470001220703125,51.83000183105469,3334400.0
2008-01-10,50.709999084472656,53.9900016784668,50.650001525878906,55.06999969482422,3328600.0
2008-01-11,53.279998779296875,53.58000183105469,52.18000030517578,55.08000183105469,1995800.0
2008-01-14,54.119998931884766,56.08000183105469,53.77000045776367,56.38999938964844,2990000.0
2008-01-15,55.47999954223633,53.41999816894531,53.369998931884766,56.0,1974700.0
2008-01-16,53.06999969482422,52.43000030517578,52.189998626708984,54.29999923706055,2482600.0
2008-01-17,52.529998779296875,49.349998474121094,49.029998779296875,52.630001068115234,3958400.0
2008-01-18,49.619998931884766,49.439998626708984,48.04999923706055,50.7599983215332,3302300.0
2008-01-22,46.959999084472656,48.75,46.0,50.959999084472656,3772100.0
2008-01-23,47.20000076293945,49.97999954223633,45.650001525878906,50.59000015258789,7805000.0
2008-01-24,49.4900016784668,50.22999954223633,49.4900016784668,51.15999984741211,4854900.0
2008-01-25,51.75,49.61000061035156,47.720001220703125,54.599998474121094,3866900.0
2008-01-28,49.349998474121094,51.459999084472656,48.439998626708984,51.75,2317000.0
2008-01-29,51.939998626708984,52.86000061035156,50.599998474121094,53.11000061035156,1868900.0
2008-01-30,52.970001220703125,53.369998931884766,52.279998779296875,55.40999984741211,2844800.0
2008-01-31,51.9900016784668,55.310001373291016,50.97999954223633,55.869998931884766,3289200.0
2008-02-01,55.119998931884766,57.119998931884766,55.060001373291016,57.54999923706055,2827300.0
2008-02-04,56.279998779296875,55.2599983215332,54.61000061035156,56.939998626708984,3546200.0
2008-02-05,53.97999954223633,52.20000076293945,52.099998474121094,54.25,3828600.0
2008-02-06,52.77000045776367,51.4900016784668,51.34000015258789,52.93000030517578,1798000.0
