Date,frtopen,frtclose,frtlow,frthigh,frtvolume
2008-01-02,82.0999984741211,81.9000015258789,81.04000091552734,83.41000366210938,580600.0
2008-01-03,81.83000183105469,78.87000274658203,78.72000122070312,82.98999786376953,679500.0
2008-01-04,78.0,74.98999786376953,74.86000061035156,78.61000061035156,1083100.0
2008-01-07,75.29000091552734,75.45999908447266,73.75,76.55999755859375,713700.0
2008-01-08,76.0,73.62000274658203,73.55999755859375,77.9000015258789,832500.0
2008-01-09,73.41000366210938,72.19000244140625,67.76000213623047,73.41999816894531,3172200.0
2008-01-10,72.23999786376953,71.44999694824219,69.94000244140625,73.1500015258789,2148000.0
2008-01-11,70.70999908447266,71.0,69.33999633789062,71.86000061035156,1252900.0
2008-01-14,71.25,70.0999984741211,67.58000183105469,71.9800033569336,1103100.0
2008-01-15,68.9000015258789,66.77999877929688,65.62999725341797,69.48999786376953,1789900.0
2008-01-16,66.02999877929688,66.80999755859375,66.02999877929688,68.7699966430664,1412900.0
2008-01-17,66.95999908447266,66.36000061035156,66.19999694824219,68.02999877929688,1355400.0
2008-01-18,66.58000183105469,64.4800033569336,63.31999969482422,66.91000366210938,1433100.0
2008-01-22,62.0099983215332,65.6500015258789,61.599998474121094,67.5,1506600.0
2008-01-23,63.90999984741211,69.44000244140625,63.90999984741211,71.31999969482422,3193300.0
2008-01-24,69.79000091552734,71.41000366210938,69.41999816894531,72.41999816894531,1988900.0
2008-01-25,72.05999755859375,70.30000305175781,69.4800033569336,74.93000030517578,1412000.0
2008-01-28,70.36000061035156,72.80999755859375,69.33000183105469,72.80999755859375,948600.0
2008-01-29,73.16000366210938,70.38999938964844,70.25,73.56999969482422,1097600.0
2008-01-30,69.94000244140625,70.37999725341797,69.75,72.58999633789062,776700.0
2008-01-31,69.72000122070312,73.8499984741211,69.72000122070312,74.75,1343500.0
2008-02-01,73.86000061035156,77.77999877929688,73.02999877929688,77.77999877929688,1070400.0
2008-02-04,77.77999877929688,77.5199966430664,76.05000305175781,78.2300033569336,822900.0
2008-02-05,76.48999786376953,74.83999633789062,74.83999633789062,77.55999755859375,1268000.0
2008-02-06,74.83999633789062,72.47000122070312,72.41000366210938,74.83999633789062,922100.0
2008-02-07,72.37000274658203,74.80999755859375,71.11000061035156,75.16999816894531,1045000.0
2008-02-08,74.5,73.02999877929688,72.0199966430664,74.91999816894531,696000.0
2008-02-11,73.06999969482422,70.19999694824219,69.81999969482422,73.20999908447266,1239300.0
2008-02-12,70.55000305175781,72.31999969482422,70.11000061035156,72.37000274658203,648800.0
2008-02-13,72.98999786376953,72.83999633789062,70.87999725341797,73.9000015258789,822200.0
2008-02-14,72.33000183105469,72.0999984741211,71.44999694824219,72.95999908447266,657700.0
2008-02-15,71.73999786376953,72.48999786376953,70.88999938964844,72.48999786376953,571700.0
2008-02-19,73.19999694824219,71.94999694824219,71.51000213623047,73.86000061035156,766000.0
2008-02-20,71.33999633789062,73.93000030517578,70.9800033569336,73.93000030517578,772800.0
2008-02-21,74.13999938964844,72.44000244140625,72.4000015258789,74.4000015258789,907000.0
2008-02-22,72.30999755859375,73.55000305175781,71.30000305175781,73.55000305175781,672200.0
2008-02-25,73.52999877929688,75.06999969482422,72.33000183105469,75.06999969482422,671900.0
2008-02-26,74.6500015258789,75.0199966430664,73.98999786376953,76.0,628300.0
