Date,xspyopen,xspyclose,xspylow,xspyhigh,xspyvolume
2008-01-02,5.0,5.0,5.0,5.0,0
2008-01-03,4.880000114440918,4.519999980926514,4.46999979019165,4.880000114440918,1000
2008-01-04,4.300000190734863,4.190000057220459,4.099999904632568,4.300000190734863,7300
2008-01-07,4.110000133514404,4.099999904632568,4.099999904632568,4.119999885559082,3100
2008-01-08,4.110000133514404,4.53000020980835,4.110000133514404,4.739999771118164,1500
2008-01-09,4.769999980926514,4.739999771118164,4.46999979019165,4.789999961853027,5200
2008-01-10,4.71999979019165,4.489999771118164,4.099999904632568,4.739999771118164,4200
2008-01-11,4.699999809265137,4.699999809265137,4.510000228881836,4.699999809265137,5500
2008-01-14,4.800000190734863,4.800000190734863,4.800000190734863,4.800000190734863,200
2008-01-15,4.800000190734863,4.800000190734863,4.800000190734863,4.800000190734863,0
2008-01-16,4.159999847412109,4.099999904632568,4.099999904632568,4.550000190734863,4200
2008-01-17,4.199999809265137,4.480000019073486,4.130000114440918,4.619999885559082,5200
2008-01-18,4.409999847412109,4.75,4.400000095367432,4.889999866485596,1600
2008-01-22,4.25,4.699999809265137,4.25,4.699999809265137,1900
2008-01-23,4.699999809265137,4.699999809265137,4.699999809265137,4.699999809265137,0
2008-01-24,4.840000152587891,4.840000152587891,4.21999979019165,4.840000152587891,400
2008-01-25,4.840000152587891,4.840000152587891,4.840000152587891,4.840000152587891,0
2008-01-28,4.340000152587891,4.590000152587891,4.099999904632568,4.590000152587891,13300
2008-01-29,4.5,4.639999866485596,4.5,4.639999866485596,1000
2008-01-30,4.679999828338623,4.449999809265137,4.449999809265137,4.679999828338623,2400
2008-01-31,4.170000076293945,4.489999771118164,4.170000076293945,4.489999771118164,400
2008-02-01,4.099999904632568,4.389999866485596,3.75,4.5,7300
2008-02-04,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0
2008-02-05,4.059999942779541,4.360000133514404,4.0,4.389999866485596,1700
2008-02-06,4.010000228881836,4.389999866485596,4.010000228881836,4.389999866485596,2300
2008-02-07,4.289999961853027,4.389999866485596,4.289999961853027,4.389999866485596,400
2008-02-08,3.809999942779541,3.8399999141693115,3.809999942779541,4.360000133514404,9400
2008-02-11,4.059999942779541,3.990000009536743,3.990000009536743,4.059999942779541,900
2008-02-12,4.050000190734863,4.110000133514404,3.8499999046325684,4.21999979019165,3100
2008-02-13,4.349999904632568,4.349999904632568,4.349999904632568,4.349999904632568,200
2008-02-14,4.070000171661377,4.380000114440918,4.039999961853027,4.380000114440918,2500
2008-02-15,3.9700000286102295,4.320000171661377,3.9700000286102295,4.320000171661377,800
2008-02-19,4.320000171661377,4.320000171661377,4.320000171661377,4.320000171661377,0
2008-02-20,4.0,4.190000057220459,3.880000114440918,4.190000057220459,1600
2008-02-21,3.9700000286102295,4.329999923706055,3.9700000286102295,4.340000152587891,1300
2008-02-22,4.329999923706055,4.329999923706055,4.329999923706055,4.329999923706055,0
2008-02-25,4.329999923706055,4.329999923706055,4.329999923706055,4.329999923706055,0
2008-02-26,4.329999923706055,4.329999923706055,4.329999923706055,4.329999923706055,0
2008-02-27,3.75,4.0,3.75,4.0,1800
2008-02-28,3.759999990463257,3.9700000286102295,3.759999990463257,3.990000009536743,500
2008-02-29,4.329999923706055,4.329999923706055,4.329999923706055,4.329999923706055,200
2008-03-03,4.289999961853027,4.289999961853027,4.289999961853027,4.289999961853027,200
2008-03-04,4.289999961853027,4.289999961853027,4.289999961853027,4.289999961853027,0
2008-03-05,3.7799999713897705,4.239999771118164,3.7799999713897705,4.289999961853027,700
2008-03-06,3.8499999046325684,4.289999961853027,3.819999933242798,4.289999961853027,1200
2008-03-07,4.0,4.070000171661377,3.759999990463257,4.130000114440918,10200
2008-03-10,4.070000171661377,4.070000171661377,4.070000171661377,4.070000171661377,0
2008-03-11,3.759999990463257,3.759999990463257,3.759999990463257,3.759999990463257,100
2008-03-12,3.759999990463257,4.179999828338623,3.759999990463257,4.179999828338623,600
2008-03-13,4.269999980926514,4.25,4.199999809265137,4.300000190734863,1500
2008-03-14,4.25,4.25,4.25,4.25,0
2008-03-17,4.25,4.25,4.25,4.25,0
2008-03-18,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,1100
2008-03-19,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,0
2008-03-20,4.25,4.289999961853027,4.25,4.289999961853027,400
2008-03-24,3.809999942779541,4.25,3.799999952316284,4.25,3800
2008-03-25,4.159999847412109,4.5,3.8299999237060547,4.5,500
2008-03-26,4.25,4.25,4.25,4.25,300
2008-03-27,4.0,4.429999828338623,3.7799999713897705,4.489999771118164,3500
2008-03-28,4.429999828338623,4.429999828338623,4.429999828338623,4.429999828338623,0
2008-03-31,3.759999990463257,4.420000076293945,3.759999990463257,4.420000076293945,400
2008-04-01,4.420000076293945,4.360000133514404,3.880000114440918,4.46999979019165,1700
2008-04-02,4.429999828338623,4.429999828338623,4.429999828338623,4.429999828338623,400
2008-04-03,4.429999828338623,4.429999828338623,4.429999828338623,4.429999828338623,0
