Date,jnjopen,jnjclose,jnjlow,jnjhigh,jnjvolume
2008-01-02,66.55999755859375,65.91000366210938,65.72000122070312,67.0,11970500.0
2008-01-03,65.75,65.93000030517578,65.36000061035156,66.4000015258789,9277600.0
2008-01-04,65.72000122070312,65.83999633789062,65.72000122070312,66.4000015258789,12714800.0
2008-01-07,65.76000213623047,66.86000061035156,65.75,67.20999908447266,12352700.0
2008-01-08,67.05000305175781,66.94000244140625,66.5999984741211,67.75,13478500.0
2008-01-09,66.98999786376953,67.80000305175781,66.98999786376953,68.29000091552734,19489900.0
2008-01-10,67.43000030517578,67.91000366210938,67.3499984741211,68.2300033569336,13043400.0
2008-01-11,67.33999633789062,67.87999725341797,67.33999633789062,68.02999877929688,15541800.0
2008-01-14,68.29000091552734,67.94999694824219,67.30999755859375,68.29000091552734,11661600.0
2008-01-15,67.69999694824219,67.76000213623047,67.44999694824219,68.16999816894531,11545300.0
2008-01-16,67.33000183105469,68.30999755859375,67.33000183105469,68.8499984741211,18310300.0
2008-01-17,68.37000274658203,67.83000183105469,66.0,68.55999755859375,18336600.0
2008-01-18,68.16000366210938,66.29000091552734,66.01000213623047,68.16000366210938,22716600.0
2008-01-22,64.66999816894531,65.2699966430664,64.5,66.75,29488900.0
2008-01-23,65.0,64.19999694824219,62.130001068115234,65.56999969482422,22843600.0
2008-01-24,64.54000091552734,63.5099983215332,63.34000015258789,64.54000091552734,18084400.0
2008-01-25,63.540000915527344,62.459999084472656,62.34000015258789,63.9900016784668,23938400.0
2008-01-28,62.65999984741211,63.06999969482422,62.5,63.130001068115234,10182000.0
2008-01-29,63.34000015258789,62.970001220703125,62.83000183105469,63.38999938964844,10074000.0
2008-01-30,62.970001220703125,62.18000030517578,62.0,63.0,13653300.0
2008-01-31,61.86000061035156,63.13999938964844,61.720001220703125,63.38999938964844,21274200.0
2008-02-01,63.349998474121094,63.36000061035156,62.75,63.59000015258789,11780400.0
2008-02-04,63.380001068115234,63.470001220703125,63.0,63.709999084472656,7976200.0
2008-02-05,63.720001220703125,62.869998931884766,62.79999923706055,63.75,11320400.0
2008-02-06,63.18000030517578,63.04999923706055,62.779998779296875,63.369998931884766,9556900.0
2008-02-07,62.810001373291016,62.810001373291016,62.5,63.18000030517578,13693300.0
2008-02-08,62.849998474121094,62.029998779296875,61.939998626708984,63.189998626708984,13338800.0
2008-02-11,62.130001068115234,61.880001068115234,61.36000061035156,62.13999938964844,11133400.0
2008-02-12,62.13999938964844,62.970001220703125,62.0099983215332,63.150001525878906,11421300.0
2008-02-13,62.59000015258789,63.40999984741211,62.59000015258789,63.75,11190600.0
2008-02-14,63.29999923706055,62.790000915527344,62.619998931884766,63.630001068115234,10864100.0
2008-02-15,62.66999816894531,62.900001525878906,62.45000076293945,63.099998474121094,11916000.0
2008-02-19,63.25,63.65999984741211,63.04999923706055,63.83000183105469,10392600.0
2008-02-20,63.65999984741211,63.22999954223633,63.11000061035156,63.709999084472656,13772900.0
2008-02-21,63.380001068115234,62.97999954223633,62.75,63.56999969482422,11085000.0
2008-02-22,62.7599983215332,63.18000030517578,62.5,63.279998779296875,10142300.0
2008-02-25,63.34000015258789,63.849998474121094,63.209999084472656,63.939998626708984,9979000.0
2008-02-26,63.66999816894531,63.720001220703125,63.400001525878906,64.06999969482422,9219200.0
2008-02-27,63.209999084472656,63.040000915527344,62.959999084472656,63.849998474121094,9569700.0
2008-02-28,63.099998474121094,62.709999084472656,62.5,63.4900016784668,8545200.0
2008-02-29,62.70000076293945,61.959999084472656,61.880001068115234,62.75,12028300.0
2008-03-03,62.0,62.22999954223633,61.619998931884766,62.29999923706055,8841200.0
2008-03-04,62.099998474121094,62.63999938964844,62.0099983215332,62.79999923706055,14347700.0
2008-03-05,62.7599983215332,63.130001068115234,62.63999938964844,63.279998779296875,13654600.0
2008-03-06,62.95000076293945,62.630001068115234,62.5099983215332,63.29999923706055,12137700.0
2008-03-07,62.060001373291016,61.5099983215332,61.400001525878906,62.41999816894531,14935800.0
2008-03-10,61.689998626708984,61.33000183105469,61.16999816894531,61.7400016784668,14229400.0
2008-03-11,61.7599983215332,62.439998626708984,61.4900016784668,62.529998779296875,13635600.0
2008-03-12,62.45000076293945,62.54999923706055,62.13999938964844,63.130001068115234,13132300.0
2008-03-13,62.52000045776367,62.810001373291016,61.65999984741211,63.439998626708984,15810500.0
2008-03-14,63.369998931884766,62.650001525878906,62.25,63.369998931884766,20835000.0
2008-03-17,61.63999938964844,64.04000091552734,61.63999938964844,64.29000091552734,21927300.0
2008-03-18,64.73999786376953,65.30999755859375,64.43000030517578,65.30999755859375,15062200.0
2008-03-19,65.38999938964844,64.87999725341797,64.81999969482422,65.80999755859375,15845800.0
2008-03-20,64.97000122070312,65.37999725341797,64.88999938964844,65.5,16276300.0
2008-03-24,65.16000366210938,64.88999938964844,64.63999938964844,65.54000091552734,9887900.0
2008-03-25,64.93000030517578,64.55000305175781,64.3499984741211,65.13999938964844,9511900.0
2008-03-26,64.20999908447266,64.69999694824219,64.20999908447266,64.8499984741211,11354700.0
2008-03-27,64.81999969482422,64.62000274658203,64.5199966430664,65.25,10772200.0
2008-03-28,64.83999633789062,64.18000030517578,64.05999755859375,65.0,8755200.0
2008-03-31,64.29000091552734,64.87000274658203,63.720001220703125,65.01000213623047,13668500.0
2008-04-01,65.12999725341797,65.87000274658203,64.51000213623047,65.91999816894531,11204700.0
2008-04-02,65.8499984741211,65.30999755859375,65.1500015258789,65.97000122070312,9791500.0
