Date,crmopen,crmclose,crmlow,crmhigh,crmvolume
2008-01-02,15.762499809265137,15.069999694824219,14.967499732971191,15.887499809265137,4980000.0
2008-01-03,15.0,15.244999885559082,15.0,15.457500457763672,3689200.0
2008-01-04,15.0024995803833,14.71500015258789,14.520000457763672,15.15250015258789,6438000.0
2008-01-07,14.479999542236328,14.4399995803833,13.71500015258789,14.505000114440918,13106800.0
2008-01-08,14.4399995803833,13.675000190734863,13.6274995803833,14.822500228881836,6574000.0
2008-01-09,13.604999542236328,13.582500457763672,13.055000305175781,13.8125,9061600.0
2008-01-10,13.494999885559082,13.895000457763672,13.272500038146973,14.087499618530273,8768000.0
2008-01-11,13.890000343322754,13.617500305175781,13.492500305175781,14.272500038146973,6540000.0
2008-01-14,13.817500114440918,13.912500381469727,13.449999809265137,13.954999923706055,4768400.0
2008-01-15,13.595000267028809,13.552499771118164,13.522500038146973,13.792499542236328,5776800.0
2008-01-16,13.432499885559082,13.587499618530273,13.077500343322754,13.774999618530273,5812800.0
2008-01-17,13.744999885559082,13.380000114440918,13.295000076293945,13.904999732971191,9381600.0
2008-01-18,13.617500305175781,12.960000038146973,12.7475004196167,13.617500305175781,11254000.0
2008-01-22,12.182499885559082,13.069999694824219,12.039999961853027,13.25,8191600.0
2008-01-23,12.5649995803833,13.8149995803833,12.399999618530273,13.857500076293945,9315200.0
2008-01-24,13.832500457763672,14.112500190734863,13.494999885559082,14.1850004196167,6432400.0
2008-01-25,14.042499542236328,13.234999656677246,13.087499618530273,14.397500038146973,7706400.0
2008-01-28,12.824999809265137,13.385000228881836,12.824999809265137,13.425000190734863,4459200.0
2008-01-29,13.350000381469727,13.007499694824219,12.84749984741211,13.522500038146973,4907600.0
2008-01-30,12.864999771118164,12.59000015258789,12.574999809265137,13.112500190734863,5839600.0
2008-01-31,12.425000190734863,12.977499961853027,12.197500228881836,13.322500228881836,12019600.0
2008-02-01,13.125,12.930000305175781,12.772500038146973,13.47249984741211,8316000.0
2008-02-04,12.927499771118164,12.942500114440918,12.577500343322754,13.172499656677246,5088000.0
2008-02-05,12.795000076293945,13.194999694824219,12.569999694824219,13.449999809265137,8284800.0
2008-02-06,13.305000305175781,11.970000267028809,11.887499809265137,13.305000305175781,10376400.0
2008-02-07,11.765000343322754,12.710000038146973,11.765000343322754,12.984999656677246,10952800.0
2008-02-08,12.75,12.717499732971191,12.577500343322754,12.949999809265137,4149600.0
2008-02-11,13.265000343322754,13.699999809265137,13.265000343322754,13.984999656677246,15560400.0
2008-02-12,13.8100004196167,13.612500190734863,13.467499732971191,13.845000267028809,5378800.0
2008-02-13,13.835000038146973,13.982500076293945,13.75,14.1225004196167,5797600.0
2008-02-14,14.015000343322754,13.78499984741211,13.75,14.125,4885200.0
2008-02-15,13.734999656677246,13.460000038146973,13.274999618530273,13.792499542236328,4433200.0
2008-02-19,13.6875,12.867500305175781,12.819999694824219,13.6875,6544000.0
2008-02-20,12.782500267028809,13.282500267028809,12.75,13.350000381469727,3386000.0
2008-02-21,13.369999885559082,13.380000114440918,13.1274995803833,13.545000076293945,4098400.0
2008-02-22,13.494999885559082,13.085000038146973,12.892499923706055,13.494999885559082,5120000.0
2008-02-25,13.074999809265137,13.602499961853027,13.074999809265137,13.712499618530273,5298400.0
2008-02-26,13.399999618530273,13.1899995803833,13.1899995803833,13.585000038146973,5182400.0
2008-02-27,13.1225004196167,13.154999732971191,12.595000267028809,13.4975004196167,12299200.0
2008-02-28,14.555000305175781,15.414999961853027,14.385000228881836,15.867500305175781,35617200.0
2008-02-29,15.172499656677246,14.930000305175781,14.800000190734863,15.447500228881836,10393200.0
2008-03-03,14.9975004196167,14.692500114440918,14.542499542236328,15.175000190734863,8893600.0
2008-03-04,14.672499656677246,14.470000267028809,14.279999732971191,14.7475004196167,8353600.0
2008-03-05,14.557499885559082,14.7524995803833,14.417499542236328,14.887499809265137,11409600.0
2008-03-06,14.697500228881836,14.4350004196167,14.359999656677246,14.75,6342800.0
2008-03-07,14.182499885559082,14.164999961853027,13.90999984741211,14.577500343322754,7043200.0
2008-03-10,14.289999961853027,14.020000457763672,13.842499732971191,14.447500228881836,4948800.0
2008-03-11,14.270000457763672,14.612500190734863,13.982500076293945,14.667499542236328,7974800.0
2008-03-12,14.647500038146973,14.552499771118164,14.40999984741211,15.055000305175781,9142400.0
2008-03-13,14.300000190734863,14.727499961853027,14.055000305175781,14.899999618530273,7772400.0
2008-03-14,14.899999618530273,14.462499618530273,14.307499885559082,15.0,7786400.0
2008-03-17,14.0,13.8774995803833,13.545000076293945,14.292499542236328,10104800.0
2008-03-18,14.1875,14.65250015258789,14.1875,14.725000381469727,7215200.0
2008-03-19,14.595000267028809,14.15250015258789,14.15250015258789,14.75,5293200.0
2008-03-20,14.15250015258789,13.957500457763672,13.710000038146973,14.242500305175781,9169600.0
2008-03-24,13.975000381469727,14.90999984741211,13.975000381469727,15.0,6342800.0
2008-03-25,14.819999694824219,15.239999771118164,14.819999694824219,15.395000457763672,4518000.0
2008-03-26,15.147500038146973,14.8100004196167,14.694999694824219,15.475000381469727,4721200.0
2008-03-27,14.9350004196167,14.157500267028809,14.074999809265137,14.9350004196167,6310800.0
2008-03-28,14.199999809265137,14.212499618530273,14.149999618530273,14.637499809265137,4163600.0
2008-03-31,14.017499923706055,14.467499732971191,13.885000228881836,14.555000305175781,5601200.0
2008-04-01,14.625,15.305000305175781,14.619999885559082,15.414999961853027,7598400.0
2008-04-02,15.375,15.574999809265137,15.300000190734863,16.522499084472656,11778800.0
