Date,oxyopen,oxyclose,oxylow,oxyhigh,oxyvolume
2014-03-12,91.83976745605469,92.34754180908203,91.54277038574219,92.43376922607422,3178000.0
2014-03-13,92.65412139892578,91.79186248779297,91.52360534667969,92.85531616210938,2736700.0
2014-03-14,91.39906311035156,92.47209167480469,91.29367065429688,92.51998901367188,3080500.0
2014-03-17,92.5870590209961,92.78824615478516,92.33795928955078,92.93196105957031,2553500.0
2014-03-18,93.03734588623047,93.1810531616211,92.51998901367188,93.73673248291016,3019700.0
2014-03-19,93.17147064208984,91.14996337890625,90.56554412841797,93.2960205078125,4797700.0
2014-03-20,90.76673889160156,89.03264617919922,87.37519836425781,90.77632141113281,11349900.0
2014-03-21,89.45419311523438,90.12483978271484,88.8218765258789,91.05416107177734,11467500.0
2014-03-24,90.4314193725586,89.9332275390625,89.35839080810547,90.6421890258789,4578000.0
2014-03-25,90.58470916748047,90.68051147460938,90.20148468017578,91.140380859375,4532000.0
2014-03-26,90.8433837890625,89.6170654296875,89.46377563476562,90.96793365478516,5498800.0
2014-03-27,89.6170654296875,90.67093658447266,89.14761352539062,90.85296630859375,4563400.0
2014-03-28,91.06373596191406,91.54277038574219,90.3451919555664,91.58109283447266,4450500.0
2014-03-31,91.99305725097656,91.29367065429688,91.0445785522461,92.02179718017578,4050700.0
2014-04-01,91.38948059082031,90.92002868652344,90.6421890258789,91.39906311035156,4604000.0
2014-04-02,90.6421890258789,91.99305725097656,90.42183685302734,92.26131439208984,6867700.0
2014-04-03,92.40502166748047,92.46250915527344,92.00263977050781,92.60621643066406,3724300.0
2014-04-04,92.8840560913086,90.58470916748047,90.39309692382812,92.91279602050781,5862200.0
2014-04-07,90.7475814819336,89.66497039794922,89.63622283935547,90.83380126953125,4641700.0
2014-04-08,89.88532257080078,90.96793365478516,89.35839080810547,91.0254135131836,3443700.0
2014-04-09,91.39906311035156,91.94515228271484,90.8433837890625,92.00263977050781,3247500.0
2014-04-10,91.772705078125,90.47932434082031,90.39309692382812,92.34754180908203,4330300.0
2014-04-11,90.14399719238281,89.4158706665039,89.4158706665039,91.09248352050781,5336100.0
2014-04-14,90.07693481445312,90.36434936523438,89.39671325683594,90.80506134033203,3071100.0
2014-04-15,90.39309692382812,90.92002868652344,89.80867767333984,91.17870330810547,4191400.0
2014-04-16,91.6385726928711,91.79186248779297,91.140380859375,91.94515228271484,3976900.0
2014-04-17,91.40863800048828,92.54873657226562,91.39906311035156,92.72118377685547,4810900.0
2014-04-21,92.67327880859375,93.36308288574219,92.54873657226562,93.4109878540039,2848200.0
2014-04-22,93.13314819335938,92.8648910522461,92.72118377685547,93.58344268798828,3436500.0
2014-04-23,92.61579895019531,92.71160125732422,92.54873657226562,93.42057037353516,3117300.0
2014-04-24,92.9990234375,93.06608581542969,92.21340942382812,93.2960205078125,2057900.0
2014-04-25,93.06608581542969,92.32837677001953,92.24215698242188,93.10440826416016,2560400.0
2014-04-28,92.72118377685547,92.62538146972656,92.11760711669922,93.15231323242188,4409900.0
2014-04-29,93.17147064208984,92.80741119384766,92.74992370605469,94.0912094116211,3415400.0
2014-04-30,92.67327880859375,91.73438262939453,91.46612548828125,92.67327880859375,2934100.0
2014-05-01,91.72480010986328,91.00625610351562,90.94876861572266,91.78228759765625,3276200.0
2014-05-02,90.90087127685547,90.47932434082031,90.44100189208984,91.17870330810547,3680600.0
2014-05-05,90.85296630859375,90.7284164428711,89.86615753173828,91.37989807128906,5898600.0
2014-05-06,90.82422637939453,91.81102752685547,90.54638671875,92.11760711669922,4859700.0
2014-05-07,92.17508697509766,92.19425201416016,91.38948059082031,92.34754180908203,3534500.0
2014-05-08,92.33795928955078,91.19786834716797,91.07331848144531,92.45292663574219,2787000.0
2014-05-09,91.80144500732422,92.07928466796875,91.3607406616211,92.30921936035156,3852200.0
2014-05-12,92.45292663574219,92.37628173828125,92.10802459716797,92.67327880859375,3709600.0
2014-05-13,92.69244384765625,93.4301528930664,92.42418670654297,94.00498962402344,3719900.0
2014-05-14,92.95111846923828,93.2960205078125,92.78824615478516,93.43972778320312,2650700.0
2014-05-15,92.9990234375,92.98944091796875,92.07928466796875,93.19063568115234,3673400.0
2014-05-16,93.03734588623047,91.67689514160156,91.32241821289062,93.03734588623047,4115000.0
2014-05-19,91.69606018066406,91.91641235351562,91.66732025146484,92.30921936035156,2764800.0
2014-05-20,91.78228759765625,91.45654296875,91.37989807128906,92.23257446289062,3237900.0
2014-05-21,91.60983276367188,93.4972152709961,91.49486541748047,93.73673248291016,4194200.0
2014-05-22,93.50679779052734,93.15231323242188,92.93196105957031,93.91876220703125,2858300.0
2014-05-23,93.4109878540039,92.90321350097656,92.84573364257812,93.593017578125,2693800.0
2014-05-27,92.9990234375,93.36308288574219,92.36669921875,93.4780502319336,3450600.0
2014-05-28,93.52595520019531,94.89598083496094,93.26728057861328,95.09717559814453,5959900.0
2014-05-29,94.99179077148438,95.64327239990234,94.76185607910156,95.69117736816406,5137700.0
2014-05-30,95.23130798339844,95.50914001464844,94.86724090576172,95.5666275024414,4501200.0
2014-06-02,95.60494995117188,95.57621002197266,95.23130798339844,96.25643157958984,3365700.0
2014-06-03,95.60494995117188,96.03607940673828,95.32711029052734,96.31391143798828,3140500.0
2014-06-04,95.64327239990234,95.95943450927734,95.38459777832031,96.12229919433594,3224000.0
2014-06-05,96.4767837524414,96.66839599609375,95.47081756591797,96.73545837402344,4854700.0
2014-06-06,96.34265899658203,96.17020416259766,95.82530212402344,96.63965606689453,3995500.0
2014-06-09,95.97859191894531,95.98817443847656,95.75823974609375,96.62049102783203,2524600.0
2014-06-10,95.80614471435547,95.78697967529297,95.49956512451172,96.0648193359375,2856000.0
2014-06-11,95.49956512451172,95.70075225830078,95.48998260498047,95.9306869506836,3165800.0
2014-06-12,96.1797866821289,97.00371551513672,96.08397674560547,97.3869400024414,5237700.0
2014-06-13,97.37736511230469,98.90068054199219,97.18575286865234,98.91983795166016,4535100.0
2014-06-16,99.0156478881836,99.0156478881836,98.70906829833984,99.44677734375,4445200.0
2014-06-17,98.41207122802734,98.43122863769531,97.7701644897461,98.57493591308594,3498000.0
2014-06-18,98.3354263305664,98.91983795166016,97.7031021118164,99.03480529785156,2908100.0
2014-06-19,99.00606536865234,99.0156478881836,98.66116333007812,99.29348754882812,3295800.0
2014-06-20,99.2455825805664,99.63838958740234,98.89109802246094,99.77251434326172,7623500.0
2014-06-23,99.78209686279297,100.77848052978516,99.77251434326172,101.20960998535156,5215000.0
2014-06-24,100.95093536376953,97.19532775878906,96.88874816894531,100.96051025390625,5784600.0
2014-06-25,97.20491027832031,98.3162612915039,97.07078552246094,98.45996856689453,4941400.0
2014-06-26,98.52703857421875,98.3354263305664,97.04203796386719,98.52703857421875,2658100.0
