Date,adpopen,adpclose,adplow,adphigh,adpvolume
2008-01-02,39.069358825683594,37.9455680847168,37.86655044555664,39.209835052490234,3027500.0
2008-01-03,38.13871765136719,37.66461944580078,37.383670806884766,38.13871765136719,3036000.0
2008-01-04,37.27831268310547,35.99648666381836,35.7945556640625,37.32221221923828,4917500.0
2008-01-07,36.15452194213867,36.77787399291992,35.961368560791016,37.041263580322266,3653000.0
2008-01-08,37.03248596191406,36.44424819946289,36.33011245727539,37.12028121948242,3741600.0
2008-01-09,36.391571044921875,36.505706787109375,36.12818145751953,36.76031494140625,2966100.0
2008-01-10,36.163299560546875,36.725196838378906,36.11062240600586,36.98858642578125,3519300.0
2008-01-11,36.46180725097656,36.06672668457031,35.82089614868164,36.496925354003906,3340900.0
2008-01-14,36.286216735839844,35.29411697387695,35.16242218017578,36.286216735839844,3879800.0
2008-01-15,35.03950881958008,35.206321716308594,35.03950881958008,35.61018371582031,2909100.0
2008-01-16,35.118526458740234,34.98683166503906,34.82879638671875,35.434593200683594,4017200.0
2008-01-17,34.995609283447266,34.53907012939453,34.468833923339844,35.23265838623047,3682600.0
2008-01-18,34.70588302612305,34.72344207763672,34.354698181152344,35.2150993347168,4256600.0
2008-01-22,33.37137985229492,34.29323959350586,33.37137985229492,34.61808776855469,6510400.0
2008-01-23,33.36259841918945,34.661983489990234,33.14310836791992,34.6707649230957,6180100.0
2008-01-24,34.6707649230957,34.029850006103516,33.70500564575195,34.6707649230957,3936100.0
2008-01-25,34.31079864501953,34.02107238769531,33.87181854248047,34.4424934387207,3458100.0
2008-01-28,34.13520812988281,34.688323974609375,33.924495697021484,34.70588302612305,3505300.0
2008-01-29,34.83757781982422,34.69710159301758,34.51272964477539,34.890254974365234,2370700.0
2008-01-30,34.75856018066406,34.63564682006836,34.47761154174805,35.118526458740234,2542400.0
2008-01-31,34.40737533569336,35.627742767333984,34.06496810913086,35.8999137878418,5395300.0
2008-02-01,35.72431945800781,35.092185974121094,34.29323959350586,35.72431945800781,5503100.0
2008-02-04,34.98683166503906,34.890254974365234,34.76734161376953,35.118526458740234,2350500.0
2008-02-05,34.345916748046875,33.915714263916016,33.84547805786133,34.50395202636719,4470000.0
2008-02-06,34.152767181396484,33.2835807800293,33.23090362548828,34.152767181396484,3683600.0
2008-02-07,33.151885986328125,33.52941131591797,33.13432693481445,33.73134231567383,4377600.0
2008-02-08,33.41527557373047,33.274803161621094,33.151885986328125,33.44161605834961,2693600.0
2008-02-11,33.19578552246094,33.75768280029297,33.19578552246094,33.924495697021484,2638100.0
2008-02-12,33.898155212402344,34.51272964477539,33.898155212402344,34.73221969604492,3714300.0
