Date,maopen,maclose,malow,mahigh,mavolume
2008-01-02,21.790000915527344,21.468000411987305,21.260000228881836,22.02899932861328,20156000.0
2008-01-03,21.45599937438965,21.211999893188477,20.51300048828125,21.5049991607666,28994000.0
2008-01-04,20.48200035095215,20.118999481201172,19.8439998626709,20.920000076293945,38427000.0
2008-01-07,20.17099952697754,20.051000595092773,18.743999481201172,20.198999404907227,43861000.0
2008-01-08,20.090999603271484,19.799999237060547,19.599000930786133,20.770000457763672,33315000.0
2008-01-09,19.700000762939453,19.658000946044922,18.96500015258789,20.020999908447266,38939000.0
2008-01-10,19.08799934387207,19.599000930786133,18.511999130249023,19.8799991607666,49088000.0
2008-01-11,18.950000762939453,17.91699981689453,17.625,18.951000213623047,114625000.0
2008-01-14,18.05500030517578,17.82200050354004,17.354000091552734,18.190000534057617,61119000.0
2008-01-15,17.375,17.5,17.253999710083008,18.145999908447266,48097000.0
2008-01-16,17.31999969482422,17.55299949645996,16.961000442504883,17.98699951171875,46756000.0
2008-01-17,17.42799949645996,17.687999725341797,17.42799949645996,17.9689998626709,43309000.0
2008-01-18,17.857999801635742,17.461999893188477,17.33799934387207,17.975000381469727,38220000.0
2008-01-22,16.400999069213867,18.216999053955078,16.082000732421875,18.492000579833984,52866000.0
2008-01-23,17.8799991607666,19.259000778198242,17.042999267578125,19.527000427246094,59780000.0
2008-01-24,19.405000686645508,19.17799949645996,18.493000030517578,19.409000396728516,31668000.0
2008-01-25,19.35099983215332,19.343000411987305,18.750999450683594,19.600000381469727,31981000.0
2008-01-28,19.040000915527344,18.899999618530273,18.429000854492188,19.381999969482422,33537000.0
2008-01-29,18.900999069213867,19.145999908447266,18.450000762939453,19.243000030517578,33954000.0
2008-01-30,19.0049991607666,18.899999618530273,18.799999237060547,19.770999908447266,37193000.0
2008-01-31,20.601999282836914,20.700000762939453,19.959999084472656,21.844999313354492,110865000.0
2008-02-01,21.066999435424805,21.54199981689453,20.965999603271484,21.735000610351562,45387000.0
2008-02-04,21.5,21.600000381469727,21.430999755859375,22.225000381469727,35336000.0
2008-02-05,21.375999450683594,20.67799949645996,20.58799934387207,21.599000930786133,39437000.0
2008-02-06,20.799999237060547,20.4950008392334,19.885000228881836,20.799999237060547,49293000.0
2008-02-07,20.201000213623047,20.08799934387207,19.516000747680664,20.510000228881836,38501000.0
2008-02-08,20.299999237060547,20.56100082397461,19.96299934387207,20.659000396728516,29215000.0
2008-02-11,20.70800018310547,20.611000061035156,20.275999069213867,20.993000030517578,22626000.0
2008-02-12,20.878999710083008,20.399999618530273,20.200000762939453,21.45800018310547,29338000.0
2008-02-13,20.639999389648438,20.47599983215332,20.27199935913086,20.702999114990234,21069000.0
2008-02-14,20.400999069213867,20.222999572753906,19.711999893188477,20.549999237060547,26902000.0
2008-02-15,20.05900001525879,20.600000381469727,19.783000946044922,20.695999145507812,29219000.0
2008-02-19,20.801000595092773,20.420000076293945,20.141000747680664,20.94499969482422,18023000.0
2008-02-20,20.049999237060547,20.82200050354004,19.93400001525879,20.940000534057617,23530000.0
2008-02-21,20.625,20.447999954223633,20.17300033569336,21.045000076293945,22454000.0
2008-02-22,20.510000228881836,20.347999572753906,19.799999237060547,20.547000885009766,49754000.0
2008-02-25,20.135000228881836,19.844999313354492,18.983999252319336,20.200000762939453,71620000.0
2008-02-26,19.850000381469727,19.58799934387207,19.291000366210938,20.099000930786133,30785000.0
2008-02-27,19.399999618530273,19.118999481201172,18.875,19.621999740600586,32077000.0
2008-02-28,18.924999237060547,19.469999313354492,18.725000381469727,19.71500015258789,29401000.0
2008-02-29,19.264999389648438,19.0,18.961999893188477,19.378999710083008,20681000.0
2008-03-03,18.829999923706055,18.856000900268555,18.56999969482422,19.59000015258789,28706000.0
2008-03-04,18.799999237060547,19.246999740600586,18.500999450683594,19.341999053955078,35603000.0
2008-03-05,19.274999618530273,19.100000381469727,18.98699951171875,19.479000091552734,22551000.0
2008-03-06,19.0,18.999000549316406,18.902999877929688,19.1200008392334,24381000.0
2008-03-07,18.757999420166016,19.250999450683594,18.63800048828125,19.354999542236328,46011000.0
2008-03-10,19.211999893188477,19.149999618530273,18.992000579833984,19.59600067138672,33419000.0
2008-03-11,19.489999771118164,19.583999633789062,18.357999801635742,19.698999404907227,62841000.0
2008-03-12,19.5,20.389999389648438,19.420000076293945,20.75,38828000.0
2008-03-13,19.89900016784668,20.972000122070312,19.64900016784668,21.291000366210938,56327000.0
2008-03-14,21.299999237060547,20.864999771118164,20.399999618530273,21.540000915527344,43383000.0
2008-03-17,20.190000534057617,20.152000427246094,19.30299949645996,20.674999237060547,43204000.0
2008-03-18,20.5,21.024999618530273,20.049999237060547,21.54400062561035,45757000.0
2008-03-19,21.551000595092773,20.839000701904297,20.726999282836914,22.0,94190000.0
2008-03-20,20.65999984741211,22.038000106811523,20.23699951171875,22.246000289916992,58150000.0
2008-03-24,22.229999542236328,21.649999618530273,21.475000381469727,23.03499984741211,55200000.0
2008-03-25,21.81599998474121,22.49799919128418,21.55699920654297,23.0,43698000.0
2008-03-26,22.43000030517578,22.28499984741211,22.110000610351562,22.7450008392334,19641000.0
2008-03-27,22.493000030517578,22.06999969482422,22.0049991607666,22.649999618530273,19559000.0
2008-03-28,22.2450008392334,21.760000228881836,21.549999237060547,22.26300048828125,17260000.0
2008-03-31,21.799999237060547,22.298999786376953,21.476999282836914,22.298999786376953,18218000.0
2008-04-01,22.673999786376953,22.959999084472656,22.450000762939453,23.375,39142000.0
2008-04-02,22.937000274658203,22.375,22.333999633789062,23.0,21940000.0
