Date,bgopen,bgclose,bglow,bghigh,bgvolume
2008-01-02,117.55999755859375,122.0999984741211,115.23999786376953,122.9800033569336,2022200.0
2008-01-03,124.48999786376953,124.2300033569336,120.22000122070312,125.44999694824219,2423600.0
2008-01-04,122.38999938964844,121.0,120.4000015258789,123.5,1199000.0
2008-01-07,123.45999908447266,125.91999816894531,121.0,126.93000030517578,2059900.0
2008-01-08,126.13999938964844,127.22000122070312,126.13999938964844,131.63999938964844,1911100.0
2008-01-09,127.30000305175781,128.58999633789062,124.76000213623047,131.50999450683594,2868700.0
2008-01-10,128.8800048828125,127.0999984741211,125.18000030517578,128.8800048828125,810500.0
2008-01-11,125.3499984741211,129.35000610351562,125.3499984741211,130.5,1034700.0
2008-01-14,131.36000061035156,133.0,131.0,134.25999450683594,1635900.0
2008-01-15,133.4499969482422,127.20999908447266,126.58999633789062,135.0,1601800.0
2008-01-16,125.62999725341797,118.7300033569336,118.02999877929688,126.5,2689800.0
2008-01-17,117.05000305175781,110.77999877929688,110.0,118.0,3307400.0
2008-01-18,110.51000213623047,109.12000274658203,105.31999969482422,112.69999694824219,2290300.0
2008-01-22,99.5,106.20999908447266,98.19999694824219,108.36000061035156,2432400.0
2008-01-23,105.41999816894531,105.29000091552734,101.87999725341797,106.88999938964844,2618300.0
2008-01-24,110.02999877929688,112.16000366210938,108.56999969482422,113.56999969482422,1700500.0
2008-01-25,114.7300033569336,112.88999938964844,112.19999694824219,117.87000274658203,1717000.0
2008-01-28,113.0999984741211,117.31999969482422,112.9800033569336,118.0199966430664,1782500.0
2008-01-29,118.72000122070312,115.11000061035156,114.87000274658203,119.25,1021500.0
2008-01-30,115.69999694824219,119.54000091552734,113.06999969482422,122.16999816894531,1963000.0
2008-01-31,119.11000061035156,117.02999877929688,115.5,120.56999969482422,1756600.0
2008-02-01,118.2699966430664,125.19000244140625,118.2699966430664,125.41000366210938,1770700.0
2008-02-04,125.9000015258789,122.61000061035156,122.19999694824219,125.9000015258789,1065000.0
2008-02-05,121.04000091552734,121.33999633789062,120.05000305175781,124.0,1268000.0
2008-02-06,122.9800033569336,123.58000183105469,121.05000305175781,125.37999725341797,1504200.0
2008-02-07,114.9000015258789,112.66000366210938,108.18000030517578,117.0,4901200.0
2008-02-08,111.05999755859375,109.29000091552734,108.6500015258789,113.4800033569336,1690300.0
2008-02-11,110.5199966430664,115.2699966430664,109.91000366210938,115.41999816894531,2200900.0
2008-02-12,115.2300033569336,113.58000183105469,112.7300033569336,118.62000274658203,1817200.0
2008-02-13,112.87999725341797,109.3499984741211,104.79000091552734,114.0,3853600.0
2008-02-14,109.3499984741211,108.91999816894531,108.26000213623047,112.55000305175781,1757700.0
2008-02-15,109.55000305175781,110.68000030517578,107.58999633789062,111.0,1446400.0
2008-02-19,112.30000305175781,112.43000030517578,110.80999755859375,113.9800033569336,1480700.0
2008-02-20,110.73999786376953,112.7300033569336,109.13999938964844,113.2300033569336,1043800.0
2008-02-21,114.13999938964844,111.61000061035156,110.0999984741211,115.91000366210938,1484000.0
2008-02-22,112.69999694824219,109.79000091552734,107.29000091552734,112.69999694824219,1673900.0
2008-02-25,109.19999694824219,112.30000305175781,108.73999786376953,112.5999984741211,1790600.0
2008-02-26,111.44000244140625,111.76000213623047,110.9000015258789,113.5999984741211,1613600.0
2008-02-27,111.08999633789062,110.16999816894531,108.95999908447266,111.41999816894531,2137000.0
2008-02-28,110.06999969482422,111.83000183105469,109.51000213623047,115.0,1694900.0
2008-02-29,110.44999694824219,110.83999633789062,108.80000305175781,112.69000244140625,1414800.0
2008-03-03,104.48999786376953,111.25,102.3499984741211,111.44000244140625,5599600.0
2008-03-04,110.5,109.2699966430664,107.58999633789062,114.95999908447266,2764700.0
2008-03-05,110.23999786376953,111.56999969482422,108.33000183105469,112.6500015258789,1569800.0
2008-03-06,111.9800033569336,108.23999786376953,107.77999877929688,113.0,1586500.0
2008-03-07,107.0,106.30000305175781,105.47000122070312,110.38999938964844,2456400.0
2008-03-10,105.8499984741211,96.0,94.91000366210938,106.20999908447266,4028200.0
2008-03-11,99.5,97.62999725341797,96.80000305175781,100.73999786376953,3255500.0
2008-03-12,97.94000244140625,94.94999694824219,93.38999938964844,98.73999786376953,4095600.0
2008-03-13,91.2300033569336,92.0,86.66000366210938,93.48999786376953,7765900.0
2008-03-14,93.91000366210938,94.18000030517578,91.68000030517578,95.7300033569336,3955600.0
2008-03-17,90.7699966430664,90.30000305175781,88.01000213623047,93.58000183105469,4809900.0
2008-03-18,92.62000274658203,95.48999786376953,89.51000213623047,96.12000274658203,3663300.0
2008-03-19,97.94000244140625,91.83999633789062,91.31999969482422,100.66000366210938,5086300.0
2008-03-20,90.7300033569336,89.95999908447266,85.44000244140625,92.0,5471000.0
2008-03-24,90.66000366210938,94.66000366210938,90.44000244140625,94.83999633789062,2332800.0
2008-03-25,97.9800033569336,97.05000305175781,96.4800033569336,99.0,2725300.0
2008-03-26,97.93000030517578,95.1500015258789,94.68000030517578,99.44999694824219,2520100.0
2008-03-27,93.94000244140625,93.16999816894531,91.33999633789062,96.0,2902300.0
2008-03-28,94.4000015258789,89.29000091552734,88.13999938964844,94.4000015258789,2970900.0
2008-03-31,89.0,86.87999725341797,84.79000091552734,90.45999908447266,3617000.0
2008-04-01,88.70999908447266,88.18000030517578,86.33999633789062,89.76000213623047,3961100.0
2008-04-02,88.0,87.91999816894531,87.05999755859375,89.55000305175781,2614500.0
2008-04-03,87.0199966430664,92.61000061035156,86.81999969482422,96.4000015258789,4570500.0
