Date,tmoopen,tmoclose,tmolow,tmohigh,tmovolume
2008-01-02,57.68000030517578,55.79999923706055,55.529998779296875,57.75,3289100.0
2008-01-03,56.09000015258789,57.0099983215332,55.880001068115234,57.43000030517578,2141400.0
2008-01-04,56.630001068115234,55.939998626708984,55.939998626708984,57.0,2019300.0
2008-01-07,56.16999816894531,56.91999816894531,56.09000015258789,57.0,2206800.0
2008-01-08,57.09000015258789,56.880001068115234,56.40999984741211,57.810001373291016,3195300.0
2008-01-09,56.959999084472656,55.470001220703125,54.4900016784668,57.16999816894531,4937000.0
2008-01-10,55.279998779296875,56.0099983215332,54.40999984741211,56.40999984741211,4331200.0
2008-01-11,55.380001068115234,54.9900016784668,54.900001525878906,55.86000061035156,2143000.0
2008-01-14,55.5,55.630001068115234,54.88999938964844,55.959999084472656,2071000.0
2008-01-15,55.40999984741211,54.75,54.2599983215332,55.7400016784668,3559600.0
2008-01-16,54.59000015258789,54.790000915527344,54.220001220703125,55.369998931884766,2514400.0
2008-01-17,54.79999923706055,53.790000915527344,52.5099983215332,54.869998931884766,5466700.0
2008-01-18,54.2599983215332,52.02000045776367,51.599998474121094,54.2599983215332,6419100.0
2008-01-22,48.61000061035156,50.59000015258789,46.630001068115234,51.68000030517578,11023900.0
2008-01-23,49.470001220703125,50.349998474121094,49.130001068115234,50.400001525878906,12740500.0
2008-01-24,50.56999969482422,50.060001373291016,49.779998779296875,50.720001220703125,3525400.0
2008-01-25,50.75,51.61000061035156,50.63999938964844,52.47999954223633,4919100.0
2008-01-28,51.7599983215332,51.38999938964844,50.86000061035156,51.7599983215332,2497200.0
2008-01-29,51.70000076293945,52.61000061035156,51.040000915527344,52.7400016784668,2823000.0
2008-01-30,52.150001525878906,51.060001373291016,50.959999084472656,52.2599983215332,3866900.0
2008-01-31,50.40999984741211,51.4900016784668,50.0,51.7400016784668,3672300.0
2008-02-01,51.40999984741211,52.380001068115234,50.779998779296875,52.5,3498900.0
2008-02-04,52.38999938964844,51.099998474121094,50.709999084472656,52.560001373291016,4364400.0
2008-02-05,50.68000030517578,50.2400016784668,49.369998931884766,50.7599983215332,4327400.0
2008-02-06,54.2400016784668,54.04999923706055,53.709999084472656,56.2599983215332,8935100.0
2008-02-07,53.75,55.4900016784668,53.75,56.0,4679400.0
2008-02-08,55.119998931884766,55.41999816894531,54.95000076293945,56.54999923706055,4183100.0
2008-02-11,55.5099983215332,55.90999984741211,55.119998931884766,56.209999084472656,2199800.0
2008-02-12,56.310001373291016,56.77000045776367,55.599998474121094,57.06999969482422,2545800.0
2008-02-13,57.15999984741211,57.15999984741211,56.33000183105469,57.369998931884766,2833900.0
2008-02-14,57.369998931884766,56.63999938964844,56.61000061035156,57.5,2110300.0
2008-02-15,56.58000183105469,57.220001220703125,56.08000183105469,57.34000015258789,1939800.0
2008-02-19,57.290000915527344,56.810001373291016,56.58000183105469,57.81999969482422,1907700.0
2008-02-20,56.75,57.150001525878906,56.22999954223633,57.349998474121094,1957400.0
2008-02-21,57.349998474121094,56.25,56.18000030517578,57.5,1368900.0
2008-02-22,56.5,56.16999816894531,55.34000015258789,56.599998474121094,2300400.0
2008-02-25,56.439998626708984,57.939998626708984,56.38999938964844,57.9900016784668,2354100.0
2008-02-26,57.77000045776367,57.9900016784668,57.5099983215332,58.0,1837200.0
2008-02-27,57.68000030517578,57.68000030517578,57.290000915527344,58.0099983215332,1846900.0
2008-02-28,57.29999923706055,57.029998779296875,56.439998626708984,57.52000045776367,1360800.0
2008-02-29,56.5099983215332,55.93000030517578,55.59000015258789,56.939998626708984,2529700.0
2008-03-03,55.93000030517578,55.40999984741211,55.06999969482422,56.150001525878906,2402100.0
2008-03-04,55.0099983215332,54.9900016784668,54.0,55.33000183105469,4030000.0
2008-03-05,55.25,54.849998474121094,54.400001525878906,55.86000061035156,3034800.0
2008-03-06,54.47999954223633,53.79999923706055,53.79999923706055,55.0099983215332,2280600.0
2008-03-07,53.279998779296875,53.56999969482422,53.119998931884766,54.02000045776367,3281000.0
2008-03-10,53.5099983215332,52.349998474121094,52.29999923706055,53.7400016784668,2926000.0
