Date,mamsopen,mamsclose,mamslow,mamshigh,mamsvolume
2008-01-02,3.0,3.0,3.0,3.0,0.0
2008-01-03,3.0,3.0,3.0,3.0,0.0
2008-01-04,3.0,3.0,3.0,3.0,0.0
2008-01-07,3.0,3.0,3.0,3.0,0.0
2008-01-08,3.0,3.0,3.0,3.0,0.0
2008-01-09,3.0,3.0,3.0,3.0,0.0
2008-01-10,3.0,3.0,3.0,3.0,0.0
2008-01-11,3.0,3.0,3.0,3.0,0.0
2008-01-14,3.0,3.0,3.0,3.0,0.0
2008-01-15,3.0,3.0,3.0,3.0,0.0
2008-01-16,3.0,3.0,3.0,3.0,0.0
2008-01-17,3.0,3.0,3.0,3.0,0.0
2008-01-18,3.0,3.0,3.0,3.0,0.0
2008-01-22,3.0,3.0,3.0,3.0,0.0
2008-01-23,3.0,3.0,3.0,3.0,0.0
2008-01-24,3.0,3.0,3.0,3.0,0.0
2008-01-25,3.0,3.0,3.0,3.0,0.0
2008-01-28,3.0,3.0,3.0,3.0,0.0
2008-01-29,2.7100000381469727,2.700000047683716,2.700000047683716,2.7100000381469727,600.0
2008-01-30,3.0,2.9000000953674316,2.9000000953674316,4.5,3900.0
2008-01-31,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0.0
2008-02-01,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0.0
2008-02-04,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,900.0
2008-02-05,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,0.0
2008-02-06,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,0.0
2008-02-07,2.5999999046325684,2.5999999046325684,2.5,2.5999999046325684,1100.0
2008-02-08,2.5,2.5,2.5,2.5,500.0
2008-02-11,2.5,2.5,2.5,2.5,0.0
2008-02-12,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,200.0
2008-02-13,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0.0
2008-02-14,2.5,2.5,2.5,2.5,200.0
2008-02-15,2.5,2.5,2.5,2.5,0.0
2008-02-19,2.5,2.5,2.5,2.5,500.0
2008-02-20,2.5,2.5,2.5,2.5,0.0
2008-02-21,2.5,2.5,2.5,2.5,0.0
2008-02-22,2.5,2.5,2.5,2.5,0.0
2008-02-25,2.5,2.5,2.5,2.5,0.0
2008-02-26,2.5,2.5,2.5,2.5,0.0
2008-02-27,2.5999999046325684,2.299999952316284,2.299999952316284,2.5999999046325684,200.0
2008-02-28,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-02-29,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-03-03,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-03-04,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-03-05,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-03-06,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-03-07,2.299999952316284,2.9000000953674316,2.299999952316284,2.9000000953674316,100.0
2008-03-10,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0.0
2008-03-11,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0.0
2008-03-12,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0.0
2008-03-13,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0.0
2008-03-14,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0.0
2008-03-17,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0.0
2008-03-18,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0.0
2008-03-19,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0.0
2008-03-20,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0.0
2008-03-24,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,400.0
2008-03-25,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-03-26,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-03-27,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-03-28,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-03-31,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-04-01,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-04-02,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-04-03,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-04-04,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-04-07,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-04-08,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-04-09,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-04-10,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-04-11,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-04-14,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-04-15,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
2008-04-16,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0.0
