Date,lnnopen,lnnclose,lnnlow,lnnhigh,lnnvolume
2008-01-02,71.5199966430664,67.12000274658203,66.30999755859375,71.5199966430664,503100.0
2008-01-03,67.37999725341797,70.5999984741211,67.0,71.7300033569336,410600.0
2008-01-04,69.79000091552734,67.31999969482422,66.73999786376953,69.79000091552734,334900.0
2008-01-07,67.27999877929688,66.6500015258789,65.7300033569336,68.88999938964844,455900.0
2008-01-08,66.83999633789062,66.0,65.75,69.47000122070312,348300.0
2008-01-09,65.16999816894531,66.29000091552734,63.31999969482422,66.55999755859375,359000.0
2008-01-10,65.68000030517578,68.41000366210938,64.52999877929688,69.70999908447266,292500.0
2008-01-11,67.19999694824219,68.0999984741211,66.2300033569336,70.37999725341797,293300.0
2008-01-14,69.44000244140625,73.05000305175781,68.3499984741211,73.9000015258789,293400.0
2008-01-15,71.9000015258789,71.69000244140625,71.0999984741211,73.61000061035156,238400.0
2008-01-16,71.36000061035156,67.3499984741211,66.0,72.55000305175781,276400.0
2008-01-17,67.72000122070312,59.959999084472656,59.2599983215332,67.72000122070312,619700.0
2008-01-18,61.16999816894531,58.43000030517578,56.75,62.79999923706055,481700.0
2008-01-22,57.13999938964844,62.15999984741211,55.86000061035156,63.95000076293945,418400.0
2008-01-23,60.59000015258789,60.25,52.65999984741211,60.59000015258789,829200.0
2008-01-24,60.61000061035156,61.119998931884766,58.06999969482422,62.31999969482422,400400.0
2008-01-25,62.04999923706055,60.66999816894531,60.27000045776367,66.80000305175781,401200.0
2008-01-28,60.65999984741211,59.189998626708984,57.040000915527344,61.290000915527344,413700.0
2008-01-29,59.5,60.279998779296875,57.93000030517578,60.36000061035156,251600.0
2008-01-30,59.72999954223633,60.15999984741211,59.310001373291016,63.0,291600.0
2008-01-31,59.310001373291016,61.02000045776367,57.900001525878906,61.869998931884766,319400.0
2008-02-01,61.20000076293945,65.04000091552734,60.75,65.4800033569336,287200.0
2008-02-04,65.41999816894531,66.16000366210938,63.970001220703125,66.73999786376953,210800.0
2008-02-05,64.55000305175781,62.099998474121094,61.84000015258789,65.08999633789062,197800.0
2008-02-06,62.5,58.13999938964844,57.849998474121094,63.290000915527344,265300.0
2008-02-07,57.689998626708984,58.34000015258789,56.2599983215332,58.630001068115234,231100.0
2008-02-08,58.34000015258789,57.939998626708984,56.779998779296875,59.22999954223633,169500.0
2008-02-11,59.47999954223633,60.27000045776367,58.220001220703125,60.7599983215332,314400.0
2008-02-12,61.02000045776367,62.52000045776367,60.060001373291016,63.790000915527344,207000.0
2008-02-13,63.0,69.30999755859375,63.0,69.80999755859375,428200.0
2008-02-14,68.55000305175781,67.62999725341797,66.5999984741211,69.63999938964844,242900.0
2008-02-15,67.08000183105469,66.37000274658203,65.5,67.54000091552734,188000.0
2008-02-19,68.02999877929688,69.81999969482422,67.37999725341797,70.91999816894531,246200.0
2008-02-20,69.47000122070312,70.26000213623047,67.97000122070312,70.30000305175781,234400.0
2008-02-21,70.62000274658203,69.2300033569336,68.5,71.72000122070312,227700.0
2008-02-22,69.08999633789062,68.9800033569336,66.76000213623047,69.76000213623047,147600.0
2008-02-25,68.54000091552734,70.05999755859375,67.36000061035156,70.16999816894531,239900.0
2008-02-26,70.27999877929688,74.1500015258789,70.27999877929688,75.2300033569336,493000.0
2008-02-27,73.98999786376953,74.63999938964844,72.19000244140625,75.83999633789062,320400.0
2008-02-28,74.19000244140625,80.2300033569336,73.43000030517578,80.51000213623047,540000.0
2008-02-29,77.87999725341797,78.62000274658203,77.87999725341797,81.33999633789062,471600.0
2008-03-03,79.0,77.02999877929688,75.80000305175781,81.30000305175781,442400.0
2008-03-04,76.36000061035156,76.5999984741211,74.05000305175781,77.5,334200.0
2008-03-05,77.9800033569336,77.79000091552734,74.88999938964844,78.79000091552734,295800.0
2008-03-06,77.69999694824219,75.33999633789062,74.94999694824219,78.0,319200.0
2008-03-07,75.95999908447266,70.87000274658203,70.27999877929688,75.95999908447266,402000.0
2008-03-10,70.9800033569336,66.4800033569336,66.2699966430664,70.9800033569336,364900.0
2008-03-11,66.87000274658203,70.1500015258789,64.80999755859375,70.62999725341797,686800.0
2008-03-12,69.9800033569336,69.33999633789062,69.16000366210938,70.68000030517578,408500.0
2008-03-13,68.66999816894531,73.69000244140625,66.80000305175781,74.0,444600.0
2008-03-14,73.02999877929688,71.4000015258789,69.4000015258789,74.73999786376953,521300.0
2008-03-17,69.23999786376953,69.29000091552734,65.13999938964844,71.04000091552734,429700.0
2008-03-18,70.6500015258789,76.2699966430664,69.5,76.3499984741211,635000.0
2008-03-19,87.98999786376953,90.0,83.77999877929688,94.81999969482422,1337000.0
2008-03-20,89.63999938964844,96.88999938964844,86.55000305175781,99.80000305175781,1171800.0
2008-03-24,96.86000061035156,104.87999725341797,96.86000061035156,105.0,903900.0
2008-03-25,105.69999694824219,102.29000091552734,101.5999984741211,107.4000015258789,956700.0
2008-03-26,102.80000305175781,104.30000305175781,101.25,104.94999694824219,535800.0
2008-03-27,106.37000274658203,100.5,99.75,106.37000274658203,644700.0
2008-03-28,101.38999938964844,102.0,99.91000366210938,104.12999725341797,775300.0
2008-03-31,102.76000213623047,102.47000122070312,100.36000061035156,103.47000122070312,369400.0
2008-04-01,103.7300033569336,105.41000366210938,100.94999694824219,105.62000274658203,425400.0
2008-04-02,106.91000366210938,106.25,105.87000274658203,111.8499984741211,609400.0
2008-04-03,107.29000091552734,109.70999908447266,105.69999694824219,111.1500015258789,392600.0
2008-04-04,111.33999633789062,108.69000244140625,107.86000061035156,113.0,534600.0
