Date,varopen,varclose,varlow,varhigh,varvolume
2008-01-02,43.845001220703125,45.74787139892578,42.968101501464844,46.96676254272461,1987100.0
2008-01-03,45.818023681640625,45.31819152832031,45.098968505859375,46.168785095214844,1374900.0
2008-01-04,45.02881622314453,45.65141296386719,45.02881622314453,46.47570037841797,1417000.0
2008-01-07,45.84433364868164,47.475364685058594,45.84433364868164,47.81735610961914,1570100.0
2008-01-08,47.61566925048828,46.71246337890625,46.56338882446289,47.61566925048828,826600.0
2008-01-09,46.633541107177734,47.56305694580078,46.4230842590332,47.56305694580078,842200.0
2008-01-10,47.308753967285156,47.194759368896484,46.97553253173828,47.685821533203125,741500.0
2008-01-11,46.85276794433594,47.58059310913086,46.589698791503906,47.81735610961914,730800.0
2008-01-14,47.97520065307617,47.229835510253906,47.098297119140625,47.97520065307617,743800.0
2008-01-15,46.87907409667969,45.8267936706543,45.74787139892578,46.94045639038086,1563600.0
2008-01-16,45.67771911621094,46.72999954223633,45.27434539794922,47.15968322753906,1704900.0
2008-01-17,46.4230842590332,46.589698791503906,46.168785095214844,47.449058532714844,1251500.0
2008-01-18,46.817691802978516,45.01127624511719,44.83589553833008,47.34383010864258,1780700.0
2008-01-22,43.441627502441406,43.283782958984375,36.27735137939453,43.85376739501953,1995400.0
2008-01-23,42.71379852294922,43.055789947509766,41.214298248291016,43.16101837158203,1701100.0
2008-01-24,45.44972610473633,46.97553253173828,45.440956115722656,47.685821533203125,2914400.0
2008-01-25,47.50167465209961,45.440956115722656,45.1866569519043,47.50167465209961,1398900.0
2008-01-28,46.34416580200195,46.93168640136719,45.46726608276367,47.12460708618164,1315900.0
2008-01-29,47.12460708618164,46.96676254272461,46.38800811767578,47.35260009765625,980200.0
2008-01-30,46.72123336791992,46.51077651977539,46.29154968261719,47.20352554321289,963700.0
2008-01-31,45.87063980102539,45.590030670166016,44.60790252685547,46.177555084228516,2140900.0
2008-02-01,45.06389236450195,46.993072509765625,44.98497009277344,47.14214324951172,1834500.0
2008-02-04,47.20352554321289,46.98430252075195,46.580928802490234,47.29998779296875,997300.0
2008-02-05,46.73876953125,45.84433364868164,45.72156524658203,46.94045639038086,960300.0
2008-02-06,45.59880065917969,44.64297866821289,44.5465202331543,46.21263122558594,1556200.0
2008-02-07,44.39744567871094,45.04635238647461,44.39744567871094,45.25680923461914,1467600.0
2008-02-08,44.73066711425781,45.098968505859375,44.62544250488281,45.440956115722656,700900.0
2008-02-11,45.1340446472168,45.91448211669922,44.99374008178711,46.01094436645508,846000.0
2008-02-12,46.10740280151367,46.642311096191406,45.95832824707031,46.82646179199219,728400.0
2008-02-13,46.993072509765625,47.14214324951172,46.589698791503906,47.457828521728516,1285700.0
2008-02-14,47.247371673583984,46.73876953125,46.580928802490234,47.49290466308594,554100.0
2008-02-15,46.405548095703125,46.13370895385742,45.379573822021484,46.870304107666016,804900.0
2008-02-19,46.57215881347656,46.77384567260742,46.4143180847168,47.00183868408203,637300.0
2008-02-20,46.49323654174805,46.85276794433594,45.818023681640625,47.08953094482422,752600.0
2008-02-21,47.229835510253906,46.08109664916992,46.03725051879883,47.229835510253906,513800.0
2008-02-22,46.142478942871094,46.44939422607422,45.62510681152344,46.642311096191406,544800.0
2008-02-25,46.580928802490234,47.335060119628906,46.56338882446289,47.457828521728516,820600.0
2008-02-26,47.02814865112305,47.08076095581055,46.554622650146484,47.35260009765625,833600.0
2008-02-27,46.88784408569336,46.782615661621094,46.580928802490234,47.256141662597656,645100.0
2008-02-28,46.36170196533203,46.01094436645508,45.7741813659668,46.808921813964844,885300.0
2008-02-29,46.03725051879883,45.993404388427734,45.44972610473633,46.458160400390625,931400.0
2008-03-03,46.002174377441406,45.70402908325195,45.24803924560547,46.002174377441406,766500.0
2008-03-04,45.362037658691406,44.888511657714844,44.35360336303711,45.54618453979492,1690300.0
2008-03-05,44.941123962402344,45.1428108215332,44.721900939941406,45.502342224121094,925500.0
2008-03-06,45.01127624511719,43.660850524902344,43.62577438354492,45.08142852783203,1555100.0
2008-03-07,43.74854278564453,42.48580551147461,42.45072937011719,43.74854278564453,1551300.0
2008-03-10,41.161685943603516,40.42509078979492,39.934024810791016,41.69659423828125,2992400.0
2008-03-11,41.24060821533203,41.19676208496094,40.15325164794922,41.60890579223633,1835800.0
2008-03-12,41.20553207397461,41.950897216796875,41.17045593261719,42.91548538208008,1831100.0
2008-03-13,41.652748107910156,40.70569610595703,39.706031799316406,41.652748107910156,2236900.0
2008-03-14,41.012611389160156,39.92525863647461,39.293888092041016,41.012611389160156,2173900.0
2008-03-17,39.004512786865234,39.083431243896484,38.51344680786133,39.521881103515625,2134600.0
2008-03-18,39.74110794067383,41.42475509643555,39.442962646484375,41.42475509643555,1770600.0
2008-03-19,43.9063835144043,40.547855377197266,40.547855377197266,44.046688079833984,1454700.0
2008-03-20,42.205196380615234,41.100303649902344,40.460166931152344,42.205196380615234,1072400.0
2008-03-24,41.3458366394043,41.27568435668945,40.99507522583008,41.43352508544922,799000.0
2008-03-25,41.6702880859375,42.10873794555664,41.11783981323242,42.231502532958984,1232500.0
2008-03-26,42.213966369628906,41.3546028137207,41.05645751953125,42.213966369628906,1097000.0
2008-03-27,41.626441955566406,41.43352508544922,41.310760498046875,42.02104949951172,747500.0
2008-03-28,41.4510612487793,41.37214279174805,41.26691436767578,42.389347076416016,727600.0
2008-03-31,40.933692932128906,41.073997497558594,40.64431381225586,41.310760498046875,906600.0
2008-04-01,41.600135803222656,43.283782958984375,41.389678955078125,43.283782958984375,1475400.0
