Date,bxpopen,bxpclose,bxplow,bxphigh,bxpvolume
2008-01-02,91.56999969482422,92.7699966430664,90.55999755859375,93.56999969482422,1310300.0
2008-01-03,92.7699966430664,89.66999816894531,89.2699966430664,93.25,1485800.0
2008-01-04,89.0999984741211,86.12000274658203,85.91000366210938,89.0999984741211,2404000.0
2008-01-07,86.58999633789062,85.41999816894531,83.0199966430664,86.75,1763200.0
2008-01-08,86.16999816894531,82.0999984741211,81.88999938964844,88.0999984741211,2092400.0
2008-01-09,82.11000061035156,84.20999908447266,79.87999725341797,84.5,1876100.0
2008-01-10,83.73999786376953,86.98999786376953,82.0999984741211,88.11000061035156,2114000.0
2008-01-11,86.36000061035156,89.30000305175781,84.83000183105469,90.54000091552734,2257000.0
2008-01-14,89.83999633789062,89.05000305175781,86.44999694824219,90.9000015258789,1510200.0
2008-01-15,87.47000122070312,87.06999969482422,86.0,88.37000274658203,1818300.0
2008-01-16,85.94999694824219,88.58999633789062,85.94999694824219,90.20999908447266,2037500.0
2008-01-17,88.68000030517578,87.04000091552734,86.33000183105469,89.3499984741211,2007700.0
2008-01-18,87.94000244140625,85.18000030517578,84.16000366210938,89.16999816894531,2603100.0
2008-01-22,81.4000015258789,88.72000122070312,81.4000015258789,88.7300033569336,3648400.0
2008-01-23,88.66999816894531,94.26000213623047,86.80999755859375,94.87999725341797,3000900.0
2008-01-24,94.56999969482422,91.80000305175781,90.27999877929688,94.58999633789062,2201100.0
2008-01-25,93.0999984741211,89.66000366210938,89.19000244140625,93.44999694824219,1464100.0
2008-01-28,89.66999816894531,93.33000183105469,88.01000213623047,93.33000183105469,1404700.0
2008-01-29,93.1500015258789,93.1500015258789,91.61000061035156,94.62999725341797,1408600.0
2008-01-30,93.1500015258789,89.31999969482422,89.0,93.62999725341797,2829500.0
2008-01-31,89.73999786376953,91.70999908447266,87.77999877929688,92.86000061035156,2260400.0
2008-02-01,90.91000366210938,96.08999633789062,90.91000366210938,96.38999938964844,2393500.0
2008-02-04,94.66999816894531,95.0199966430664,93.56999969482422,96.52999877929688,1708900.0
2008-02-05,93.02999877929688,91.9800033569336,91.9800033569336,94.9000015258789,2077300.0
2008-02-06,92.22000122070312,89.61000061035156,89.5999984741211,93.1500015258789,1329100.0
2008-02-07,89.29000091552734,90.69999694824219,88.45999908447266,91.30999755859375,1762100.0
2008-02-08,89.97000122070312,87.2300033569336,85.94999694824219,90.5199966430664,1503800.0
2008-02-11,87.91999816894531,85.72000122070312,85.27999877929688,87.91999816894531,1246200.0
2008-02-12,85.5999984741211,87.79000091552734,85.5999984741211,87.9800033569336,1433000.0
2008-02-13,88.0999984741211,87.37999725341797,86.0,89.5999984741211,1401000.0
2008-02-14,87.2300033569336,85.3499984741211,84.62000274658203,87.94999694824219,1034800.0
2008-02-15,85.33999633789062,86.62999725341797,83.79000091552734,86.62999725341797,1474400.0
2008-02-19,87.44999694824219,85.29000091552734,84.7699966430664,87.98999786376953,1277400.0
2008-02-20,84.58000183105469,86.75,84.33000183105469,86.98999786376953,1260400.0
2008-02-21,87.1500015258789,84.94000244140625,84.69999694824219,88.0,1256900.0
2008-02-22,85.25,88.05999755859375,84.01000213623047,88.05999755859375,1596900.0
2008-02-25,87.66999816894531,90.47000122070312,86.76000213623047,90.4800033569336,1749000.0
2008-02-26,90.0,91.06999969482422,89.0999984741211,91.11000061035156,1560600.0
2008-02-27,90.52999877929688,90.26000213623047,89.51000213623047,91.47000122070312,907500.0
2008-02-28,89.55000305175781,88.43000030517578,88.12999725341797,89.66000366210938,740300.0
2008-02-29,87.1500015258789,86.16999816894531,85.61000061035156,87.66999816894531,1290300.0
2008-03-03,85.11000061035156,87.05999755859375,84.58000183105469,87.16000366210938,1310200.0
2008-03-04,86.43000030517578,87.93000030517578,85.79000091552734,88.43000030517578,1409000.0
2008-03-05,88.06999969482422,88.56999969482422,87.20999908447266,89.55000305175781,969700.0
2008-03-06,89.98999786376953,85.98999786376953,85.7300033569336,91.06999969482422,1296500.0
2008-03-07,85.4800033569336,88.19999694824219,84.95999908447266,88.86000061035156,1693300.0
2008-03-10,87.93000030517578,86.16000366210938,86.01000213623047,88.12000274658203,1756300.0
2008-03-11,88.66000366210938,92.44000244140625,88.12000274658203,92.6500015258789,1793200.0
2008-03-12,92.43000030517578,90.37999725341797,90.29000091552734,93.9000015258789,1232200.0
2008-03-13,89.30000305175781,90.41000366210938,86.33999633789062,90.91999816894531,2082200.0
2008-03-14,90.45999908447266,87.2300033569336,85.66999816894531,91.08999633789062,2363500.0
2008-03-17,84.95999908447266,85.37999725341797,82.44999694824219,85.95999908447266,2703900.0
2008-03-18,86.79000091552734,90.80999755859375,86.33000183105469,90.80999755859375,2260400.0
2008-03-19,91.06999969482422,90.18000030517578,90.0,93.1500015258789,1812500.0
2008-03-20,89.8499984741211,93.97000122070312,89.69000244140625,94.30000305175781,1758000.0
2008-03-24,94.16999816894531,96.9000015258789,94.16999816894531,97.77999877929688,2721900.0
2008-03-25,96.73999786376953,98.38999938964844,95.91999816894531,98.72000122070312,2058800.0
2008-03-26,97.69999694824219,94.52999877929688,94.33999633789062,98.19999694824219,1764800.0
2008-03-27,95.5,92.91999816894531,92.62999725341797,95.77999877929688,1852200.0
2008-03-28,93.0,92.12000274658203,91.86000061035156,93.58999633789062,1409300.0
2008-03-31,92.27999877929688,92.06999969482422,91.69999694824219,94.26000213623047,1399800.0
2008-04-01,92.3499984741211,97.81999969482422,92.3499984741211,97.93000030517578,1722900.0
