Date,smsiopen,smsiclose,smsilow,smsihigh,smsivolume
2008-01-02,34.0,33.560001373291016,33.040000915527344,34.720001220703125,135400.0
2008-01-03,33.599998474121094,32.91999816894531,32.91999816894531,34.20000076293945,87500.0
2008-01-04,32.79999923706055,30.760000228881836,30.639999389648438,33.040000915527344,209500.0
2008-01-07,31.600000381469727,29.360000610351562,28.799999237060547,32.08000183105469,266500.0
2008-01-08,29.479999542236328,29.399999618530273,29.200000762939453,31.239999771118164,182300.0
2008-01-09,29.479999542236328,28.559999465942383,27.31999969482422,30.239999771118164,313700.0
2008-01-10,28.15999984741211,28.239999771118164,27.040000915527344,28.639999389648438,261100.0
2008-01-11,27.920000076293945,26.920000076293945,26.799999237060547,28.399999618530273,130400.0
2008-01-14,27.639999389648438,27.639999389648438,26.520000457763672,28.15999984741211,140700.0
2008-01-15,27.760000228881836,28.959999084472656,26.079999923706055,29.479999542236328,238600.0
2008-01-16,28.719999313354492,27.719999313354492,27.0,28.719999313354492,140600.0
2008-01-17,27.8799991607666,27.0,26.799999237060547,28.280000686645508,115600.0
2008-01-18,26.959999084472656,27.520000457763672,26.68000030517578,28.280000686645508,163400.0
2008-01-22,26.0,28.559999465942383,23.280000686645508,28.959999084472656,264900.0
2008-01-23,27.360000610351562,28.520000457763672,26.15999984741211,28.799999237060547,213600.0
2008-01-24,28.600000381469727,29.600000381469727,28.559999465942383,30.200000762939453,211700.0
2008-01-25,30.0,29.959999084472656,29.600000381469727,31.079999923706055,128100.0
2008-01-28,29.84000015258789,30.600000381469727,28.799999237060547,30.84000015258789,101700.0
2008-01-29,30.719999313354492,30.600000381469727,29.920000076293945,31.15999984741211,92200.0
2008-01-30,30.440000534057617,30.440000534057617,30.200000762939453,31.959999084472656,108000.0
2008-01-31,29.639999389648438,30.1200008392334,29.639999389648438,31.239999771118164,145800.0
2008-02-01,30.15999984741211,30.799999237060547,29.600000381469727,30.8799991607666,136200.0
2008-02-04,30.84000015258789,31.600000381469727,30.239999771118164,31.959999084472656,133900.0
2008-02-05,31.799999237060547,31.639999389648438,31.440000534057617,33.63999938964844,163500.0
2008-02-06,31.959999084472656,30.1200008392334,29.959999084472656,32.52000045776367,98100.0
2008-02-07,29.68000030517578,30.440000534057617,29.200000762939453,31.600000381469727,115200.0
2008-02-08,30.440000534057617,31.15999984741211,30.079999923706055,31.719999313354492,75500.0
2008-02-11,31.200000762939453,30.799999237060547,30.200000762939453,31.719999313354492,69800.0
2008-02-12,30.8799991607666,30.719999313354492,30.399999618530273,31.360000610351562,62000.0
2008-02-13,31.079999923706055,32.560001373291016,30.600000381469727,32.79999923706055,95200.0
2008-02-14,32.599998474121094,31.920000076293945,31.079999923706055,33.20000076293945,108000.0
2008-02-15,31.760000228881836,31.1200008392334,30.600000381469727,31.760000228881836,77800.0
2008-02-19,30.399999618530273,29.479999542236328,29.399999618530273,31.0,124400.0
2008-02-20,29.440000534057617,29.719999313354492,29.0,30.31999969482422,108200.0
2008-02-21,30.31999969482422,26.760000228881836,26.68000030517578,30.399999618530273,378200.0
2008-02-22,26.760000228881836,25.760000228881836,25.1200008392334,27.399999618530273,308800.0
2008-02-25,23.760000228881836,22.479999542236328,21.31999969482422,23.84000015258789,1032800.0
2008-02-26,22.200000762939453,21.799999237060547,21.520000457763672,22.639999389648438,271400.0
2008-02-27,21.799999237060547,21.479999542236328,21.079999923706055,22.360000610351562,224900.0
2008-02-28,21.479999542236328,20.760000228881836,20.600000381469727,21.600000381469727,251800.0
2008-02-29,20.440000534057617,20.479999542236328,20.1200008392334,21.15999984741211,215500.0
2008-03-03,20.520000457763672,18.559999465942383,17.760000228881836,20.559999465942383,361600.0
2008-03-04,18.360000610351562,18.920000076293945,17.799999237060547,19.280000686645508,304900.0
2008-03-05,19.239999771118164,20.440000534057617,19.200000762939453,20.559999465942383,320400.0
2008-03-06,26.639999389648438,26.280000686645508,24.1200008392334,26.639999389648438,891900.0
2008-03-07,25.479999542236328,26.479999542236328,25.440000534057617,27.479999542236328,476700.0
2008-03-10,26.479999542236328,24.84000015258789,24.600000381469727,26.799999237060547,293100.0
2008-03-11,25.440000534057617,25.1200008392334,24.399999618530273,26.0,219600.0
2008-03-12,25.239999771118164,24.8799991607666,24.600000381469727,25.520000457763672,193500.0
2008-03-13,24.360000610351562,25.15999984741211,24.15999984741211,25.760000228881836,136300.0
2008-03-14,25.31999969482422,24.399999618530273,24.360000610351562,25.600000381469727,125700.0
2008-03-17,23.440000534057617,23.440000534057617,22.600000381469727,24.239999771118164,155900.0
2008-03-18,23.84000015258789,24.520000457763672,23.600000381469727,24.799999237060547,157100.0
2008-03-19,24.520000457763672,23.600000381469727,23.600000381469727,25.68000030517578,151100.0
2008-03-20,23.84000015258789,23.15999984741211,23.040000915527344,23.959999084472656,210700.0
2008-03-24,23.15999984741211,24.31999969482422,23.15999984741211,24.479999542236328,172700.0
2008-03-25,24.280000686645508,24.200000762939453,23.799999237060547,24.600000381469727,100100.0
2008-03-26,24.31999969482422,24.959999084472656,23.799999237060547,25.040000915527344,86800.0
2008-03-27,25.1200008392334,24.959999084472656,24.15999984741211,25.1200008392334,93700.0
2008-03-28,24.84000015258789,24.399999618530273,24.360000610351562,25.479999542236328,62500.0
2008-03-31,24.239999771118164,24.479999542236328,23.959999084472656,24.68000030517578,94500.0
2008-04-01,25.15999984741211,25.920000076293945,24.760000228881836,25.920000076293945,119100.0
2008-04-02,25.760000228881836,28.239999771118164,25.719999313354492,29.799999237060547,321500.0
