Date,rokopen,rokclose,roklow,rokhigh,rokvolume
2008-01-02,69.05000305175781,66.68000030517578,66.62000274658203,69.72000122070312,1861100.0
2008-01-03,66.7699966430664,66.80000305175781,66.16999816894531,67.06999969482422,1479700.0
2008-01-04,65.87000274658203,64.08999633789062,63.970001220703125,66.33999633789062,1484400.0
2008-01-07,64.29000091552734,63.20000076293945,61.4900016784668,64.58999633789062,2153300.0
2008-01-08,61.83000183105469,60.939998626708984,60.65999984741211,62.68000030517578,3050800.0
2008-01-09,60.41999816894531,60.68000030517578,59.029998779296875,60.68000030517578,2891200.0
2008-01-10,60.16999816894531,61.150001525878906,59.88999938964844,61.47999954223633,2253700.0
2008-01-11,60.689998626708984,59.18000030517578,58.66999816894531,60.689998626708984,1463700.0
2008-01-14,59.939998626708984,61.290000915527344,59.720001220703125,61.5099983215332,1603300.0
2008-01-15,60.54999923706055,57.849998474121094,57.849998474121094,60.54999923706055,1781100.0
2008-01-16,57.400001525878906,58.0099983215332,56.130001068115234,59.0099983215332,2290600.0
2008-01-17,58.06999969482422,55.45000076293945,55.36000061035156,59.099998474121094,1901400.0
2008-01-18,55.790000915527344,55.060001373291016,54.0,56.75,2483700.0
2008-01-22,53.5,56.02000045776367,53.20000076293945,57.11000061035156,4256900.0
2008-01-23,54.650001525878906,56.58000183105469,50.0,56.79999923706055,3188000.0
2008-01-24,56.779998779296875,56.18000030517578,53.900001525878906,56.779998779296875,2555100.0
2008-01-25,56.7599983215332,56.77000045776367,56.560001373291016,58.70000076293945,1834200.0
2008-01-28,56.95000076293945,57.18000030517578,56.09000015258789,57.41999816894531,1160900.0
2008-01-29,57.63999938964844,57.4900016784668,56.400001525878906,57.75,1094300.0
2008-01-30,57.400001525878906,57.9900016784668,57.119998931884766,59.45000076293945,1448800.0
2008-01-31,57.189998626708984,56.900001525878906,56.2599983215332,57.810001373291016,2327800.0
2008-02-01,56.93000030517578,58.0,56.560001373291016,58.279998779296875,2398800.0
2008-02-04,58.06999969482422,58.189998626708984,57.81999969482422,58.84000015258789,1130600.0
2008-02-05,57.599998474121094,55.630001068115234,55.630001068115234,58.2400016784668,1295600.0
2008-02-06,55.9900016784668,54.77000045776367,54.56999969482422,56.08000183105469,1309400.0
2008-02-07,54.36000061035156,54.56999969482422,53.849998474121094,54.97999954223633,1830500.0
2008-02-08,54.08000183105469,54.130001068115234,53.959999084472656,54.84000015258789,936500.0
2008-02-11,54.970001220703125,54.52000045776367,53.7400016784668,54.970001220703125,901000.0
2008-02-12,55.15999984741211,55.58000183105469,55.0,56.43000030517578,1440400.0
2008-02-13,55.79999923706055,58.91999816894531,55.79999923706055,59.15999984741211,2322800.0
2008-02-14,59.04999923706055,58.40999984741211,58.290000915527344,60.099998474121094,2283000.0
2008-02-15,58.06999969482422,58.31999969482422,57.2400016784668,58.47999954223633,1565700.0
2008-02-19,59.11000061035156,58.790000915527344,58.56999969482422,60.22999954223633,1421900.0
2008-02-20,58.15999984741211,58.68000030517578,57.119998931884766,58.83000183105469,1615700.0
2008-02-21,59.0099983215332,57.45000076293945,57.2599983215332,59.209999084472656,1134000.0
2008-02-22,57.56999969482422,57.66999816894531,56.29999923706055,57.90999984741211,809800.0
2008-02-25,58.06999969482422,58.52000045776367,57.22999954223633,58.689998626708984,1124800.0
2008-02-26,58.349998474121094,58.72999954223633,58.099998474121094,59.40999984741211,1256900.0
2008-02-27,58.459999084472656,58.45000076293945,58.0099983215332,59.31999969482422,914100.0
2008-02-28,58.0099983215332,57.040000915527344,56.90999984741211,58.380001068115234,1411000.0
2008-02-29,56.5099983215332,54.709999084472656,54.529998779296875,56.7400016784668,1569100.0
2008-03-03,54.380001068115234,54.560001373291016,53.97999954223633,55.040000915527344,1422600.0
2008-03-04,54.02000045776367,53.68000030517578,52.90999984741211,54.2599983215332,2271000.0
2008-03-05,54.040000915527344,54.22999954223633,53.7400016784668,55.09000015258789,1454600.0
2008-03-06,54.20000076293945,52.9900016784668,52.959999084472656,54.31999969482422,1421100.0
2008-03-07,52.54999923706055,52.040000915527344,51.619998931884766,53.29999923706055,1420200.0
2008-03-10,52.040000915527344,51.75,51.439998626708984,52.63999938964844,2099800.0
2008-03-11,52.810001373291016,53.52000045776367,51.849998474121094,53.52000045776367,1949000.0
2008-03-12,53.529998779296875,53.97999954223633,53.20000076293945,55.09000015258789,1524400.0
2008-03-13,53.130001068115234,53.7400016784668,52.150001525878906,53.970001220703125,1237400.0
2008-03-14,53.869998931884766,52.650001525878906,51.790000915527344,54.20000076293945,1168600.0
2008-03-17,51.75,53.08000183105469,51.349998474121094,53.689998626708984,1590700.0
2008-03-18,53.779998779296875,55.310001373291016,53.09000015258789,55.310001373291016,1531700.0
2008-03-19,55.91999816894531,53.849998474121094,53.75,55.91999816894531,1698400.0
2008-03-20,53.13999938964844,54.43000030517578,53.13999938964844,54.630001068115234,1501800.0
2008-03-24,54.77000045776367,56.369998931884766,54.59000015258789,56.70000076293945,1521200.0
2008-03-25,56.279998779296875,57.119998931884766,55.959999084472656,57.5,1401500.0
2008-03-26,56.900001525878906,56.209999084472656,55.970001220703125,56.970001220703125,1628000.0
2008-03-27,56.59000015258789,56.79999923706055,56.06999969482422,57.619998931884766,1909900.0
2008-03-28,57.0,57.029998779296875,56.63999938964844,57.939998626708984,2000700.0
2008-03-31,57.130001068115234,57.41999816894531,56.79999923706055,57.72999954223633,1571900.0
2008-04-01,58.45000076293945,59.70000076293945,58.16999816894531,59.720001220703125,1464600.0
