Date,essopen,essclose,esslow,esshigh,essvolume
2008-01-02,97.48999786376953,95.80999755859375,94.27999877929688,97.95999908447266,478600.0
2008-01-03,95.0999984741211,92.0,91.62999725341797,97.13999938964844,310400.0
2008-01-04,90.0,87.73999786376953,87.70999908447266,90.4000015258789,478200.0
2008-01-07,88.1500015258789,89.4800033569336,86.68000030517578,89.98999786376953,469600.0
2008-01-08,90.4000015258789,87.58000183105469,87.2300033569336,94.2699966430664,410400.0
2008-01-09,87.69999694824219,89.6500015258789,84.58999633789062,90.08999633789062,495500.0
2008-01-10,88.30000305175781,91.33999633789062,86.95999908447266,94.4000015258789,460600.0
2008-01-11,89.69999694824219,91.08999633789062,88.44999694824219,93.94999694824219,364100.0
2008-01-14,92.5999984741211,91.08000183105469,88.47000122070312,93.0,427700.0
2008-01-15,89.75,89.88999938964844,88.30000305175781,91.16000366210938,437600.0
2008-01-16,89.52999877929688,90.93000030517578,89.31999969482422,92.72000122070312,443400.0
2008-01-17,91.66000366210938,91.77999877929688,89.8499984741211,93.55000305175781,463800.0
2008-01-18,92.66000366210938,90.33000183105469,88.70999908447266,94.18000030517578,400300.0
2008-01-22,87.0,92.22000122070312,86.87999725341797,94.97000122070312,445100.0
2008-01-23,89.70999908447266,98.16000366210938,89.70999908447266,102.27999877929688,1062900.0
2008-01-24,98.19999694824219,97.0199966430664,95.18000030517578,98.69000244140625,324700.0
2008-01-25,97.79000091552734,98.3499984741211,97.44999694824219,100.0,547300.0
2008-01-28,98.5999984741211,102.45999908447266,97.12999725341797,102.45999908447266,454500.0
2008-01-29,102.45999908447266,101.56999969482422,100.0,102.94000244140625,254300.0
2008-01-30,101.55000305175781,101.5999984741211,100.0999984741211,104.61000061035156,563600.0
2008-01-31,101.0,103.61000061035156,100.0,104.56999969482422,332500.0
2008-02-01,105.0,108.41999816894531,104.0,109.30000305175781,500600.0
2008-02-04,108.22000122070312,106.72000122070312,106.0,108.73999786376953,402400.0
2008-02-05,104.66999816894531,100.5,100.5,107.62999725341797,420000.0
2008-02-06,101.44999694824219,101.80999755859375,99.94000244140625,103.6500015258789,627900.0
2008-02-07,101.80999755859375,106.55000305175781,100.76000213623047,106.55000305175781,396900.0
2008-02-08,109.62999725341797,103.1500015258789,101.55000305175781,109.62999725341797,596300.0
2008-02-11,103.0,102.76000213623047,101.11000061035156,103.83000183105469,293000.0
2008-02-12,102.87000274658203,106.79000091552734,102.87000274658203,107.36000061035156,355400.0
2008-02-13,107.16999816894531,107.29000091552734,105.44999694824219,108.66999816894531,432300.0
2008-02-14,107.69999694824219,105.77999877929688,105.33000183105469,107.93000030517578,359200.0
2008-02-15,105.58000183105469,105.75,104.52999877929688,106.58999633789062,386000.0
2008-02-19,107.30999755859375,105.04000091552734,104.80999755859375,108.23999786376953,445000.0
2008-02-20,104.12000274658203,106.9800033569336,104.12000274658203,106.9800033569336,302500.0
2008-02-21,107.08999633789062,106.2699966430664,105.9000015258789,108.18000030517578,309900.0
2008-02-22,106.55000305175781,109.58000183105469,104.8499984741211,110.0,308400.0
2008-02-25,109.0199966430664,110.25,107.44000244140625,111.12999725341797,351800.0
2008-02-26,109.97000122070312,109.02999877929688,107.79000091552734,111.0,406200.0
2008-02-27,108.48999786376953,108.16999816894531,107.16000366210938,109.58000183105469,297400.0
2008-02-28,105.80000305175781,106.19999694824219,103.19000244140625,107.44999694824219,232100.0
2008-02-29,104.55000305175781,105.04000091552734,104.04000091552734,106.08000183105469,207500.0
2008-03-03,105.83000183105469,106.63999938964844,103.80000305175781,106.98999786376953,255200.0
2008-03-04,106.22000122070312,107.1500015258789,104.5999984741211,107.81999969482422,271700.0
2008-03-05,107.12999725341797,107.33999633789062,106.23999786376953,108.94999694824219,210800.0
2008-03-06,107.29000091552734,103.61000061035156,103.58999633789062,107.29000091552734,305700.0
2008-03-07,102.7300033569336,103.75,100.45999908447266,104.13999938964844,381800.0
2008-03-10,102.83000183105469,101.55999755859375,101.16000366210938,103.5999984741211,274700.0
2008-03-11,103.22000122070312,108.5,102.05000305175781,108.5,338500.0
2008-03-12,108.05000305175781,108.05000305175781,106.9800033569336,111.37000274658203,461400.0
2008-03-13,106.5,108.12999725341797,104.08999633789062,109.27999877929688,305200.0
