Date,rsysopen,rsysclose,rsyslow,rsyshigh,rsysvolume
2008-01-02,13.350000381469727,13.4399995803833,13.0600004196167,13.460000038146973,206400
2008-01-03,13.479999542236328,13.199999809265137,12.960000038146973,13.479999542236328,177400
2008-01-04,13.050000190734863,13.229999542236328,12.829999923706055,13.460000038146973,217200
2008-01-07,13.270000457763672,13.359999656677246,12.800000190734863,13.399999618530273,183000
2008-01-08,13.399999618530273,13.15999984741211,12.789999961853027,13.399999618530273,234400
2008-01-09,13.0,12.510000228881836,12.260000228881836,13.1899995803833,267500
2008-01-10,12.300000190734863,12.84000015258789,12.25,13.130000114440918,210600
2008-01-11,12.699999809265137,12.1899995803833,12.170000076293945,13.180000305175781,133200
2008-01-14,12.279999732971191,12.640000343322754,12.1899995803833,12.8100004196167,57900
2008-01-15,12.4399995803833,12.369999885559082,12.15999984741211,12.59000015258789,72700
2008-01-16,12.3100004196167,12.550000190734863,12.279999732971191,13.100000381469727,189700
2008-01-17,12.539999961853027,12.319999694824219,12.279999732971191,12.800000190734863,156800
2008-01-18,12.319999694824219,12.34000015258789,11.819999694824219,12.600000381469727,178000
2008-01-22,11.869999885559082,12.119999885559082,11.859999656677246,12.609999656677246,138500
2008-01-23,11.8100004196167,12.289999961853027,11.630000114440918,12.350000381469727,209200
2008-01-24,12.270000457763672,11.989999771118164,11.829999923706055,12.300000190734863,153600
2008-01-25,12.15999984741211,11.930000305175781,11.760000228881836,12.229999542236328,110700
2008-01-28,11.880000114440918,12.75,11.609999656677246,12.800000190734863,211900
2008-01-29,12.850000381469727,13.279999732971191,12.6899995803833,13.350000381469727,211300
2008-01-30,13.210000038146973,12.960000038146973,12.899999618530273,13.510000228881836,216900
2008-01-31,12.770000457763672,13.59000015258789,12.75,13.84000015258789,192500
2008-02-01,13.579999923706055,13.619999885559082,13.319999694824219,14.0,124300
2008-02-04,13.600000381469727,13.84000015258789,13.569999694824219,13.989999771118164,196200
2008-02-05,13.529999732971191,12.859999656677246,12.800000190734863,13.729999542236328,237100
2008-02-06,10.84000015258789,10.260000228881836,10.260000228881836,11.329999923706055,2220400
2008-02-07,10.300000190734863,10.550000190734863,10.079999923706055,10.65999984741211,669900
2008-02-08,10.5,10.479999542236328,10.449999809265137,10.739999771118164,287100
2008-02-11,10.470000267028809,10.380000114440918,10.100000381469727,10.699999809265137,252000
2008-02-12,10.449999809265137,10.739999771118164,10.449999809265137,10.850000381469727,265400
2008-02-13,10.869999885559082,10.680000305175781,10.390000343322754,10.869999885559082,247400
2008-02-14,10.6899995803833,10.670000076293945,10.529999732971191,10.739999771118164,314100
2008-02-15,10.550000190734863,10.569999694824219,10.420000076293945,10.699999809265137,247800
2008-02-19,10.6899995803833,10.399999618530273,10.210000038146973,10.829999923706055,287800
