Date,drqopen,drqclose,drqlow,drqhigh,drqvolume
2008-01-02,55.689998626708984,55.400001525878906,55.20000076293945,56.93000030517578,907600
2008-01-03,55.380001068115234,56.939998626708984,55.0,58.130001068115234,668600
2008-01-04,56.5,55.869998931884766,54.83000183105469,56.83000183105469,743000
2008-01-07,56.02000045776367,57.279998779296875,55.38999938964844,58.470001220703125,1518100
2008-01-08,57.869998931884766,57.97999954223633,57.619998931884766,59.880001068115234,887400
2008-01-09,58.0,59.58000183105469,57.290000915527344,59.7599983215332,813900
2008-01-10,59.36000061035156,59.130001068115234,58.22999954223633,59.72999954223633,684700
2008-01-11,58.400001525878906,57.84000015258789,57.689998626708984,60.220001220703125,699800
2008-01-14,58.279998779296875,58.790000915527344,57.66999816894531,59.0,614000
2008-01-15,58.18000030517578,56.52000045776367,56.31999969482422,58.68000030517578,630700
2008-01-16,56.0,52.59000015258789,52.25,56.4900016784668,1133200
2008-01-17,52.849998474121094,50.79999923706055,50.52000045776367,53.79999923706055,847700
2008-01-18,50.68000030517578,49.560001373291016,48.400001525878906,50.779998779296875,987400
2008-01-22,47.47999954223633,47.59000015258789,45.5099983215332,48.560001373291016,714200
2008-01-23,46.40999984741211,49.189998626708984,44.810001373291016,49.290000915527344,1149800
2008-01-24,49.279998779296875,48.599998474121094,48.560001373291016,51.91999816894531,663000
2008-01-25,49.029998779296875,49.349998474121094,48.11000061035156,50.36000061035156,685300
2008-01-28,49.630001068115234,51.279998779296875,48.95000076293945,51.45000076293945,711100
2008-01-29,52.11000061035156,50.869998931884766,49.630001068115234,52.11000061035156,389500
2008-01-30,50.849998474121094,49.77000045776367,49.04999923706055,51.5,553800
2008-01-31,48.84000015258789,48.709999084472656,48.2400016784668,49.56999969482422,969800
2008-02-01,48.400001525878906,49.63999938964844,48.11000061035156,49.83000183105469,555500
2008-02-04,49.599998474121094,49.79999923706055,48.849998474121094,50.41999816894531,302200
2008-02-05,48.79999923706055,47.810001373291016,47.540000915527344,49.41999816894531,380000
2008-02-06,48.29999923706055,46.34000015258789,46.15999984741211,48.29999923706055,382700
2008-02-07,45.66999816894531,47.45000076293945,45.66999816894531,48.060001373291016,398800
2008-02-08,47.40999984741211,48.279998779296875,47.220001220703125,48.52000045776367,242400
2008-02-11,48.2400016784668,48.779998779296875,47.5099983215332,49.15999984741211,358400
2008-02-12,49.099998474121094,48.86000061035156,48.41999816894531,49.65999984741211,334600
2008-02-13,49.380001068115234,50.47999954223633,49.25,50.63999938964844,329600
2008-02-14,50.79999923706055,48.90999984741211,48.70000076293945,51.0,475200
