Date,fbopen,fbclose,fblow,fbhigh,fbvolume
2012-05-18,42.04999923706055,38.22999954223633,38.0,45.0,573576400
2012-05-21,36.529998779296875,34.029998779296875,33.0,36.65999984741211,168192700
2012-05-22,32.61000061035156,31.0,30.940000534057617,33.59000015258789,101786600
2012-05-23,31.3700008392334,32.0,31.360000610351562,32.5,73600000
2012-05-24,32.95000076293945,33.029998779296875,31.770000457763672,33.209999084472656,50237200
2012-05-25,32.900001525878906,31.90999984741211,31.110000610351562,32.95000076293945,37149800
2012-05-29,31.479999542236328,28.84000015258789,28.649999618530273,31.690000534057617,78063400
2012-05-30,28.700000762939453,28.190000534057617,27.860000610351562,29.549999237060547,57267900
2012-05-31,28.549999237060547,29.600000381469727,26.829999923706055,29.670000076293945,111639200
2012-06-01,28.889999389648438,27.719999313354492,27.389999389648438,29.149999618530273,41855500
2012-06-04,27.200000762939453,26.899999618530273,26.440000534057617,27.649999618530273,35230300
2012-06-05,26.700000762939453,25.8700008392334,25.75,27.760000228881836,42473400
2012-06-06,26.06999969482422,26.809999465942383,25.520000457763672,27.170000076293945,61489200
2012-06-07,27.0,26.309999465942383,26.149999618530273,27.350000381469727,26159500
2012-06-08,26.549999237060547,27.100000381469727,26.440000534057617,27.760000228881836,38034000
2012-06-11,27.18000030517578,27.010000228881836,26.84000015258789,28.06999969482422,28219600
2012-06-12,27.479999542236328,27.399999618530273,26.959999084472656,27.770000457763672,15816800
2012-06-13,27.65999984741211,27.270000457763672,27.100000381469727,28.100000381469727,17102800
2012-06-14,27.649999618530273,28.290000915527344,27.3799991607666,28.31999969482422,16855000
2012-06-15,28.510000228881836,30.010000228881836,28.350000381469727,30.100000381469727,43563800
2012-06-18,29.959999084472656,31.40999984741211,29.40999984741211,32.08000183105469,42978900
2012-06-19,31.540000915527344,31.90999984741211,30.700000762939453,32.18000030517578,30849000
2012-06-20,31.920000076293945,31.600000381469727,31.149999618530273,31.93000030517578,15553600
2012-06-21,31.670000076293945,31.84000015258789,31.510000228881836,32.5,21875300
2012-06-22,32.40999984741211,33.04999923706055,32.060001373291016,33.45000076293945,74834000
2012-06-25,32.86000061035156,32.060001373291016,31.549999237060547,33.02000045776367,24352900
2012-06-26,32.689998626708984,33.099998474121094,32.5,33.439998626708984,24858700
2012-06-27,32.459999084472656,32.22999954223633,31.899999618530273,32.900001525878906,28568000
2012-06-28,31.959999084472656,31.360000610351562,30.899999618530273,32.189998626708984,17713300
2012-06-29,31.920000076293945,31.100000381469727,30.760000228881836,31.989999771118164,19526900
2012-07-02,31.25,30.770000457763672,30.549999237060547,31.729999542236328,14122000
2012-07-03,30.90999984741211,31.200000762939453,30.799999237060547,31.440000534057617,8763600
2012-07-05,31.31999969482422,31.469999313354492,31.020000457763672,31.6299991607666,10032100
2012-07-06,31.440000534057617,31.729999542236328,31.260000228881836,31.899999618530273,10945600
2012-07-09,32.099998474121094,32.16999816894531,31.989999771118164,32.880001068115234,17785200
2012-07-10,32.43000030517578,31.469999313354492,31.15999984741211,32.47999954223633,14269500
2012-07-11,31.479999542236328,30.969999313354492,30.549999237060547,31.559999465942383,13030300
2012-07-12,30.700000762939453,30.809999465942383,30.600000381469727,31.399999618530273,11300700
2012-07-13,31.040000915527344,30.719999313354492,30.559999465942383,31.06999969482422,8108300
2012-07-16,30.5,28.25,28.209999084472656,30.5,24672100
2012-07-17,28.479999542236328,28.09000015258789,27.149999618530273,28.59000015258789,30438600
2012-07-18,28.309999465942383,29.110000610351562,28.149999618530273,29.290000915527344,16841800
2012-07-19,29.40999984741211,29.0,28.6299991607666,29.5,13685100
2012-07-20,29.0,28.760000228881836,28.719999313354492,29.469999313354492,11869100
2012-07-23,28.1200008392334,28.75,28.010000228881836,29.0,12390700
2012-07-24,28.81999969482422,28.450000762939453,28.100000381469727,29.450000762939453,11539800
2012-07-25,28.389999389648438,29.34000015258789,28.079999923706055,29.489999771118164,17230200
2012-07-26,27.75,26.850000381469727,26.729999542236328,28.229999542236328,64597400
2012-07-27,23.190000534057617,23.709999084472656,22.280000686645508,24.540000915527344,123102300
2012-07-30,24.0,23.149999618530273,23.030000686645508,24.040000915527344,29285900
2012-07-31,23.3700008392334,21.709999084472656,21.610000610351562,23.3700008392334,56179400
2012-08-01,21.5,20.8799991607666,20.84000015258789,21.579999923706055,44604400
2012-08-02,20.770000457763672,20.040000915527344,19.81999969482422,20.84000015258789,56374500
2012-08-03,20.360000610351562,21.09000015258789,19.899999618530273,22.15999984741211,80647000
2012-08-06,21.389999389648438,21.920000076293945,21.299999237060547,22.149999618530273,27778900
2012-08-07,22.200000762939453,20.719999313354492,20.5,22.450000762939453,36782900
2012-08-08,20.709999084472656,20.719999313354492,20.219999313354492,21.149999618530273,29537400
2012-08-09,20.75,21.010000228881836,20.610000610351562,21.170000076293945,15610700
2012-08-10,21.40999984741211,21.809999465942383,21.1299991607666,21.81999969482422,25794700
2012-08-13,22.149999618530273,21.600000381469727,21.399999618530273,22.450000762939453,24973100
2012-08-14,21.40999984741211,20.3799991607666,20.25,21.600000381469727,39308800
2012-08-15,20.639999389648438,21.200000762939453,20.399999618530273,21.40999984741211,47861100
2012-08-16,20.440000534057617,19.8700008392334,19.690000534057617,20.479999542236328,157565300
2012-08-17,20.010000228881836,19.049999237060547,19.0,20.079999923706055,129293400
2012-08-20,19.049999237060547,20.010000228881836,18.75,20.1299991607666,101186600
2012-08-21,19.579999923706055,19.15999984741211,19.09000015258789,19.979999542236328,70640600
