Date,chrwopen,chrwclose,chrwlow,chrwhigh,chrwvolume
2008-01-02,54.2400016784668,51.880001068115234,51.58000183105469,54.349998474121094,2146500.0
2008-01-03,51.790000915527344,51.95000076293945,51.66999816894531,52.459999084472656,1451400.0
2008-01-04,51.70000076293945,49.970001220703125,49.849998474121094,51.900001525878906,1779400.0
2008-01-07,50.5099983215332,50.619998931884766,49.5,51.33000183105469,2211900.0
2008-01-08,50.560001373291016,47.36000061035156,47.209999084472656,50.790000915527344,2656500.0
2008-01-09,47.45000076293945,48.09000015258789,47.0099983215332,48.459999084472656,2091500.0
2008-01-10,47.59000015258789,48.43000030517578,47.18000030517578,49.189998626708984,1458900.0
2008-01-11,48.099998474121094,47.45000076293945,47.16999816894531,48.529998779296875,1485000.0
2008-01-14,47.97999954223633,48.36000061035156,47.560001373291016,48.689998626708984,1170400.0
2008-01-15,47.900001525878906,47.83000183105469,47.630001068115234,48.79999923706055,1856900.0
2008-01-16,47.81999969482422,49.0,47.52000045776367,49.65999984741211,1716900.0
2008-01-17,48.84000015258789,47.369998931884766,47.290000915527344,49.689998626708984,2208600.0
2008-01-18,47.0099983215332,48.560001373291016,47.0,49.880001068115234,2547600.0
2008-01-22,46.90999984741211,47.40999984741211,46.41999816894531,48.11000061035156,2816800.0
2008-01-23,46.45000076293945,51.0099983215332,46.400001525878906,51.47999954223633,3694800.0
2008-01-24,50.939998626708984,49.7400016784668,49.13999938964844,51.099998474121094,2427800.0
2008-01-25,49.70000076293945,49.619998931884766,49.25,50.81999969482422,1486300.0
2008-01-28,49.5099983215332,50.29999923706055,49.310001373291016,50.5,1337700.0
2008-01-29,50.15999984741211,50.810001373291016,50.15999984741211,51.47999954223633,2102900.0
2008-01-30,51.5,53.95000076293945,51.47999954223633,55.38999938964844,4049800.0
2008-01-31,53.380001068115234,55.540000915527344,53.220001220703125,55.880001068115234,3566500.0
2008-02-01,54.86000061035156,56.27000045776367,54.709999084472656,56.5,2891500.0
2008-02-04,56.470001220703125,54.849998474121094,54.720001220703125,56.560001373291016,2013900.0
2008-02-05,54.0099983215332,54.75,53.849998474121094,55.86000061035156,2734200.0
2008-02-06,55.77000045776367,54.13999938964844,54.06999969482422,55.779998779296875,1984100.0
2008-02-07,54.0099983215332,55.599998474121094,53.77000045776367,55.72999954223633,2198200.0
2008-02-08,55.31999969482422,54.060001373291016,53.77000045776367,55.560001373291016,2017800.0
2008-02-11,54.0,54.439998626708984,53.33000183105469,54.689998626708984,1386200.0
2008-02-12,54.939998626708984,54.63999938964844,54.02000045776367,55.33000183105469,2004000.0
2008-02-13,55.060001373291016,55.0,54.25,55.869998931884766,1679500.0
2008-02-14,54.779998779296875,54.029998779296875,53.93000030517578,54.90999984741211,1251600.0
2008-02-15,53.77000045776367,53.83000183105469,53.290000915527344,54.150001525878906,1510600.0
2008-02-19,54.5,53.88999938964844,53.290000915527344,54.90999984741211,1296400.0
2008-02-20,53.70000076293945,54.290000915527344,53.52000045776367,54.72999954223633,1654000.0
2008-02-21,54.779998779296875,52.650001525878906,52.5,54.779998779296875,2101000.0
2008-02-22,52.90999984741211,52.459999084472656,51.119998931884766,52.959999084472656,1609100.0
2008-02-25,52.54999923706055,53.02000045776367,51.689998626708984,53.130001068115234,1300400.0
2008-02-26,52.77000045776367,53.5099983215332,52.59000015258789,53.849998474121094,1289300.0
2008-02-27,53.52000045776367,53.849998474121094,53.150001525878906,54.290000915527344,1335700.0
2008-02-28,53.439998626708984,52.95000076293945,52.560001373291016,53.56999969482422,1943400.0
2008-02-29,52.150001525878906,50.77000045776367,50.720001220703125,52.22999954223633,1745800.0
2008-03-03,50.779998779296875,51.400001525878906,50.59000015258789,51.709999084472656,1523600.0
2008-03-04,51.0,51.63999938964844,50.540000915527344,51.9900016784668,1933600.0
2008-03-05,51.650001525878906,52.79999923706055,51.439998626708984,53.16999816894531,1461700.0
2008-03-06,52.790000915527344,52.08000183105469,52.02000045776367,53.47999954223633,1366800.0
2008-03-07,51.790000915527344,51.9900016784668,51.27000045776367,53.189998626708984,1390900.0
2008-03-10,52.0,49.86000061035156,49.66999816894531,52.33000183105469,2081800.0
2008-03-11,50.11000061035156,52.68000030517578,50.11000061035156,52.68000030517578,1614500.0
2008-03-12,52.630001068115234,52.79999923706055,52.5,53.84000015258789,1898500.0
2008-03-13,52.22999954223633,53.66999816894531,51.709999084472656,54.38999938964844,1644200.0
2008-03-14,54.150001525878906,52.65999984741211,51.880001068115234,54.16999816894531,1602200.0
2008-03-17,53.52000045776367,51.529998779296875,51.45000076293945,54.25,3030500.0
2008-03-18,52.400001525878906,54.5,52.0,54.5099983215332,2821000.0
2008-03-19,54.7599983215332,53.20000076293945,53.20000076293945,55.0,2205400.0
2008-03-20,54.15999984741211,55.02000045776367,53.02000045776367,55.040000915527344,3206000.0
2008-03-24,54.9900016784668,57.849998474121094,54.91999816894531,58.130001068115234,2774900.0
2008-03-25,56.709999084472656,57.029998779296875,55.400001525878906,57.45000076293945,2498500.0
2008-03-26,56.90999984741211,56.2400016784668,55.41999816894531,57.209999084472656,1226500.0
2008-03-27,55.97999954223633,55.060001373291016,55.0,56.36000061035156,1955400.0
2008-03-28,55.560001373291016,54.59000015258789,54.45000076293945,55.95000076293945,1807500.0
2008-03-31,54.58000183105469,54.400001525878906,53.56999969482422,54.58000183105469,2306500.0
2008-04-01,55.25,57.2400016784668,54.43000030517578,57.27000045776367,2895400.0
2008-04-02,57.20000076293945,58.619998931884766,57.20000076293945,58.970001220703125,2577600.0
