Date,heiopen,heiclose,heilow,heihigh,heivolume
2008-01-02,11.42738151550293,11.372855186462402,11.322524070739746,11.720982551574707,851000.0
2008-01-03,11.439964294433594,11.421090126037598,11.34349536895752,11.767119407653809,1631300.0
2008-01-04,11.247026443481445,11.345592498779297,11.127488136291504,11.509170532226562,1152500.0
2008-01-07,11.377049446105957,11.232346534729004,11.102322578430176,11.53433609008789,1350700.0
2008-01-08,11.171528816223145,10.640949249267578,10.634657859802246,11.36656379699707,778500.0
2008-01-09,10.500439643859863,10.894704818725586,10.250879287719727,10.911481857299805,1422700.0
2008-01-10,10.789847373962402,11.060379981994629,10.766777992248535,11.194597244262695,813300.0
2008-01-11,10.974396705627441,10.542383193969727,10.435428619384766,11.028922080993652,837500.0
2008-01-14,10.611589431762695,10.645143508911133,10.588520050048828,10.838081359863281,1076500.0
2008-01-15,10.458497047424316,10.382999420166016,10.181673049926758,10.590617179870605,854600.0
2008-01-16,10.374610900878906,10.28023910522461,10.14392375946045,10.496245384216309,883100.0
2008-01-17,10.336862564086914,9.730785369873047,9.646899223327637,10.452205657958984,978300.0
2008-01-18,9.518973350524902,9.690938949584961,9.426698684692383,9.873391151428223,992500.0
2008-01-22,9.28409194946289,9.479126930236816,9.221177101135254,9.739173889160156,906300.0
2008-01-23,9.24005126953125,9.26941204071045,8.986296653747559,9.41621208190918,1038200.0
2008-01-24,9.395240783691406,9.328131675720215,9.080668449401855,9.705619812011719,851000.0
2008-01-25,9.422503471374512,9.189720153808594,8.975811004638672,9.46025276184082,854300.0
2008-01-28,9.154068946838379,9.135193824768066,8.9254789352417,9.187623023986816,504100.0
2008-01-29,9.210691452026367,9.149873733520508,8.996782302856445,9.254732131958008,485200.0
2008-01-30,9.095348358154297,9.045016288757324,8.961130142211914,9.399435043334961,826200.0
2008-01-31,8.904507637023926,9.334424018859863,8.808038711547852,9.49170970916748,688300.0
2008-02-01,9.424601554870605,9.762242317199707,9.3679780960083,9.791603088378906,687000.0
2008-02-04,9.75175666809082,9.449767112731934,9.426698684692383,9.75175666809082,612600.0
2008-02-05,9.273606300354004,9.072279930114746,9.036627769470215,9.418309211730957,579600.0
2008-02-06,9.24005126953125,8.910799026489258,8.883536338806152,9.254732131958008,378300.0
2008-02-07,8.852078437805176,9.187623023986816,8.766095161437988,9.26941204071045,499300.0
2008-02-08,9.149873733520508,9.267314910888672,8.984199523925781,9.33232593536377,850700.0
2008-02-11,9.25263500213623,9.290383338928223,9.212788581848145,9.365880966186523,566500.0
2008-02-12,9.319743156433105,9.462349891662598,9.271509170532227,9.6133451461792,718800.0
2008-02-13,9.571401596069336,9.690938949584961,9.447669982910156,9.695134162902832,435600.0
2008-02-14,9.693036079406738,9.439281463623047,9.374269485473633,9.693036079406738,578100.0
2008-02-15,9.382658004760742,9.290383338928223,9.193914413452148,9.418309211730957,595600.0
2008-02-19,9.395240783691406,9.321840286254883,9.2169828414917,9.49170970916748,639500.0
2008-02-20,9.250537872314453,9.512681007385254,9.114222526550293,9.542041778564453,432000.0
2008-02-21,9.56091594696045,9.258926391601562,9.172943115234375,9.581887245178223,488500.0
2008-02-22,9.29248046875,9.254732131958008,9.034530639648438,9.361686706542969,654700.0
2008-02-25,9.225371360778809,9.409920692443848,9.019850730895996,9.432990074157715,640700.0
2008-02-26,9.330228805541992,9.732882499694824,9.281994819641113,9.846128463745117,942800.0
2008-02-27,9.617539405822754,9.71191120147705,9.594470024108887,9.942597389221191,586200.0
2008-02-28,9.586081504821777,9.615442276000977,9.489612579345703,9.770630836486816,659600.0
2008-02-29,9.615442276000977,9.185525894165039,9.133096694946289,9.615442276000977,1170700.0
2008-03-03,9.23166275024414,9.479126930236816,9.019850730895996,9.510583877563477,1196300.0
2008-03-04,9.363783836364746,9.359589576721191,9.227468490600586,9.487515449523926,483500.0
2008-03-05,9.399435043334961,9.313451766967773,9.130999565124512,9.451864242553711,496000.0
2008-03-06,9.244246482849121,9.047113418579102,9.047113418579102,9.279897689819336,641500.0
2008-03-07,8.900313377380371,9.23166275024414,8.900313377380371,9.386852264404297,600300.0
2008-03-10,9.246343612670898,9.141485214233398,9.053404808044434,9.28409194946289,886600.0
2008-03-11,9.405726432800293,9.789505958557129,9.321840286254883,9.820962905883789,711300.0
2008-03-12,9.684647560119629,9.787408828735352,9.640607833862305,9.986638069152832,761000.0
2008-03-13,9.646899223327637,9.80418586730957,9.403629302978516,9.862905502319336,660600.0
2008-03-14,9.906946182250977,9.686744689941406,9.439281463623047,9.909043312072754,951200.0
2008-03-17,9.395240783691406,9.577692985534668,9.395240783691406,9.781116485595703,648500.0
2008-03-18,9.856614112854004,9.854516983032227,9.583984375,9.963568687438965,1237600.0
2008-03-19,9.965666770935059,9.743368148803711,9.743368148803711,10.137632369995117,581300.0
2008-03-20,10.066329956054688,9.850322723388672,9.78321361541748,10.334765434265137,2334300.0
2008-03-24,9.911140441894531,10.232004165649414,9.869196891784668,10.28023910522461,833800.0
2008-03-25,10.200547218322754,10.12714672088623,9.898557662963867,10.334765434265137,575100.0
2008-03-26,10.057941436767578,10.525606155395508,9.990832328796387,10.525606155395508,566500.0
2008-03-27,10.552868843078613,10.43962287902832,10.336862564086914,10.643046379089355,600300.0
2008-03-28,10.433331489562988,10.458497047424316,10.414456367492676,10.59481143951416,688700.0
2008-03-31,10.431234359741211,10.223615646362305,10.206838607788086,10.513023376464844,827600.0
2008-04-01,10.380902290344238,10.756292343139648,10.29491901397705,10.756292343139648,843700.0
