Date,renopen,renclose,renlow,renhigh,renvolume
2008-01-02,45.45000076293945,45.29999923706055,45.25,45.75,22700.0
2008-01-03,45.900001525878906,45.150001525878906,45.0,45.900001525878906,49200.0
2008-01-04,45.0,45.0,45.0,45.54999923706055,19200.0
2008-01-07,45.5,45.599998474121094,45.20000076293945,45.849998474121094,22900.0
2008-01-08,45.099998474121094,45.20000076293945,45.099998474121094,45.75,50300.0
2008-01-09,45.20000076293945,45.599998474121094,45.099998474121094,45.70000076293945,25600.0
2008-01-10,45.20000076293945,45.70000076293945,45.150001525878906,45.95000076293945,20800.0
2008-01-11,45.5,45.25,45.0,45.5,12200.0
2008-01-14,45.599998474121094,45.54999923706055,45.25,45.75,8700.0
2008-01-15,45.20000076293945,45.54999923706055,45.150001525878906,45.599998474121094,11000.0
2008-01-16,45.5,45.75,45.20000076293945,45.79999923706055,19800.0
2008-01-17,45.75,45.75,45.25,45.75,10900.0
2008-01-18,45.349998474121094,45.5,45.29999923706055,45.70000076293945,25200.0
2008-01-22,45.5,45.20000076293945,44.900001525878906,46.20000076293945,9800.0
2008-01-23,45.0,45.75,44.95000076293945,45.75,20600.0
2008-01-24,45.900001525878906,45.25,45.25,45.95000076293945,14200.0
2008-01-25,45.70000076293945,45.20000076293945,45.099998474121094,45.75,4800.0
2008-01-28,45.400001525878906,45.75,45.25,45.75,5600.0
2008-01-29,45.75,45.29999923706055,45.25,45.75,10100.0
2008-01-30,45.25,45.349998474121094,45.25,45.75,14800.0
2008-01-31,45.25,46.0,45.25,46.29999923706055,44300.0
2008-02-01,46.0,45.849998474121094,45.349998474121094,46.0,7200.0
2008-02-04,45.599998474121094,45.5,45.25,45.75,6800.0
2008-02-05,45.25,45.400001525878906,45.25,45.54999923706055,24500.0
2008-02-06,45.79999923706055,45.29999923706055,45.150001525878906,45.79999923706055,8600.0
2008-02-07,45.25,45.70000076293945,45.150001525878906,45.900001525878906,46000.0
2008-02-08,45.70000076293945,45.400001525878906,45.25,45.79999923706055,6900.0
2008-02-11,45.349998474121094,45.25,45.25,45.5,207000.0
2008-02-12,45.400001525878906,45.5,45.25,45.70000076293945,10500.0
2008-02-13,45.70000076293945,45.599998474121094,45.5,45.70000076293945,13700.0
2008-02-14,45.599998474121094,45.29999923706055,45.20000076293945,45.599998474121094,365000.0
2008-02-15,45.70000076293945,45.20000076293945,45.20000076293945,45.70000076293945,12200.0
2008-02-19,45.5,45.25,45.04999923706055,45.54999923706055,158800.0
2008-02-20,45.54999923706055,45.54999923706055,45.099998474121094,45.599998474121094,32500.0
2008-02-21,45.599998474121094,45.349998474121094,45.349998474121094,45.599998474121094,21000.0
2008-02-22,45.400001525878906,45.45000076293945,45.25,45.5,18500.0
2008-02-25,45.5,45.900001525878906,45.29999923706055,45.900001525878906,41400.0
2008-02-26,45.75,46.0,45.650001525878906,46.0,234300.0
2008-02-27,45.650001525878906,46.099998474121094,45.54999923706055,46.099998474121094,27600.0
2008-02-28,45.75,46.04999923706055,45.54999923706055,46.04999923706055,42000.0
2008-02-29,45.650001525878906,45.599998474121094,45.599998474121094,45.900001525878906,22200.0
2008-03-03,45.54999923706055,45.349998474121094,45.29999923706055,45.79999923706055,68700.0
2008-03-04,45.400001525878906,45.349998474121094,45.349998474121094,45.54999923706055,47600.0
2008-03-05,45.599998474121094,45.5,45.400001525878906,45.599998474121094,9200.0
2008-03-06,45.400001525878906,45.70000076293945,45.25,45.70000076293945,299600.0
2008-03-07,45.45000076293945,45.29999923706055,45.25,45.45000076293945,477800.0
2008-03-10,45.54999923706055,45.5,45.20000076293945,45.54999923706055,108500.0
2008-03-11,45.599998474121094,45.5,45.25,45.599998474121094,21000.0
2008-03-12,45.5,45.5,45.20000076293945,45.5,15400.0
2008-03-13,45.25,45.70000076293945,45.20000076293945,46.0,66900.0
2008-03-14,45.75,45.5,45.5,45.900001525878906,153800.0
2008-03-17,45.45000076293945,45.400001525878906,45.25,45.900001525878906,172200.0
2008-03-18,45.900001525878906,46.0,45.400001525878906,46.0,37900.0
2008-03-19,46.95000076293945,45.45000076293945,45.45000076293945,46.95000076293945,20700.0
2008-03-20,45.099998474121094,45.79999923706055,45.099998474121094,45.95000076293945,118400.0
2008-03-24,45.79999923706055,45.849998474121094,45.5,45.95000076293945,113100.0
2008-03-25,45.900001525878906,45.70000076293945,45.25,45.900001525878906,14000.0
2008-03-26,45.45000076293945,45.650001525878906,45.45000076293945,45.79999923706055,10500.0
2008-03-27,45.79999923706055,45.650001525878906,45.400001525878906,45.849998474121094,11600.0
2008-03-28,45.650001525878906,45.650001525878906,45.29999923706055,45.849998474121094,6100.0
2008-03-31,45.849998474121094,45.900001525878906,45.20000076293945,46.04999923706055,15700.0
2008-04-01,47.04999923706055,45.79999923706055,45.5,47.04999923706055,22500.0
2008-04-02,45.75,45.650001525878906,45.400001525878906,45.900001525878906,11500.0
2008-04-03,45.5,45.849998474121094,45.400001525878906,45.849998474121094,6400.0
2008-04-04,45.70000076293945,45.5,45.349998474121094,45.95000076293945,10300.0
2008-04-07,45.75,45.650001525878906,45.0,45.79999923706055,69600.0
2008-04-08,45.29999923706055,45.70000076293945,45.29999923706055,45.70000076293945,1400.0
2008-04-09,45.70000076293945,45.5,45.25,45.70000076293945,20700.0
2008-04-10,45.599998474121094,45.54999923706055,45.20000076293945,45.75,48000.0
2008-04-11,45.25,45.45000076293945,45.20000076293945,45.599998474121094,30300.0
2008-04-14,45.45000076293945,45.400001525878906,45.29999923706055,45.70000076293945,54500.0
