Date,pbyiopen,pbyiclose,pbyilow,pbyihigh,pbyivolume
2012-04-24,13.0,14.0,12.5,14.0,109500
2012-04-25,12.960000038146973,13.0,12.960000038146973,14.029999732971191,265900
2012-04-26,14.0,14.0,12.5,14.0,127000
2012-04-27,13.0,13.0,12.600000381469727,13.0,2100
2012-04-30,13.0,13.5,13.0,13.5,34000
2012-05-01,13.25,13.75,13.25,13.75,6000
2012-05-02,13.550000190734863,13.550000190734863,13.5,13.710000038146973,7900
2012-05-03,13.550000190734863,13.350000381469727,13.25,13.550000190734863,18300
2012-05-04,13.699999809265137,13.989999771118164,13.699999809265137,13.989999771118164,2000
2012-05-07,13.5,13.0,13.0,13.5,15400
2012-05-08,13.0,13.0,13.0,13.0,2500
2012-05-09,12.899999618530273,12.75,12.75,12.899999618530273,4800
2012-05-10,12.899999618530273,13.25,12.75,13.25,14400
2012-05-11,13.0,13.0,13.0,13.100000381469727,15900
2012-05-14,13.0,13.25,13.0,13.25,1100
2012-05-15,13.25,13.5,13.25,13.5,5400
2012-05-16,13.350000381469727,13.5,13.350000381469727,13.5,55800
2012-05-17,13.449999809265137,13.449999809265137,13.449999809265137,13.449999809265137,1000
2012-05-18,13.5,13.0,12.899999618530273,13.5,1900
2012-05-21,12.75,12.75,12.75,12.75,31500
2012-05-22,12.899999618530273,12.899999618530273,12.899999618530273,12.899999618530273,800
2012-05-23,13.5,13.5,13.5,13.5,4000
2012-05-24,13.5,13.5,13.5,13.5,3000
2012-05-25,13.5,13.25,13.25,13.5,4800
2012-05-29,13.359999656677246,12.779999732971191,12.779999732971191,13.5,4300
2012-05-30,13.25,13.0,13.0,13.25,3400
2012-05-31,13.5,13.5,13.5,13.5,1100
2012-06-01,13.5,13.0,12.75,13.5,3400
2012-06-04,13.0,11.0,11.0,13.0,146200
2012-06-05,12.5,12.5,12.5,12.5,300
2012-06-06,12.5,12.5,12.5,12.5,0
2012-06-07,12.5,12.5,12.5,12.5,1800
2012-06-08,12.5,12.5,12.5,12.5,11600
2012-06-11,12.5,12.5,12.5,12.5,11700
2012-06-12,12.399999618530273,12.25,12.25,12.399999618530273,400
2012-06-13,12.25,12.25,12.25,12.25,0
2012-06-14,12.25,12.25,12.25,12.25,0
2012-06-15,12.25,12.25,12.25,12.25,0
2012-06-18,12.25,12.25,12.25,12.25,0
2012-06-19,12.020000457763672,11.949999809265137,11.949999809265137,12.020000457763672,1400
2012-06-20,11.949999809265137,11.949999809265137,11.949999809265137,11.949999809265137,2900
2012-06-21,11.949999809265137,11.850000381469727,11.850000381469727,11.949999809265137,4500
2012-06-22,11.949999809265137,11.850000381469727,11.800000190734863,11.949999809265137,4400
2012-06-25,11.880000114440918,11.850000381469727,11.850000381469727,11.880000114440918,13000
2012-06-26,11.5,11.300000190734863,11.300000190734863,11.5,14500
2012-06-27,11.25,11.300000190734863,11.25,11.300000190734863,11500
2012-06-28,11.25,11.25,11.25,11.25,10700
2012-06-29,11.0,11.25,11.0,11.25,149800
2012-07-02,11.149999618530273,11.100000381469727,11.0,11.149999618530273,35600
2012-07-03,11.050000190734863,11.25,11.0,11.25,4600
2012-07-05,11.25,11.25,11.25,11.25,0
2012-07-06,11.369999885559082,11.369999885559082,11.369999885559082,11.369999885559082,600
2012-07-09,11.369999885559082,11.369999885559082,11.369999885559082,11.369999885559082,0
2012-07-10,11.369999885559082,11.369999885559082,11.369999885559082,11.369999885559082,0
2012-07-11,11.369999885559082,11.369999885559082,11.369999885559082,11.369999885559082,0
2012-07-12,11.0,11.25,11.0,11.300000190734863,14100
2012-07-13,11.25,11.25,11.25,11.25,500
2012-07-16,11.25,11.199999809265137,11.1899995803833,13.0,160600
2012-07-17,12.5,12.5,12.5,12.5,300
