Date,piiopen,piiclose,piilow,piihigh,piivolume
2008-01-02,23.80500030517578,23.459999084472656,22.924999237060547,23.885000228881836,1393800.0
2008-01-03,24.0,23.30500030517578,23.15999984741211,24.0,924000.0
2008-01-04,22.75,21.155000686645508,21.05500030517578,23.084999084472656,2699000.0
2008-01-07,21.21500015258789,21.434999465942383,21.03499984741211,21.625,2231400.0
2008-01-08,21.5,20.280000686645508,20.270000457763672,21.514999389648438,1381400.0
2008-01-09,20.239999771118164,20.53499984741211,19.885000228881836,20.735000610351562,2589600.0
2008-01-10,20.21500015258789,20.094999313354492,19.559999465942383,20.459999084472656,1405200.0
2008-01-11,19.899999618530273,19.5,19.229999542236328,19.899999618530273,1555400.0
2008-01-14,19.975000381469727,20.219999313354492,19.81999969482422,20.375,1335200.0
2008-01-15,19.950000762939453,19.270000457763672,19.0,19.950000762939453,1186600.0
2008-01-16,18.6200008392334,19.0,17.575000762939453,19.350000381469727,3211000.0
2008-01-17,19.03499984741211,18.405000686645508,18.139999389648438,20.510000228881836,1159200.0
2008-01-18,18.420000076293945,18.225000381469727,17.735000610351562,18.530000686645508,1699800.0
2008-01-22,17.53499984741211,18.264999389648438,17.5,18.760000228881836,1674400.0
2008-01-23,17.799999237060547,20.709999084472656,17.479999542236328,22.219999313354492,3144800.0
2008-01-24,20.71500015258789,19.375,19.19499969482422,20.71500015258789,1772400.0
2008-01-25,21.959999084472656,20.040000915527344,19.940000534057617,21.959999084472656,2868800.0
2008-01-28,19.90999984741211,21.2549991607666,19.90999984741211,21.5,2118800.0
2008-01-29,20.454999923706055,21.665000915527344,20.454999923706055,21.774999618530273,2656200.0
2008-01-30,21.469999313354492,20.354999542236328,20.200000762939453,21.469999313354492,1373600.0
2008-01-31,20.25,21.78499984741211,20.149999618530273,21.9950008392334,1688000.0
2008-02-01,21.764999389648438,22.434999465942383,21.56999969482422,22.530000686645508,1327800.0
2008-02-04,22.325000762939453,21.219999313354492,21.1200008392334,22.325000762939453,1125200.0
2008-02-05,20.834999084472656,20.094999313354492,20.030000686645508,21.19499969482422,2002000.0
2008-02-06,20.450000762939453,20.040000915527344,19.889999389648438,20.75,1090400.0
2008-02-07,19.985000610351562,20.635000228881836,19.899999618530273,20.739999771118164,1130800.0
2008-02-08,20.549999237060547,20.704999923706055,20.350000381469727,21.299999237060547,1635600.0
2008-02-11,20.670000076293945,20.725000381469727,20.25,20.854999542236328,619800.0
2008-02-12,20.799999237060547,21.079999923706055,20.6299991607666,21.375,904400.0
2008-02-13,21.399999618530273,21.190000534057617,20.895000457763672,21.5,517600.0
2008-02-14,21.270000457763672,20.55500030517578,20.325000762939453,21.270000457763672,649000.0
2008-02-15,20.375,20.315000534057617,19.885000228881836,20.440000534057617,744400.0
2008-02-19,20.450000762939453,20.024999618530273,20.014999389648438,20.774999618530273,574600.0
2008-02-20,19.924999237060547,20.719999313354492,19.924999237060547,20.725000381469727,796000.0
2008-02-21,20.940000534057617,20.309999465942383,20.25,21.274999618530273,1133200.0
2008-02-22,20.3700008392334,20.385000228881836,20.225000381469727,20.5049991607666,964800.0
2008-02-25,20.46500015258789,20.94499969482422,20.315000534057617,21.204999923706055,936800.0
2008-02-26,20.875,21.635000228881836,20.764999389648438,21.8700008392334,1778400.0
2008-02-27,21.385000228881836,20.825000762939453,20.729999542236328,21.704999923706055,903000.0
2008-02-28,20.700000762939453,20.434999465942383,20.145000457763672,20.78499984741211,810000.0
2008-02-29,20.3700008392334,19.09000015258789,18.854999542236328,20.415000915527344,2704000.0
2008-03-03,19.065000534057617,19.020000457763672,18.700000762939453,19.274999618530273,1081400.0
2008-03-04,19.0,19.610000610351562,18.780000686645508,19.690000534057617,2144000.0
2008-03-05,19.6299991607666,19.344999313354492,19.040000915527344,19.700000762939453,764200.0
2008-03-06,19.200000762939453,18.825000762939453,18.684999465942383,19.375,870600.0
2008-03-07,18.75,18.524999618530273,18.264999389648438,18.875,626000.0
2008-03-10,18.649999618530273,18.415000915527344,18.270000457763672,18.799999237060547,859200.0
2008-03-11,18.969999313354492,19.69499969482422,18.725000381469727,20.364999771118164,984200.0
2008-03-12,19.655000686645508,19.149999618530273,19.1299991607666,19.9950008392334,972600.0
2008-03-13,18.950000762939453,20.2549991607666,18.90999984741211,20.450000762939453,1215400.0
2008-03-14,20.424999237060547,20.110000610351562,19.684999465942383,20.424999237060547,933800.0
2008-03-17,19.5,19.34000015258789,18.94499969482422,19.854999542236328,1345000.0
2008-03-18,19.719999313354492,20.1299991607666,19.334999084472656,20.260000228881836,1120600.0
2008-03-19,20.364999771118164,20.3700008392334,20.309999465942383,20.889999389648438,1530600.0
2008-03-20,20.5,20.405000686645508,20.010000228881836,20.739999771118164,2571600.0
2008-03-24,20.405000686645508,20.854999542236328,20.405000686645508,20.975000381469727,1069800.0
2008-03-25,20.899999618530273,21.25,20.225000381469727,21.25,733600.0
2008-03-26,21.06999969482422,20.829999923706055,20.3799991607666,21.06999969482422,659000.0
2008-03-27,20.80500030517578,20.270000457763672,20.270000457763672,20.979999542236328,556000.0
2008-03-28,20.375,20.485000610351562,20.06999969482422,20.5049991607666,602600.0
2008-03-31,20.5049991607666,20.5049991607666,19.889999389648438,20.549999237060547,1141000.0
2008-04-01,20.549999237060547,21.360000610351562,20.5049991607666,21.360000610351562,988400.0
2008-04-02,21.315000534057617,20.6200008392334,20.46500015258789,21.5,1037400.0
2008-04-03,20.5,21.649999618530273,20.5,21.670000076293945,814200.0
2008-04-04,21.649999618530273,21.53499984741211,21.0049991607666,22.1200008392334,849600.0
