Date,pacbopen,pacbclose,pacblow,pacbhigh,pacbvolume
2010-10-27,16.5,16.440000534057617,16.030000686645508,16.8799991607666,6092100
2010-10-28,16.489999771118164,16.969999313354492,16.350000381469727,17.469999313354492,1396400
2010-10-29,17.100000381469727,16.799999237060547,16.75,17.450000762939453,351900
2010-11-01,17.1200008392334,16.59000015258789,16.420000076293945,17.1200008392334,240500
2010-11-02,16.84000015258789,16.3799991607666,16.219999313354492,16.84000015258789,252100
2010-11-03,16.690000534057617,14.5600004196167,14.199999809265137,16.690000534057617,625500
2010-11-04,14.569999694824219,12.850000381469727,12.5,14.569999694824219,721100
2010-11-05,12.510000228881836,14.5600004196167,11.619999885559082,15.640000343322754,610000
2010-11-08,14.670000076293945,12.989999771118164,12.920000076293945,15.0,229400
2010-11-09,12.859999656677246,12.960000038146973,12.739999771118164,13.289999961853027,162600
2010-11-10,12.470000267028809,12.899999618530273,12.15999984741211,13.1899995803833,262000
2010-11-11,12.510000228881836,12.510000228881836,12.479999542236328,12.899999618530273,271700
2010-11-12,12.5600004196167,12.25,12.0,12.5600004196167,286200
2010-11-15,12.329999923706055,13.010000228881836,12.210000038146973,13.010000228881836,265200
2010-11-16,12.6899995803833,12.079999923706055,12.0,12.739999771118164,137200
2010-11-17,12.0,12.09000015258789,11.800000190734863,12.239999771118164,135500
2010-11-18,12.079999923706055,11.579999923706055,11.329999923706055,12.600000381469727,325300
2010-11-19,11.449999809265137,11.720000267028809,11.279999732971191,11.859999656677246,220300
2010-11-22,11.789999961853027,12.109999656677246,11.789999961853027,12.199999809265137,113100
2010-11-23,12.100000381469727,12.029999732971191,11.899999618530273,12.130000114440918,62800
2010-11-24,12.010000228881836,11.930000305175781,11.600000381469727,12.010000228881836,190000
2010-11-26,11.75,11.529999732971191,11.25,11.75,112100
2010-11-29,12.5,12.0,11.510000228881836,12.989999771118164,250800
2010-11-30,12.119999885559082,12.600000381469727,12.010000228881836,12.75,142800
2010-12-01,12.300000190734863,13.100000381469727,12.300000190734863,13.479999542236328,415400
2010-12-02,13.15999984741211,12.8100004196167,12.489999771118164,13.489999771118164,246100
2010-12-03,12.890000343322754,12.970000267028809,12.489999771118164,13.460000038146973,156500
2010-12-06,13.350000381469727,13.25,12.970000267028809,13.729999542236328,474600
2010-12-07,13.329999923706055,13.010000228881836,12.920000076293945,13.5,171900
2010-12-08,12.899999618530273,13.0,12.800000190734863,13.270000457763672,65600
2010-12-09,12.930000305175781,13.0,12.930000305175781,13.079999923706055,75500
2010-12-10,15.0,13.649999618530273,13.350000381469727,15.430000305175781,596900
2010-12-13,13.949999809265137,13.989999771118164,13.640000343322754,14.020000457763672,343800
2010-12-14,14.0,14.050000190734863,13.760000228881836,14.180000305175781,416200
2010-12-15,14.119999885559082,13.720000267028809,13.5,14.119999885559082,148900
2010-12-16,13.850000381469727,14.220000267028809,13.630000114440918,14.65999984741211,303400
2010-12-17,14.289999961853027,14.09000015258789,13.800000190734863,14.300000190734863,1819400
2010-12-20,14.260000228881836,15.020000457763672,14.100000381469727,15.199999809265137,1012900
2010-12-21,15.1899995803833,14.970000267028809,14.800000190734863,15.649999618530273,363300
2010-12-22,15.09000015258789,16.280000686645508,14.90999984741211,16.610000610351562,403900
2010-12-23,16.229999542236328,15.609999656677246,15.449999809265137,16.43000030517578,85300
2010-12-27,15.6899995803833,16.100000381469727,15.5600004196167,16.239999771118164,109800
2010-12-28,15.880000114440918,15.880000114440918,15.760000228881836,16.420000076293945,147300
2010-12-29,16.010000228881836,16.5,15.90999984741211,16.5,118500
2010-12-30,16.600000381469727,16.440000534057617,16.25,17.010000228881836,68100
2010-12-31,16.510000228881836,15.90999984741211,15.720000267028809,17.0,114400
2011-01-03,16.110000610351562,16.299999237060547,16.110000610351562,16.690000534057617,169000
2011-01-04,16.280000686645508,15.9399995803833,15.5,16.34000015258789,280200
2011-01-05,15.960000038146973,15.739999771118164,15.3100004196167,16.260000228881836,359300
2011-01-06,15.850000381469727,15.0600004196167,15.0,15.899999618530273,139200
2011-01-07,15.149999618530273,15.1899995803833,15.010000228881836,15.489999771118164,125800
2011-01-10,15.15999984741211,15.050000190734863,14.920000076293945,15.3100004196167,54300
2011-01-11,15.220000267028809,16.06999969482422,15.079999923706055,16.100000381469727,107300
2011-01-12,16.100000381469727,16.0,15.8100004196167,16.100000381469727,88500
2011-01-13,15.90999984741211,15.609999656677246,15.5,15.960000038146973,39500
2011-01-14,15.6899995803833,15.760000228881836,15.6899995803833,15.90999984741211,84200
2011-01-18,15.729999542236328,15.770000457763672,15.279999732971191,15.9399995803833,69800
2011-01-19,15.859999656677246,15.34000015258789,15.3100004196167,15.859999656677246,54800
2011-01-20,15.489999771118164,14.880000114440918,14.880000114440918,15.489999771118164,158800
2011-01-21,14.930000305175781,14.34000015258789,14.050000190734863,14.930000305175781,173100
2011-01-24,14.40999984741211,14.8100004196167,14.380000114440918,14.949999809265137,98500
2011-01-25,14.800000190734863,14.989999771118164,14.539999961853027,14.989999771118164,123800
2011-01-26,15.029999732971191,15.359999656677246,14.930000305175781,15.65999984741211,424300
2011-01-27,15.40999984741211,15.430000305175781,15.039999961853027,15.630000114440918,274400
2011-01-28,15.449999809265137,15.079999923706055,14.989999771118164,15.510000228881836,197200
2011-01-31,15.079999923706055,15.800000190734863,15.079999923706055,16.239999771118164,397500
2011-02-01,15.859999656677246,16.1299991607666,15.859999656677246,16.489999771118164,193300
2011-02-02,16.200000762939453,15.859999656677246,15.680000305175781,16.5,307200
